task_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,0.056810284043405955,0.04123477538140429,0.07238579270540763
1,0.05739199603457688,0.042367845017850764,0.07241614705130299
2,0.07200801147804133,0.05384503623917736,0.0901709867169053
3,0.06765366970017526,0.05135317961529878,0.08395415978505175
4,0.04993151587421542,0.036118427277018604,0.06374460447141224
5,0.06381917044418776,0.04845129784937186,0.07918704303900367
6,0.06282100487922258,0.046718669920369424,0.07892333983807574
7,0.05375496745674596,0.03991479450602201,0.0675951404074699
8,0.06123084461061865,0.046237945909468996,0.07622374331176832
9,0.06249970182217956,0.04612427919491781,0.07887512444944131
10,0.06075985743751328,0.045463970788093125,0.07605574408693344
11,0.06326197457402438,0.04738779486816624,0.07913615427988252
12,0.058172738635613196,0.042659523360939096,0.07368595391028729
13,0.061908025199672506,0.04623566056881285,0.07758038983053217
14,0.04612519010904527,0.03416518145127346,0.05808519876681708
15,0.04980639754387107,0.03555889608943658,0.06405389899830555
16,0.06424734848571684,0.04878730876816472,0.07970738820326895
17,0.06054474198332839,0.04469028187518611,0.07639920209147066
18,0.056446929049866916,0.04228736238845733,0.0706064957112765
19,0.07228058606223361,0.055424535296339686,0.08913663682812754
