task_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,0.16431542804215918,0.12546261785226062,0.20316823823205774
1,0.06487799237799463,0.048008147082338706,0.08174783767365056
2,0.07291583734842198,0.0557971741721867,0.09003450052465727
3,0.1683854646201986,0.12891603309195487,0.20785489614844233
4,0.08730243712308551,0.0683835657471212,0.10622130849904982
5,0.06809247001064796,0.05193167558298395,0.08425326443831196
6,0.17277843528210166,0.13393410328711325,0.21162276727709006
7,0.06999960506058588,0.05330066326778267,0.08669854685338908
8,0.1624893085173578,0.12390681090711478,0.2010718061276008
9,0.06177871768682766,0.04507786206115176,0.07847957331250356
10,0.07033940501948127,0.05373088199682374,0.0869479280421388
11,0.07262030362924617,0.05512563559720402,0.09011497166128832
12,0.07610366966535699,0.05737195204258634,0.09483538728812764
13,0.07714158779343089,0.059616462111980295,0.09466671347488148
14,0.07361735324348297,0.05549722105934446,0.09173748542762147
15,0.18344872279853064,0.14166820551407547,0.2252292400829858
16,0.07389043483697384,0.055589197282745036,0.09219167239120266
17,0.15435192057037578,0.11604459452865282,0.19265924661209874
18,0.13181065143096707,0.0945547751878931,0.16906652767404104
19,0.07638931771241377,0.05895518212664233,0.0938234532981852
