task_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,0.012922877166510333,-0.01441116935556494,0.040256923688585605
1,0.035242122550323905,-0.043543246452388405,0.11402749155303621
2,0.017447975183074577,-0.011241382159747897,0.04613733252589705
3,0.0008041637142556749,-0.0004839757036442735,0.0020923031321556235
4,0.00596536868935139,-0.0030807412603093666,0.015011478639012147
5,0.1347142952404567,0.006639175533672936,0.26278941494724045
6,0.020629490623332088,-0.025936207646468055,0.06719518889313222
7,0.059198485636421404,-0.029680449448763767,0.14807742072160657
8,0.012946514368433215,-0.009645664140361566,0.035538692877227995
9,0.02525173515197045,-0.020690739765519304,0.07119421006946021
