task_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,0.0552770515912352,0.041607960428084435,0.06894614275438596
1,0.05001342091206655,0.037780309063098205,0.062246532761034895
2,0.057365518252925865,0.04378262144745411,0.07094841505839762
3,0.036518463293800325,0.026095132114812042,0.04694179447278861
4,0.05127959217382389,0.037267679131632064,0.06529150521601572
5,0.05499040542330906,0.04032244921615504,0.06965836163046307
6,0.04145866123382799,0.02865185178284825,0.054265470684807735
7,0.06987029746501716,0.053999915980651125,0.0857406789493832
8,0.05790240664721935,0.04306951224208107,0.07273530105235763
9,0.05974001818167001,0.044410243002959385,0.07506979336038064
10,0.05217560024532095,0.037806744937657524,0.06654445555298437
11,0.054038909408492576,0.03981716361864022,0.06826065519834493
12,0.05463340998622155,0.04012034662946441,0.06914647334297869
13,0.04218999865514796,0.02966369401674329,0.054716303293552634
14,0.05234173374577921,0.03857544677896571,0.06610802071259271
15,0.04604292292593597,0.0328092203454486,0.05927662550642333
16,0.04713530751608763,0.03347020440534215,0.06080041062683311
17,0.04612647714281555,0.034121301931197265,0.058131652354433835
18,0.06040357675252603,0.045580254350933526,0.07522689915411854
19,0.0561487426854053,0.041132541638505694,0.07116494373230492
