task_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,0.16064540747054917,0.12669204239535495,0.1945987725457434
1,0.14056276085841668,0.10805841130052639,0.17306711041630696
2,0.14919941819775265,0.11697972216486781,0.1814191142306375
3,0.15852926600414008,0.1245815258114895,0.19247700619679065
4,0.17989951734555562,0.1409817955829285,0.21881723910818274
5,0.1856307262878972,0.14378428218951766,0.22747717038627674
6,0.20081964412194137,0.1582072812327385,0.24343200701114423
7,0.16837091863923928,0.13269667534979201,0.20404516192868655
8,0.14881882279087028,0.11534844264806514,0.1822892029336754
9,0.13268768823665522,0.10136747469611987,0.16400790177719057
10,0.15729784759110604,0.12309202473178234,0.19150367045042976
11,0.1428694116836781,0.1106489643345443,0.17508985903281188
12,0.186542974580236,0.14679272396862678,0.22629322519184522
13,0.13749249498699487,0.10585453006832374,0.169130459905666
14,0.1252328562902064,0.0960648738648518,0.15440083871556098
15,0.14848273461045972,0.11512193011751196,0.18184353910340748
16,0.15565528628860242,0.12192331276865641,0.18938725980854842
17,0.16370605218201287,0.12823727799484638,0.19917482636917935
18,0.14493221034928364,0.11149085886639286,0.1783735618321744
19,0.15587990043186978,0.12271543004653707,0.1890443708172025
