task_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,0.06458059606843045,0.04896997791575088,0.08019121422111002
1,0.053452145007899195,0.0390271150525132,0.06787717496328519
2,0.06169910879180792,0.04649390558485374,0.0769043119987621
3,0.04918390679450197,0.036174503506921515,0.062193310082082426
4,0.055619196820516,0.040780661086451564,0.07045773255458043
5,0.04714216996698859,0.033623392369501306,0.060660947564475876
6,0.0532743087359951,0.03821583502612318,0.06833278244586702
7,0.04484688313175303,0.03135284150975015,0.05834092475375591
8,0.049047708464550706,0.03620521586477874,0.06189020106432267
9,0.06401864022676829,0.0485449524069118,0.07949232804662477
10,0.051276899431959906,0.037002618459904116,0.0655511804040157
11,0.053963982401978444,0.039587201960058147,0.06834076284389874
12,0.041850715331725824,0.03125784535842287,0.05244358530502878
13,0.056440266585079994,0.042974390603793274,0.06990614256636671
14,0.0550684825575932,0.040059647277322974,0.07007731783786343
15,0.050368615502726394,0.03579633642083323,0.06494089458461956
16,0.03817681711746828,0.026106650022433647,0.05024698421250291
17,0.052278773876663506,0.03755445690771711,0.0670030908456099
18,0.05254178979243384,0.03823549652749504,0.06684808305737264
19,0.06369753648315941,0.04949095105977591,0.07790412190654292
