task_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,0.04717418560120877,0.03514870981824019,0.05919966138417735
1,0.13701678211492674,0.10511605927151339,0.16891750495834007
2,0.04082835918579571,0.02899031735586921,0.0526664010157222
3,0.12895608731623326,0.09815423541146909,0.15975793922099743
4,0.1358219608613072,0.10311552396296034,0.16852839775965409
5,0.11613693914315061,0.08656456721184277,0.14570931107445845
6,0.15303863947485796,0.11858892063714384,0.1874883583125721
7,0.11150336958412357,0.07987269243302411,0.14313404673522304
8,0.11277988480881335,0.08186146443449517,0.1436983051831315
9,0.04306897333305222,0.03072097788534618,0.05541696878075826
10,0.049508585694472036,0.036644035771692826,0.062373135617251246
11,0.05292302510112832,0.03843367165786127,0.06741237854439537
12,0.1309703235561277,0.09619433074436226,0.16574631636789314
13,0.12910743142387165,0.09821579689080863,0.1599990659569347
14,0.13521616984993282,0.10205945438228231,0.16837288531758332
15,0.0636053072966786,0.04770355484464622,0.07950705974871097
16,0.06859781987300521,0.05332443638702321,0.08387120335898722
17,0.1209817895124631,0.08938525261902822,0.152578326405898
18,0.11036505800695688,0.07987610004381031,0.14085401597010347
19,0.12117236669886954,0.08819294417873465,0.1541517892190044
