task_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,0.11484067711229497,0.08510313664429096,0.14457821758029898
1,0.3119953025209466,0.2738957606295524,0.3500948444123408
2,0.42515280000000005,0.3827605364758233,0.4675450635241768
3,0.3949340581699668,0.3488927462093625,0.4409753701305711
4,0.3056317191000001,0.26667881810096444,0.34458462009903573
5,0.30132705612034466,0.2619882432113786,0.34066586902931073
6,0.3099363912000001,0.2713923809923754,0.3484804014076248
7,0.3013270470000001,0.2619882313127889,0.34066586268721133
8,0.3932663400000001,0.34677959384520185,0.43975308615479836
9,0.30563171910000014,0.2666788181009645,0.3445846200990358
10,0.30132704700000046,0.26198823131278937,0.34066586268721155
11,0.3056317191000001,0.26667881810096444,0.34458462009903573
12,0.3922566021000001,0.34584610092219303,0.4386671032778071
13,0.40703326596090006,0.3624613149760537,0.4516052169457464
14,0.3013270470000045,0.2619882313127947,0.3406658626872143
15,0.3056317191000001,0.26667881810096444,0.34458462009903573
16,0.3932663400013074,0.34677959384694895,0.43975308615566583
17,0.4123476759609001,0.36846370075989593,0.4562316511619043
18,0.3069825708176731,0.2683603653100493,0.3456047763252969
19,0.4123476759609001,0.36846370075989593,0.4562316511619043
