task_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,0.1485723107804748,0.11571887132212794,0.18142575023882168
1,0.15240347441934013,0.11788871034723819,0.18691823849144207
2,0.18707063841255414,0.14627214457838517,0.22786913224672312
3,0.18058060178923604,0.13948120563999178,0.2216799979384803
4,0.14101906048637283,0.10937618146047241,0.17266193951227327
5,0.14784860485942988,0.1161271521936241,0.17957005752523567
6,0.13374250995118397,0.1022855658541699,0.16519945404819805
7,0.13605051369375792,0.10658897324099717,0.16551205414651868
8,0.17969079676559016,0.1392761676650803,0.22010542586610002
9,0.13281634417614374,0.10119825285445169,0.1644344354978358
10,0.15069443695729962,0.11640566520257992,0.18498320871201931
11,0.1316713750661523,0.09988596627011842,0.1634567838621862
12,0.16339125752833103,0.12546522535908336,0.2013172896975787
13,0.18151255791280657,0.14088761074228776,0.2221375050833254
14,0.12251116555159663,0.09282567804841912,0.15219665305477414
15,0.14034561777444401,0.10723599530716932,0.1734552402417187
16,0.1887393565942561,0.14874997035753504,0.2287287428309772
17,0.1750000704906273,0.13622470757771227,0.21377543340354233
18,0.13360437435509226,0.10148421876226255,0.16572452994792197
19,0.17033199049910663,0.13108891096929573,0.20957507002891754
