episode_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,0.12722620277761643,0.10759798623169753,0.14685441932353532
1,0.12962421297211957,0.11069801912995589,0.14855040681428325
2,0.12722620277761643,0.10759798623169753,0.14685441932353532
3,0.12722620277761643,0.10759798623169753,0.14685441932353532
4,0.13035366454988048,0.11140160689301633,0.14930572220674462
5,0.13583443704235368,0.11924176643574559,0.15242710764896175
6,0.14342533708732963,0.1289836898140698,0.15786698436058946
7,0.15604618080281962,0.14797363663949586,0.16411872496614338
8,0.16327747757181166,0.15988332446017442,0.1666716306834489
9,0.16327747757181166,0.15988332446017442,0.1666716306834489
10,0.16327747757181166,0.15988332446017442,0.1666716306834489
11,0.16327747757181166,0.15988332446017442,0.1666716306834489
12,0.16327747757181166,0.15988332446017442,0.1666716306834489
13,0.16327747757181166,0.15988332446017442,0.1666716306834489
14,0.16327747757181166,0.15988332446017442,0.1666716306834489
15,0.16327747757181166,0.15988332446017442,0.1666716306834489
16,0.16327747757181166,0.15988332446017442,0.1666716306834489
17,0.16327747757181166,0.15988332446017442,0.1666716306834489
18,0.16327747757181166,0.15988332446017442,0.1666716306834489
19,0.16327747757181166,0.15988332446017442,0.1666716306834489
20,0.16327747757181166,0.15988332446017442,0.1666716306834489
21,0.16327747757181166,0.15988332446017442,0.1666716306834489
22,0.16327747757181166,0.15988332446017442,0.1666716306834489
23,0.16327747757181166,0.15988332446017442,0.1666716306834489
24,0.16327747757181166,0.15988332446017442,0.1666716306834489
25,0.16327747757181166,0.15988332446017442,0.1666716306834489
26,0.16327747757181166,0.15988332446017442,0.1666716306834489
27,0.16327747757181166,0.15988332446017442,0.1666716306834489
28,0.16327747757181166,0.15988332446017442,0.1666716306834489
29,0.16327747757181166,0.15988332446017442,0.1666716306834489
30,0.16327747757181166,0.15988332446017442,0.1666716306834489
31,0.16327747757181166,0.15988332446017442,0.1666716306834489
32,0.16327747757181166,0.15988332446017442,0.1666716306834489
33,0.16327747757181166,0.15988332446017442,0.1666716306834489
34,0.16327747757181166,0.15988332446017442,0.1666716306834489
35,0.16327747757181166,0.15988332446017442,0.1666716306834489
36,0.16327747757181166,0.15988332446017442,0.1666716306834489
37,0.16327747757181166,0.15988332446017442,0.1666716306834489
38,0.16327747757181166,0.15988332446017442,0.1666716306834489
39,0.16327747757181166,0.15988332446017442,0.1666716306834489
40,0.16327747757181166,0.15988332446017442,0.1666716306834489
41,0.16327747757181166,0.15988332446017442,0.1666716306834489
42,0.16327747757181166,0.15988332446017442,0.1666716306834489
43,0.16327747757181166,0.15988332446017442,0.1666716306834489
44,0.16327747757181166,0.15988332446017442,0.1666716306834489
45,0.16327747757181166,0.15988332446017442,0.1666716306834489
46,0.16327747757181166,0.15988332446017442,0.1666716306834489
47,0.16327747757181166,0.15988332446017442,0.1666716306834489
48,0.16327747757181166,0.15988332446017442,0.1666716306834489
49,0.16327747757181166,0.15988332446017442,0.1666716306834489
