task_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,0.15716268612046147,0.13895853362021132,0.17536683862071162
1,0.1595606963149646,0.14245829551198194,0.17666309711794728
2,0.13448085620735506,0.11890393985911649,0.15005777255559363
3,0.13964794342330236,0.12623171240137834,0.15306417444522638
4,0.16321564250381254,0.14739440258904124,0.17903688241858384
5,0.1380488576509312,0.12205865972801791,0.15403905557384448
6,0.132572786389551,0.11842544376853173,0.14672012901057027
7,0.14125929620095284,0.12628409883087816,0.15623449357102753
8,0.1365327838761375,0.12189861364171165,0.15116695411056333
9,0.1390660279116714,0.12553591666375177,0.15259613915959105
10,0.13448085620735506,0.11890393985911649,0.15005777255559363
11,0.13210504333990972,0.11790075064446774,0.1463093360353517
12,0.13545975169898689,0.12089475165857572,0.15002475173939805
13,0.13605187643119906,0.12146925192239628,0.15063450094000183
14,0.13605187643119906,0.12146925192239628,0.15063450094000183
15,0.13467656636980885,0.12145925079188112,0.14789388194773656
16,0.13293543047218764,0.11738811985258382,0.14848274109179146
17,0.14275568160911795,0.128866593940124,0.15664476927811188
18,0.1595606963149646,0.14245829551198194,0.17666309711794728
19,0.13701410024288893,0.12244007887118116,0.1515881216145967
20,0.1326825038950224,0.11846102320734277,0.14690398458270204
21,0.1380488576509312,0.12205865972801791,0.15403905557384448
22,0.1601231925334283,0.14309108542947804,0.17715529963737855
23,0.1326825038950224,0.11846102320734277,0.14690398458270204
24,0.1588662565390835,0.1417845255902955,0.17594798748787152
25,0.13210504333990972,0.11790075064446774,0.1463093360353517
26,0.1595606963149646,0.14245829551198194,0.17666309711794728
27,0.13593856613940733,0.12132208267121335,0.15055504960760133
28,0.1395452430590963,0.12454095990263954,0.15454952621555307
29,0.13593856613940733,0.12132208267121335,0.15055504960760133
30,0.1301109808651233,0.11499576372467342,0.14522619800557315
31,0.1326825038950224,0.11846102320734277,0.14690398458270204
32,0.14275568160911795,0.128866593940124,0.15664476927811188
33,0.1595606963149646,0.14245829551198194,0.17666309711794728
34,0.13593856613940733,0.12132208267121335,0.15055504960760133
35,0.1588662565390835,0.1417845255902955,0.17594798748787152
36,0.1395452430590963,0.12454095990263954,0.15454952621555307
37,0.1588662565390835,0.1417845255902955,0.17594798748787152
38,0.1594287527575472,0.1424155085591846,0.17644199695590979
39,0.1371236221965031,0.1225868563926371,0.15166038800036907
40,0.1401552263836004,0.12513278720150026,0.15517766556570053
41,0.1595606963149646,0.14245829551198194,0.17666309711794728
42,0.14003932955194462,0.12509520391693163,0.1549834551869576
43,0.13701410024288893,0.12244007887118116,0.1515881216145967
44,0.1380488576509312,0.12205865972801791,0.15403905557384448
45,0.1390660279116714,0.12553591666375177,0.15259613915959105
46,0.13641988250615877,0.12186200173217561,0.15097776328014195
47,0.1595606963149646,0.14245829551198194,0.17666309711794728
48,0.13605187643119906,0.12146925192239628,0.15063450094000183
49,0.13858471154491997,0.1249838460332795,0.15218557705656044
