task_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,0.1625212027279314,0.1467090738703266,0.17833333158553621
1,0.15646824634458034,0.13829106019658402,0.17464543249257666
2,0.1365327838761375,0.12189861364171165,0.15116695411056333
3,0.13593937273207873,0.1214327689704583,0.15044597649369917
4,0.15646824634458034,0.13829106019658402,0.17464543249257666
5,0.1395452430590963,0.12454095990263954,0.15454952621555307
6,0.13210504333990972,0.11790075064446774,0.1463093360353517
7,0.1401552263836004,0.12513278720150026,0.15517766556570053
8,0.13701410024288893,0.12244007887118116,0.1515881216145967
9,0.1365327838761375,0.12189861364171165,0.15116695411056333
10,0.1390660279116714,0.12553591666375177,0.15259613915959105
11,0.13315024694466365,0.11898721889733385,0.14731327499199345
12,0.1365314974642909,0.12200880995673921,0.15105418497184261
13,0.13545975169898689,0.12089475165857572,0.15002475173939805
14,0.13605187643119906,0.12146925192239628,0.15063450094000183
15,0.13210504333990972,0.11790075064446774,0.1463093360353517
16,0.13545975169898689,0.12089475165857572,0.15002475173939805
17,0.14003932955194462,0.12509520391693163,0.1549834551869576
18,0.16195870650946773,0.14606388982212684,0.1778535231968086
19,0.13858471154491997,0.1249838460332795,0.15218557705656044
20,0.13315024694466365,0.11898721889733385,0.14731327499199345
21,0.1401552263836004,0.12513278720150026,0.15517766556570053
22,0.15716268612046147,0.13895853362021132,0.17536683862071162
23,0.13372770749977633,0.11955094981008837,0.1479044651894643
24,0.15646824634458034,0.13829106019658402,0.17464543249257666
25,0.13163730029026846,0.11737754937693837,0.14589705120359855
26,0.1625212027279314,0.1467090738703266,0.17833333158553621
27,0.1365327838761375,0.12189861364171165,0.15116695411056333
28,0.1401552263836004,0.12513278720150026,0.15517766556570053
29,0.1365327838761375,0.12189861364171165,0.15116695411056333
30,0.1301109808651233,0.11499576372467342,0.14522619800557315
31,0.13068844142023597,0.1155508004422084,0.14582608239826356
32,0.14003932955194462,0.12509520391693163,0.1549834551869576
33,0.1601231925334283,0.14309108542947804,0.17715529963737855
34,0.1365327838761375,0.12189861364171165,0.15116695411056333
35,0.1595606963149646,0.14245829551198194,0.17666309711794728
36,0.13905115656624795,0.12398829176673529,0.1541140213657606
37,0.16081763230930943,0.14376901427716207,0.17786625034145678
38,0.1594287527575472,0.1424155085591846,0.17644199695590979
39,0.13400717623749167,0.11848512623584315,0.1495292262391402
40,0.1380488576509312,0.12205865972801791,0.15403905557384448
41,0.1594287527575472,0.1424155085591846,0.17644199695590979
42,0.14064931287644875,0.1256886184067293,0.1556100073461682
43,0.13701410024288893,0.12244007887118116,0.1515881216145967
44,0.14064931287644875,0.1256886184067293,0.1556100073461682
45,0.1365327838761375,0.12189861364171165,0.15116695411056333
46,0.1365327838761375,0.12189861364171165,0.15116695411056333
47,0.1594287527575472,0.1424155085591846,0.17644199695590979
48,0.13605187643119906,0.12146925192239628,0.15063450094000183
49,0.13448085620735506,0.11890393985911649,0.15005777255559363
