episode_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,4.028437077348377e-05,-4.005020265399292e-05,0.00012061894420096046
1,0.0002962550070370438,-0.00012392304549060435,0.000716433059564692
2,1.2145129806853012e-06,-1.26944496816722e-06,3.698470929537822e-06
3,5.605008212794032e-05,-1.6646982728464173e-05,0.0001287471469843448
4,2.5785133671514322e-05,-2.695138603982084e-05,7.852165338284948e-05
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,2.0885958273926604e-05,-2.1830622692254872e-05,6.360253924010808e-05
11,0.0,0.0,0.0
12,0.0018057419122891123,-0.0017599258213640665,0.005371409645942292
13,5.382820846052966e-05,-4.5624236353835445e-05,0.00015328065327489476
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0021536939630755593,-0.0022511047702888287,0.006558492696439947
19,3.1833498359894224e-05,-3.327331609854422e-05,9.694031281833267e-05
20,8.216782349860237e-05,-8.588424475026729e-05,0.000250219891747472
21,3.378382123992768e-06,-1.7327272676760448e-06,8.48949151566158e-06
22,0.0015700428990820829,-0.0016410553775405572,0.0047811411757047225
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,4.300233593900351e-06,-4.4947316204394935e-06,1.3095198808240196e-05
28,0.00014979281670966994,-0.00010899426653687873,0.0004085798999562186
29,0.0,0.0,0.0
30,0.0002618389070426317,-0.000273681787104588,0.0007973596011898514
31,6.04645440132848e-05,-5.014647982154433e-05,0.00017107556784811393
32,0.0015888402615286167,-0.0016211622823598046,0.004798842805417038
33,5.47956889603526e-05,-5.541569079920233e-05,0.00016500706871990753
34,0.0006314734080177212,-0.0006118403935594658,0.0018747872095949082
35,0.0,0.0,0.0
36,1.4969864785564146e-05,-8.812756192590121e-06,3.875248576371841e-05
37,9.837555143550942e-07,-1.0282504242154478e-06,2.9957614529256364e-06
38,0.0,0.0,0.0
39,5.898811514266599e-06,-6.1656126480651445e-06,1.796323567659834e-05
40,0.0,0.0,0.0
41,6.655593703386791e-05,-6.956623824771652e-05,0.00020267811231545235
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,2.0885958273926604e-05,-2.1830622692254872e-05,6.360253924010808e-05
46,4.34706224050581e-05,-1.7347967643469924e-05,0.00010428921245358611
47,2.821383260958021e-06,-2.94899341617035e-06,8.591759938086393e-06
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,1.8511095575145575e-06,-1.934834580349366e-06,5.6370536953784815e-06
51,1.4299650549193543e-05,-6.730043764523069e-06,3.5329344862910154e-05
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.00021208951470453165,-0.00022168224755471616,0.0006458612769637795
55,0.0,0.0,0.0
56,5.304537516899906e-06,-1.3515084356760872e-06,1.19605834694759e-05
57,0.00011062089800303219,-9.66241430087446e-05,0.00031786593901480896
