episode_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,2.0371622449399234e-14,-2.1266040204318783e-14,6.200928510311725e-14
1,3.5150045968210144e-16,-3.6641777189743097e-16,1.0694186912616339e-15
2,5.160222969116012e-14,-2.2031680580464367e-14,1.2523613996278461e-13
3,5.651310569298424e-18,-3.4675605270285278e-18,1.4770181665625375e-17
4,7.043467820237177e-19,-7.160146284251497e-19,2.1247081924725852e-18
5,5.228017142702222e-16,-9.195578258030721e-17,1.1375592111207517e-15
6,6.889946816643145e-14,-7.18924247635993e-14,2.0969136109646218e-13
7,1.0592346191747292e-14,-1.0584668325241537e-14,3.176936070873612e-14
8,1.73802851552731e-18,-1.6112601669483593e-18,5.0873171980029795e-18
9,4.7061349096156004e-14,-4.918991502694837e-14,1.4331261321926037e-13
10,5.037087157627541e-14,-5.190235173832893e-14,1.5264409489087976e-13
11,5.930840086099783e-10,-6.199084073021491e-10,1.8060764245221056e-09
12,2.0347042300449807e-14,-2.1085110333543708e-14,6.177919493444333e-14
13,6.023529310367032e-14,-6.261686253623406e-14,1.830874487435747e-13
14,4.66262946114685e-15,-2.5273141104670677e-15,1.1852573032760767e-14
15,3.681989939398567e-14,-2.0067802432590477e-14,9.370760122056181e-14
16,8.544054281561102e-12,-8.88735190662355e-12,2.5975460469745753e-11
17,3.304184153688863e-07,-3.4536312144436996e-07,1.0061999521821426e-06
18,3.4622476581153244e-15,-3.5838647848859194e-15,1.0508360101116569e-14
19,9.39317327914637e-16,-2.2248091568902844e-16,2.1011155715183026e-15
20,8.887496722239256e-10,-9.266498213723196e-10,2.704149165820171e-09
21,2.3796262120792377e-14,-1.8053791617938516e-14,6.564631585952327e-14
22,2.3849112041031184e-12,-5.252327491298518e-13,5.295055157336089e-12
23,4.823423995959884e-10,-4.875000949118601e-10,1.452184894103837e-09
24,4.748629486082197e-10,-4.953856031971733e-10,1.4451115004136127e-09
25,2.4553297165784944e-12,-2.556364283951946e-12,7.467023717108934e-12
26,8.16859035001089e-15,-3.5179111965523996e-15,1.985509189657418e-14
27,1.962924720953581e-14,-2.0517041633063937e-14,5.977553605213556e-14
28,2.2680462236016643e-16,-2.260917247562673e-16,6.797009694766002e-16
29,2.5204381817604525e-12,-2.488490390654563e-12,7.529366754175469e-12
