episode_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,8.8439317254566e-11,-4.5185747283685955e-11,2.2206438179281795e-10
1,8.311046218050385e-17,-5.737455010156384e-17,2.2359547446257155e-16
2,9.399804301386642e-21,-8.240135566656864e-21,2.703974416943015e-20
3,6.908534725637524e-14,-7.168413006800091e-14,2.0985482458075137e-13
4,8.88136623041408e-10,-9.281445416121466e-10,2.7044177876949627e-09
5,6.123326051296223e-17,-6.108800433182214e-17,1.8355452535774661e-16
6,2.499938703318091e-12,-2.517798735227692e-12,7.517676141863874e-12
7,4.621872270986065e-16,-1.8751168264991242e-16,1.1118861368471254e-15
8,1.812491284380681e-07,-1.894469610992112e-07,5.519452179753474e-07
9,2.5827024726856267e-16,-5.939113390717443e-17,5.759316284442998e-16
10,1.8071444741483867e-07,-1.8888809708309785e-07,5.503169919127752e-07
11,3.5686617976677013e-13,-3.72996747357364e-13,1.0867291068909043e-12
12,2.6108433148267115e-10,-2.2007643058769936e-10,7.422450935530417e-10
13,8.345606812355519e-13,-8.661714739825936e-13,2.5352928364536975e-12
14,1.0077587553970243e-12,-1.052966920767422e-12,3.068484431561471e-12
15,2.5093831187750046e-14,-2.6224542531576095e-14,7.641220490707619e-14
16,6.807732378413147e-17,-7.112672133509239e-17,2.0728136890335534e-16
17,3.366847172988684e-13,-3.5191268323894916e-13,1.025282117836686e-12
18,8.876697102079474e-10,-9.278186931849482e-10,2.703158113600843e-09
19,2.0845221351733652e-14,-2.05592647193476e-14,6.22497074228149e-14
20,4.856097639778159e-15,-3.975739733174724e-15,1.368793501273104e-14
21,4.757552150357201e-10,-4.955403634192484e-10,1.4470507934906888e-09
22,6.746549212894457e-16,-5.92701490208697e-16,1.9420113327875882e-15
23,4.650738738739583e-16,-2.791341141540028e-16,1.2092818619019194e-15
24,3.391566231361727e-11,-3.544840252433472e-11,1.0327972715156926e-10
25,5.927580520370285e-09,-6.18785993423709e-09,1.804302097497766e-08
26,3.1058408404273357e-12,-3.1191372234840853e-12,9.330818904338757e-12
27,1.8116939133020355e-07,-1.884022378452836e-07,5.507410205056908e-07
28,1.3625277983412239e-09,-6.658047712436405e-10,3.390860367926088e-09
29,1.0242526881908904e-13,-3.7633680744697953e-14,2.42484218382876e-13
