task_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,4.807967937364077e-14,-5.025427081851401e-14,1.4641362956579555e-13
1,7.870722681665178e-57,-8.226712266534108e-57,2.3968157629864463e-56
2,2.9967466667884663e-28,-3.132150050876885e-28,9.125643384453817e-28
3,3.451182521478208e-12,-1.8968766715330534e-12,8.799241714489469e-12
4,9.547843275046995e-33,-9.979684303068231e-33,2.907537085316222e-32
5,1.1068621052204279e-35,-1.156474479130956e-35,3.370198689571812e-35
6,4.862784261436626e-10,-5.018837309730789e-10,1.4744405832604042e-09
7,2.9968215950975033e-28,-3.132069839591329e-28,9.125713029786335e-28
8,1.5454394675894434e-10,-1.6153335998383566e-10,4.706212535017243e-10
9,1.894803825038317e-33,-7.97791498341621e-34,4.5873991484182554e-33
10,1.610801016617364e-24,-1.683656950174747e-24,4.905258983409475e-24
11,2.905989079761427e-45,-2.943305632887773e-45,8.755283792410627e-45
12,1.5848414368978234e-10,-6.736980173677608e-11,3.8433808911634075e-10
13,1.0338063393256721e-19,-8.029088305341894e-20,2.870521509185534e-19
14,3.599150853289947e-24,-3.761939137286199e-24,1.0960240843866093e-23
15,4.520770685168286e-14,-4.725006530199665e-14,1.3766547900536238e-13
16,1.259102108988329e-12,-1.31545496347917e-12,3.833659181455828e-12
17,4.657180889868462e-32,-4.867823048876804e-32,1.4182184828613728e-31
18,3.148860184472485e-55,-1.249449786987e-55,7.54717015593197e-55
19,9.838028597202549e-12,-8.171984869378277e-12,2.7848042063783374e-11
20,7.251342430658548e-41,-7.579318053778924e-41,2.208200291509602e-40
21,1.3608197541884713e-20,-5.67114527531695e-21,3.288754035908638e-20
22,1.1802635498295189e-27,-1.233646447810428e-27,3.594173547469465e-27
23,1.3116485130001238e-52,-1.3645592771106435e-52,3.987856303110891e-52
24,6.669794944165455e-10,-5.461876569661818e-10,1.880146645799273e-09
25,1.0988644681217633e-13,-3.968548982525909e-14,2.5945838344961175e-13
26,4.603687761333837e-10,-4.690005626039407e-10,1.3897381148707081e-09
27,1.6470811464718237e-55,-1.4515853108798131e-55,4.7457476038234605e-55
28,2.0552105080541807e-14,-2.086788548846052e-14,6.197209564954413e-14
29,3.190088004148546e-09,-3.334373832653997e-09,9.714549840951088e-09
