task_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,1.7087379874342793e-18,-1.7834643423152556e-18,5.200940317183814e-18
1,7.251344427746541e-41,-7.579315915846586e-41,2.208200477133967e-40
2,1.6108853588674785e-24,-1.6829460232432667e-24,4.904716740978224e-24
3,2.475909410701908e-12,-2.534589918630822e-12,7.486408740034638e-12
4,2.3147289777724146e-50,-2.419373337903572e-50,7.048831293448401e-50
5,2.8859950526055735e-45,-2.9645798363109316e-45,8.736569941522079e-45
6,1.1239514890018263e-09,-1.1713977743908293e-09,3.4193007523944817e-09
7,5.750388603449677e-17,-6.010476201434847e-17,1.7511253408334201e-16
8,2.4758501247800324e-12,-2.5872157132735075e-12,7.538915962833572e-12
9,1.6108010002722168e-24,-1.6836569530614615e-24,4.905258953605895e-24
10,3.0743964366651293e-28,-3.213214535820647e-28,9.362007409150905e-28
11,2.467855434877847e-47,-2.5745804737972933e-47,7.510291343552988e-47
12,8.886384672837155e-10,-9.275747972327968e-10,2.7048517318002278e-09
13,9.379939432552554e-16,-9.757362836388564e-16,2.8517241701493674e-15
14,5.198880199059641e-27,-4.818736121758968e-27,1.521649651987825e-26
15,5.679471466372729e-17,-5.672377765429837e-17,1.7031320698175296e-16
16,7.561090436667841e-09,-7.900907092720603e-09,2.3023087966056285e-08
17,2.8576760858306654e-50,-2.9868956621250727e-50,8.702247833786403e-50
18,2.7020794408911585e-39,-2.824293527016801e-39,8.228452408799118e-39
19,8.882223639716066e-10,-9.272275408276371e-10,2.70367226877085e-09
20,6.375120280287515e-57,-6.663033498864989e-57,1.9413274059440017e-56
21,9.452605850419408e-16,-9.679714304852701e-16,2.8584926005691517e-15
22,2.0386293697111504e-61,-2.128542425850826e-61,6.205801165273127e-61
23,1.9994157967176245e-47,-2.0849263212193306e-47,6.083757914654579e-47
24,1.501940998463814e-09,-6.678103155232435e-10,3.6716923124508715e-09
25,6.055070687062632e-17,-5.2878237907747095e-17,1.7397965164899974e-16
26,4.567943537904293e-10,-4.735618207724412e-10,1.3871505283533e-09
27,4.464943383689025e-47,-1.9137356531233724e-47,1.0843622420501422e-46
28,3.1883177647724537e-09,-3.332524080589299e-09,9.709159610134206e-09
29,4.158640951874594e-16,-1.6886222820283788e-16,1.0005904185777566e-15
