task_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,0.06016993514939552,0.043525816578128054,0.07681405372066298
1,0.12444259973284266,0.10725310059991836,0.14163209886576697
2,0.11651104689895658,0.0997300737428,0.13329202005511315
3,0.11614071618502013,0.10044291081105801,0.13183852155898226
4,0.12452832074573333,0.10860961716285276,0.1404470243286139
5,0.11036179424009707,0.09475706034969329,0.12596652813050083
6,0.12318166196396246,0.10716940348149404,0.1391939204464309
7,0.11849430733249003,0.10253716535344146,0.1344514493115386
8,0.11696785982787095,0.1014168860362108,0.1325188336195311
9,0.11942634541769266,0.10233311750788714,0.1365195733274982
10,0.1280144558717884,0.10957002936391948,0.14645888237965732
11,0.11103944896312737,0.09362893423581287,0.12844996369044187
12,0.11365620218002555,0.09570110415755646,0.13161130020249462
13,0.1003568008113965,0.08587933554912812,0.11483426607366488
14,0.11434419568316292,0.09761273627530327,0.13107565509102256
15,0.10697896719133554,0.09079479784599503,0.12316313653667604
16,0.11384457417291272,0.09737524745590573,0.1303139008899197
17,0.11498495680710125,0.09927548396011096,0.13069442965409153
18,0.1092123976460738,0.09444033404310444,0.12398446124904315
19,0.10768741253755224,0.09129557892071564,0.12407924615438883
20,0.106070770621183,0.08989800578926958,0.12224353545309642
21,0.11574011351741725,0.1000573373203862,0.1314228897144483
22,0.10967900305160526,0.09370264502357746,0.12565536107963307
23,0.11454895605568201,0.09795513797086128,0.13114277414050274
24,0.10998434343491276,0.09368541465535898,0.12628327221446653
25,0.1100244917535889,0.09416659439965376,0.12588238910752403
26,0.1156046109674199,0.09871733978265299,0.13249188215218682
27,0.1062569392650746,0.08933458138266523,0.12317929714748396
28,0.12079545476849704,0.10372997511810601,0.13786093441888808
29,0.12190954952561955,0.10612269009718957,0.13769640895404953
