task_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,0.027083349626546207,0.009901728942306537,0.04426497031078588
1,0.0,0.0,0.0
2,0.0001824800363140075,-0.0001795999450521664,0.0005445600176801814
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.1697257522116379,0.15856931987564507,0.18088218454763075
7,0.01438295900314195,0.008922581961887017,0.01984333604439688
8,0.2749898803742108,0.24324933524259457,0.306730425505827
9,0.43980435631677756,0.4211884181175564,0.4584202945159987
10,0.4240062847682326,0.40442762675998956,0.44358494277647564
11,0.25021680021478165,0.22686214170201713,0.2735714587275462
12,0.0,0.0,0.0
13,0.1818747569713831,0.17173062723520535,0.19201888670756087
14,0.09848107259122166,0.08598497083638654,0.11097717434605678
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0001198522713973446,-0.00011770599029988352,0.0003574105330945727
19,3.0180938119086225e-06,-2.9281432741310322e-06,8.964330897948278e-06
20,0.0,0.0,0.0
21,0.4481137131174129,0.433125621071057,0.46310180516376875
22,0.4418708029189372,0.4248252520020704,0.45891635383580404
23,0.44003621780913815,0.4242758324280688,0.4557966031902075
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.4115476470265939,0.3894488707741828,0.43364642327900504
27,0.21187752056283501,0.2010306198958336,0.22272442122983643
28,0.40355127491547194,0.38108209848063107,0.4260204513503128
29,0.4469819577253197,0.42916324195551203,0.4648006734951273
