instance,task,episode,return,discounted_return
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,8,0.0,0.0
1,1,9,0.0,0.0
1,1,10,0.0,0.0
1,1,11,0.0,0.0
1,1,12,0.0,0.0
1,1,13,0.0,0.0
1,1,14,0.0,0.0
1,1,15,0.0,0.0
1,1,16,0.0,0.0
1,1,17,0.0,0.0
1,1,18,0.0,0.0
1,1,19,0.0,0.0
1,1,20,0.0,0.0
1,1,21,0.0,0.0
1,1,22,0.0,0.0
1,1,23,0.5288105335152576,2.7223843776631458e-05
1,1,24,0.0,0.0
1,1,25,0.0,0.0
1,1,26,0.0,0.0
1,1,27,0.0,0.0
1,1,28,0.0,0.0
1,1,29,0.0,0.0
1,1,30,0.0,0.0
1,1,31,0.0,0.0
1,1,32,0.0,0.0
1,1,33,0.0,0.0
1,1,34,0.0,0.0
1,1,35,0.0,0.0
1,1,36,0.0,0.0
1,1,37,0.380571092237712,2.4174840384814197e-05
1,1,38,0.5323978325126338,0.0036421115959565454
1,1,39,1.7197941946566915,0.009290803983976496
1,1,40,0.2477347700923137,0.0001034796944015993
1,1,41,0.6087891722349821,4.711237161284667e-05
1,1,42,0.0,0.0
1,1,43,0.3539764089091818,0.010532967110413306
1,1,44,0.4098951193667116,0.00017462387155640238
1,1,45,0.6073069610996868,0.0025063736198356417
1,1,46,0.0,0.0
1,1,47,0.2262095968964547,0.0002147627783006806
1,1,48,5.390990615807376,0.018426523241740076
1,1,49,6.654582349728043,0.14885575939131343
1,1,50,7.768550415208738,0.12944300711123125
1,1,51,7.768550415208738,0.15844379261232508
1,1,52,7.595198501737958,0.12170237120186247
1,1,53,7.477239026759188,0.15304721780212754
1,1,54,7.115658352650999,0.1151968362012229
1,1,55,7.709570677719353,0.14457974353090328
1,1,56,7.805478707536745,0.15796175952576572
1,1,57,7.403382442103174,0.12730818231615115
1,1,58,7.688045504523494,0.15977221260078814
1,1,59,7.554682910412576,0.15293184083925535
1,1,60,7.709570677719353,0.15487778443307407
1,1,61,7.26748509292592,0.10366019686935296
1,1,62,7.536218764248573,0.12432514342262997
1,1,63,7.035153441965755,0.11920915166751535
1,1,64,7.115658352650999,0.08176433181023322
1,1,65,7.805478707536745,0.1573471921339533
1,1,66,7.613662647901961,0.1568356639333068
1,1,67,7.6321267940659645,0.15574676402984616
1,1,68,7.480826325756563,0.09506288608969779
1,1,69,7.186453910275157,0.10810853523409923
1,1,70,7.307474412285782,0.09326962565936162
1,1,71,7.193102236304387,0.15936890119970473
1,1,72,7.901386737354136,0.15987368139083097
1,1,73,7.595198501737958,0.10488329515897903
1,1,74,7.282888212058068,0.12140264804013981
1,1,75,7.672642385391346,0.15447910416160215
1,1,76,7.765489388176882,0.13432211926638973
1,1,77,7.6911065315553495,0.14630381069667675
1,1,78,7.171050791143009,0.12327684052007627
1,1,79,7.576734355573954,0.09442450998699733
1,1,80,7.787014561372741,0.15621713033162224
1,1,81,6.366858260275868,0.05305819728862078
1,1,82,7.6321267940659645,0.15644232899899413
1,1,83,7.595198501737958,0.1265717692170745
1,1,84,6.917720238952504,0.1350072648633313
1,1,85,7.805478707536745,0.15136205816701262
1,1,86,7.6321267940659645,0.12386398608418686
1,1,87,7.978830621007525,0.15992235133381216
1,1,88,7.6321267940659645,0.1468347879514694
1,1,89,7.131061471783147,0.10848392955304702
1,1,90,7.787014561372741,0.15758040667247675
1,1,91,7.456240125528849,0.10304893141342239
1,1,92,7.152586644979006,0.11801449002713621
1,1,93,7.499290471920566,0.116317264991512
1,1,94,7.805478707536745,0.15929853528508464
1,1,95,7.573673328542099,0.12869025649828933
1,1,96,7.193102236304387,0.08770907731056993
1,1,97,7.768550415208738,0.14121372983929403
1,1,98,7.613662647901961,0.14340196966268273
1,1,99,7.421846588267178,0.14755796847579508
1,1,100,7.0382144689976105,0.08501459920095573
1,2,1,0.0,0.0
1,2,2,0.0,0.0
1,2,3,0.0,0.0
1,2,4,0.0,0.0
1,2,5,0.0,0.0
1,2,6,0.0,0.0
1,2,7,0.0,0.0
1,2,8,0.0,0.0
1,2,9,0.0,0.0
1,2,10,0.0,0.0
1,2,11,0.0,0.0
1,2,12,0.0,0.0
1,2,13,0.0,0.0
1,2,14,0.28072745896105716,0.014539542029357509
1,2,15,0.0,0.0
1,2,16,0.0,0.0
1,2,17,0.0,0.0
1,2,18,0.0,0.0
1,2,19,0.0,0.0
1,2,20,0.0,0.0
1,2,21,0.0,0.0
1,2,22,0.0,0.0
1,2,23,0.0,0.0
1,2,24,0.0,0.0
1,2,25,0.5435104669033196,0.006496292805948744
1,2,26,0.0,0.0
1,2,27,0.0,0.0
1,2,28,0.0,0.0
1,2,29,0.0,0.0
1,2,30,0.13254375172830143,1.6334364281068685e-05
1,2,31,0.0,0.0
1,2,32,0.0,0.0
1,2,33,0.0,0.0
1,2,34,0.0,0.0
1,2,35,0.0,0.0
1,2,36,0.06627187586415072,0.00141834933315719
1,2,37,0.37827924583411643,1.5702578283117436e-05
1,2,38,0.14818370723275573,0.0032115318239634635
1,2,39,0.33439697431879845,0.0006146272527780398
1,2,40,0.0,0.0
1,2,41,0.33439697431879845,0.0006608161508678436
1,2,42,0.684882372733225,0.003380181726207537
1,2,43,0.0,0.0
1,2,44,0.11015414737946874,0.0012612563028040816
1,2,45,0.49962819538800163,0.004367814732520221
1,2,46,1.6377916707039837,0.017675580592707716
1,2,47,6.490181121741448,0.0788145637407534
1,2,48,7.82095721761379,0.1552533671222303
1,2,49,7.727850584070769,0.15355435693522976
1,2,50,7.82095721761379,0.1552533671222303
1,2,51,7.727850584070769,0.15499835480784657
1,2,52,7.82095721761379,0.1552533671222303
1,2,53,7.82095721761379,0.1552533671222303
1,2,54,7.727850584070769,0.15521509114190665
1,2,55,7.82095721761379,0.1552533671222303
1,2,56,7.82095721761379,0.1552533671222303
1,2,57,7.470471819199364,0.12573731717181022
1,2,58,7.82095721761379,0.1552533671222303
1,2,59,7.727850584070769,0.1470013838060207
1,2,60,7.82095721761379,0.1552533671222303
1,2,61,7.727850584070769,0.15524871365659138
1,2,62,7.749791719828428,0.15521323541256354
1,2,63,7.727850584070769,0.15524627450580153
1,2,64,7.727850584070769,0.15372425795392983
1,2,65,7.82095721761379,0.1552533671222303
1,2,66,7.749791719828427,0.15463223725025482
