instance,task,episode,return,discounted_return
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,8,0.0,0.0
1,1,9,0.0,0.0
1,1,10,0.0,0.0
1,1,11,0.0,0.0
1,1,12,0.28160203538846423,1.0909268033717834e-05
1,1,13,0.22367484183011907,1.765793901771699e-05
1,1,14,1.6274734638366757,0.004445557692042945
1,1,15,1.1341090115141295,0.03684615274728891
1,1,16,1.699223581419005,0.020217478402020983
1,1,17,1.954328917451807,0.013447484754919982
1,1,18,5.562665729408727,0.02535771686835178
1,1,19,7.688045504523494,0.26053362263893204
1,1,20,8.071677623793061,0.2528618804375875
1,1,21,8.071677623793061,0.25558728847046525
1,1,22,8.10860591612107,0.2407335052870823
1,1,23,8.28195782959185,0.24722293545913931
1,1,24,7.879861564158277,0.2038876469631798
1,1,25,8.053213477629058,0.19656215945051247
1,1,26,7.817820799637037,0.21681315409721175
1,1,27,8.071677623793061,0.2017617427336085
1,1,28,7.820881826668892,0.17576220263275688
1,1,29,8.340937567081236,0.25960723267054164
1,1,30,7.957305447811666,0.26266323938710423
1,1,31,8.14912150744645,0.20617375095601484
1,1,32,8.22656539109984,0.24348000326974698
1,1,33,7.706509650687497,0.20956684783873286
1,1,34,8.17064668064231,0.24259464441916953
1,1,35,7.743964214981023,0.20609404062210276
1,1,36,8.074738650824917,0.22555617322759058
1,1,37,7.765489388176882,0.2152235897322185
1,1,38,8.245029537263843,0.26246312031794916
1,1,39,7.975769593975669,0.2215290313348269
1,1,40,7.935254002650287,0.25347412631508276
1,1,41,8.071677623793061,0.2648775139402179
1,1,42,7.953718148814291,0.2658380640717487
1,1,43,7.724973796851501,0.2579523713559922
1,1,44,8.012697886303677,0.24841798844930701
1,1,45,8.012697886303677,0.25867897455069666
1,1,46,7.858336390962418,0.2587782662146642
1,1,47,7.706509650687497,0.25008351239830995
1,1,48,8.263493683427846,0.24863203926531938
1,1,49,7.688045504523494,0.1907354468937338
1,1,50,8.14912150744645,0.22910097454908696
1,2,1,0.0,0.0
1,2,2,0.0,0.0
1,2,3,0.0,0.0
1,2,4,0.0,0.0
1,2,5,0.0,0.0
1,2,6,0.0,0.0
1,2,7,0.0,0.0
1,2,8,0.0,0.0
1,2,9,0.0,0.0
1,2,10,0.0,0.0
1,2,11,0.0,0.0
1,2,12,0.9100842894133742,0.0011013073756826583
1,2,13,0.3724265341720855,0.00020062657572489284
1,2,14,0.7959956098535131,0.0001963373870977577
1,2,15,0.46649225745592615,0.0011899127487748015
1,2,16,1.135063727759464,0.0028223267050106263
1,2,17,2.6099251609855276,0.08771117623157727
1,2,18,7.169210782812641,0.0824255527704542
1,2,19,8.155354191932588,0.2532149444646101
1,2,20,8.24846082547561,0.25323754604823145
1,2,21,8.155354191932588,0.2532065425041693
1,2,22,8.084188694147226,0.2517812797479881
1,2,23,8.177295327690247,0.24988555951450492
1,2,24,7.919916562818842,0.2462772471087973
1,2,25,8.24846082547561,0.25323754604823145
1,2,26,8.24846082547561,0.25323754604823145
1,2,27,8.155354191932588,0.25323449290942573
1,2,28,8.24846082547561,0.25323754604823145
1,2,29,8.084188694147226,0.25162554496372963
1,2,30,8.177295327690247,0.25320829003188433
1,2,31,7.991082060604205,0.2519423593577813
1,2,32,8.177295327690247,0.25323085321009114
1,2,33,8.106129829904885,0.25039455182339426
1,2,34,8.177295327690247,0.24951311656631306
1,2,35,8.062247558389567,0.22679684512152784
1,2,36,8.177295327690247,0.2532321248493378
1,2,37,8.062247558389567,0.23596435745584732
1,2,38,8.24846082547561,0.25323754604823145
1,2,39,8.24846082547561,0.25323754604823145
1,2,40,7.991082060604205,0.24717600243137144
1,2,41,8.155354191932588,0.2500405586366457
1,2,42,8.062247558389567,0.2513936068621733
1,2,43,8.24846082547561,0.25323754604823145
1,2,44,8.177295327690247,0.2532321248493378
1,2,45,8.24846082547561,0.25323754604823145
1,2,46,8.084188694147226,0.25240589833701915
1,2,47,8.24846082547561,0.25323754604823145
1,2,48,8.155354191932588,0.2509069422251855
1,2,49,8.155354191932588,0.2531850412741249
1,2,50,8.155354191932588,0.2529825337338477
1,3,1,0.0,0.0
1,3,2,0.0,0.0
1,3,3,0.0,0.0
1,3,4,0.0,0.0
1,3,5,0.0,0.0
1,3,6,0.0,0.0
1,3,7,0.0,0.0
1,3,8,0.0,0.0
1,3,9,0.0,0.0
1,3,10,0.0,0.0
1,3,11,0.0,0.0
1,3,12,0.9151163604995634,0.0008355784732413306
1,3,13,0.0,0.0
1,3,14,0.45425823673142446,4.9523019181456336e-05
1,3,15,0.8986759170024969,0.018336148402797743
1,3,16,0.6599609661206259,0.06045592408462303
1,3,17,2.899620879130033,0.07673009061203497
1,3,18,5.947989752511597,0.10740342226005115
1,3,19,6.420149940703328,0.2273066646416369
1,3,20,6.420149940703327,0.2173903709305903
1,3,21,6.386472632478307,0.2271988096775908
1,3,22,6.386472632478307,0.18445488460490075
1,3,23,6.141674553364604,0.21856041051869599
1,3,24,6.420149940703327,0.2253600433014087
1,3,25,6.403311286590818,0.21668059449371477
1,3,26,6.347576388061528,0.22227852763725395
1,3,27,6.291841489532239,0.21933321016114546
1,3,28,6.4758848392326165,0.2277139725990772
1,3,29,6.459046185120107,0.22771932399297498
1,3,30,6.258164181307219,0.182842361556662
1,3,31,6.313899079836508,0.18444730098243364
1,3,32,6.420149940703327,0.219987789206169
1,3,33,6.18559062866542,0.21857468986090878
1,3,34,6.11301707602362,0.14384724150693232
1,3,35,6.403311286590818,0.20451399249085223
1,3,36,6.386472632478307,0.20475302574283222
1,3,37,6.403311286590817,0.2273456503036417
1,3,38,6.475884839232617,0.22733212300048927
1,3,39,6.475884839232617,0.227667008026498
1,3,40,6.403311286590818,0.22670460744883675
1,3,41,6.364415042174038,0.227527395381679
1,3,42,6.219267936890439,0.1827081075113108
1,3,43,6.347576388061528,0.22760533826060045
1,3,44,6.403311286590817,0.2072212453170257
1,3,45,6.4758848392326165,0.22771628616335965
1,3,46,6.4758848392326165,0.22770759010959196
1,3,47,6.420149940703328,0.22758293673812624
1,3,48,6.459046185120107,0.22772376943210845
1,3,49,6.4758848392326165,0.22617600349681946
1,3,50,6.386472632478307,0.2154925105916207
1,4,1,0.0,0.0
1,4,2,0.0,0.0
1,4,3,0.0,0.0
1,4,4,0.0,0.0
1,4,5,0.0,0.0
