instance,task,episode,return,discounted_return
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,8,0.0,0.0
1,1,9,0.0,0.0
1,1,10,0.0,0.0
1,1,11,0.0,0.0
1,1,12,0.18622027753659248,6.127683324678646e-06
1,1,13,1.0863208382211265,0.0026052130681755315
1,1,14,0.8391123400943332,0.0021374004253002523
1,1,15,0.5950628529722635,0.0007672222925303492
1,1,16,2.311171764658712,0.08026151874080907
1,1,17,3.997097314807646,0.03355573022828463
1,1,18,7.0166892958017515,0.062098254325069144
1,1,19,7.957305447811666,0.2632916201974312
1,1,20,8.418381450734625,0.2665192028204495
1,1,21,7.802417680504889,0.18919865705265265
1,1,22,7.592137474706102,0.20702485654491556
1,1,23,8.053213477629058,0.23554676233170432
1,1,24,8.10860591612107,0.23332921241934737
1,1,25,7.783953534340886,0.23384071878363746
1,1,26,7.802417680504889,0.21393206627589853
1,1,27,7.5731470565765795,0.1773930826110044
1,1,28,7.6695813583594905,0.19592764160298126
1,1,29,7.975769593975669,0.23164598541419917
1,1,30,8.263493683427846,0.2504890478831607
1,1,31,8.263493683427846,0.26087811915352066
1,1,32,7.916789856486284,0.2304999482275568
1,1,33,7.820881826668892,0.20034006673472132
1,1,34,7.820881826668892,0.19082913243701208
1,1,35,8.068616596761206,0.266312732077793
1,1,36,8.050152450597203,0.23048702653877265
1,1,37,8.01016313123734,0.2079434522354288
1,1,38,8.090668041922585,0.2083895114167434
1,1,39,8.130657361282447,0.1897732081180381
1,1,40,8.087607014890729,0.25603446113120554
1,1,41,7.879861564158277,0.2226890169467501
1,1,42,8.167585653610454,0.26492475389721104
1,1,43,7.802417680504889,0.20641652835748642
1,1,44,7.994233740139673,0.2393017853574242
1,1,45,8.071677623793061,0.24758782904515805
1,1,46,8.14912150744645,0.2287173158843006
1,1,47,7.820881826668892,0.24166475023272124
1,1,48,8.14912150744645,0.2432832002098411
1,1,49,7.839345972832896,0.23179630305018398
1,1,50,7.95424442077981,0.2310161041108699
1,2,1,0.0,0.0
1,2,2,1.5252708752517012,0.024729534315208353
1,2,3,0.0,0.0
1,2,4,0.0,0.0
1,2,5,0.0,0.0
1,2,6,0.0,0.0
1,2,7,0.3250581990675489,0.0002608276719269252
1,2,8,0.0,0.0
1,2,9,0.0,0.0
1,2,10,0.0,0.0
1,2,11,0.0,0.0
1,2,12,0.0,0.0
1,2,13,0.0,0.0
1,2,14,0.9607783623315425,0.0025948470776867042
1,2,15,0.6750951288908017,0.0003212490226063531
1,2,16,1.0587164652373036,0.0009675323096498435
1,2,17,3.2737633351434403,0.016516852187060633
1,2,18,7.355424049898684,0.09166644613154655
1,2,19,8.007170484699833,0.21295074292179722
1,2,20,7.574773254916801,0.12357208131607852
1,2,21,7.07610414926962,0.0668188074794043
1,2,22,8.24846082547561,0.25323754604823145
1,2,23,8.084188694147226,0.2435858665756667
1,2,24,8.177295327690247,0.25297017000519456
1,2,25,8.155354191932588,0.23193773473079327
1,2,26,8.177295327690247,0.24812858928291134
1,2,27,8.24846082547561,0.25323754604823145
1,2,28,8.177295327690247,0.25320142750953134
1,2,29,8.24846082547561,0.25323754604823145
1,2,30,8.24846082547561,0.25323754604823145
1,2,31,7.991082060604205,0.25318384011121947
1,2,32,8.177295327690247,0.25193891778621375
1,2,33,8.084188694147226,0.2355512636980773
1,2,34,8.177295327690247,0.252616416176256
1,2,35,8.084188694147226,0.2532075079777875
1,2,36,8.155354191932588,0.2440686756968874
1,2,37,8.24846082547561,0.25323754604823145
1,2,38,8.155354191932588,0.2279115657052189
1,2,39,8.177295327690247,0.24693019201697206
1,2,40,8.24846082547561,0.25323754604823145
1,2,41,8.062247558389567,0.24982064778326363
1,2,42,8.177295327690247,0.2532321248493378
1,2,43,8.24846082547561,0.25323754604823145
1,2,44,8.24846082547561,0.25323754604823145
1,2,45,8.155354191932588,0.24066022046339736
1,2,46,8.062247558389567,0.20511818339650767
1,2,47,8.062247558389567,0.20511818339650767
1,2,48,8.062247558389567,0.2525184746715001
1,2,49,8.155354191932588,0.2440686756968874
1,2,50,8.24846082547561,0.25323754604823145
1,3,1,0.0,0.0
1,3,2,0.0,0.0
1,3,3,0.0,0.0
1,3,4,0.0,0.0
1,3,5,0.0,0.0
1,3,6,0.0,0.0
1,3,7,0.0,0.0
1,3,8,0.14514710528359767,4.521660065154923e-06
1,3,9,0.0,0.0
1,3,10,0.0,0.0
1,3,11,0.0,0.0
1,3,12,0.0,0.0
1,3,13,0.9301758531516742,0.0005532368630274713
1,3,14,0.14514710528359767,6.271468768923914e-06
1,3,15,1.485266909250437,0.015339373463003588
1,3,16,1.555595319007207,0.048151069863372996
1,3,17,1.4311926239921076,0.07397656581276058
1,3,18,4.496518699675613,0.07768787344760165
1,3,19,6.330737733949018,0.2049451789381897
1,3,20,6.4758848392326165,0.22536348234818718
1,3,21,6.420149940703327,0.22727481269005725
1,3,22,6.403311286590817,0.2246311131529587
1,3,23,6.308680143644749,0.2161131670655174
1,3,24,6.20242928277793,0.1779081765169241
1,3,25,6.531619737761906,0.22772614925319537
1,3,26,6.403311286590817,0.22701248691506595
1,3,27,6.364415042174038,0.22747007379267392
1,3,28,6.420149940703327,0.22743091501220566
1,3,29,6.347576388061528,0.2268430505316686
1,3,30,6.347576388061528,0.22311652679646
1,3,31,6.386472632478307,0.22714992912787912
1,3,32,6.27500283541973,0.2036134383785114
1,3,33,6.386472632478307,0.2274723233819711
1,3,34,6.27500283541973,0.22709245158788846
1,3,35,6.364415042174038,0.22161740766218221
1,3,36,6.386472632478307,0.22681633555114775
1,3,37,6.18559062866542,0.20490796245316048
1,3,38,6.459046185120107,0.22640182680104418
1,3,39,6.420149940703327,0.22767638770565285
1,3,40,6.459046185120107,0.20495179943830347
1,3,41,6.386472632478307,0.22681633555114775
1,3,42,6.403311286590817,0.22718270879820998
1,3,43,6.313899079836508,0.19820638777089397
1,3,44,6.313899079836508,0.19887272323391944
1,3,45,6.275002835419729,0.19395691468514425
1,3,46,6.347576388061529,0.22192373896134665
1,3,47,6.313899079836508,0.18367288544013
1,3,48,6.459046185120107,0.22760877537375654
1,3,49,6.531619737761906,0.22772614925319537
1,3,50,6.531619737761906,0.22772614925319537
1,4,1,0.0,0.0
1,4,2,0.0,0.0
1,4,3,0.0,0.0
