instance,task,episode,return,discounted_return
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,8,0.0,0.0
1,1,9,0.0,0.0
1,1,10,0.0,0.0
1,1,11,0.0,0.0
1,1,12,0.0,0.0
1,1,13,0.0,0.0
1,1,14,0.0,0.0
1,1,15,0.0,0.0
1,1,16,0.0,0.0
1,1,17,0.0,0.0
1,1,18,0.0,0.0
1,1,19,0.36263929032966224,0.03252238735068357
1,1,20,0.0,0.0
1,1,21,0.06627187586415072,0.0031388322579656664
1,1,22,0.0,0.0
1,1,23,0.0,0.0
1,1,24,0.0,0.0
1,1,25,0.09310663354302137,0.008251983316209608
1,1,26,0.0,0.0
1,1,27,0.0,0.0
1,1,28,0.0,0.0
1,1,29,0.0,0.0
1,1,30,0.0,0.0
1,1,31,0.0,0.0
1,1,32,0.0,0.0
1,1,33,0.0,0.0
1,1,34,0.0,0.0
1,1,35,0.0,0.0
1,1,36,0.0,0.0
1,1,37,0.0,0.0
1,1,38,0.0,0.0
1,1,39,0.0,0.0
1,1,40,0.2252019166801491,0.013540902110442574
1,1,41,0.19836715900127846,0.0163166300307767
1,1,42,0.09310663354302137,0.004385442265549751
1,1,43,0.4655331677151069,0.04096293698356394
1,1,44,0.06627187586415072,0.0029654161111167345
1,1,45,0.0,0.0
1,1,46,0.0,0.0
1,1,47,0.0,0.0
1,1,48,0.0,0.0
1,1,49,0.5206102414048412,0.059978693404963764
1,1,50,0.0,0.0
1,1,51,0.4772385910391689,0.04852564956389295
1,1,52,0.2193492050181181,0.04497722728962469
1,1,53,0.0,0.0
1,1,54,0.0,0.0
1,1,55,0.0,0.0
1,1,56,0.3455917764932148,0.040996939801026124
1,1,57,0.4933270151347968,0.09558745014553223
1,1,58,0.79458805152152,0.10053382127310313
1,1,59,0.4002203815917754,0.09596881461752418
1,1,60,0.31245583856113945,0.01845840026368935
1,1,61,0.482642834110026,0.059786158493633224
1,1,62,0.0,0.0
1,1,63,0.0,0.0
1,1,64,0.0,0.0
1,1,65,0.14818370723275573,0.008123155721875793
1,1,66,0.18762082541803582,0.015479337403757714
1,1,67,0.06627187586415072,0.0029654161111167345
1,1,68,0.2538927012821865,0.06424079192018269
1,1,69,0.28072745896105716,0.05620316747768572
1,1,70,1.8621326708604269,0.29611150933971786
1,1,71,1.6047539059890221,0.19741805836088544
1,1,72,1.8129083088327236,0.26505343505986495
1,1,73,1.7198016752897025,0.24991518200746216
1,1,74,1.4185406389029793,0.1784043874059645
1,1,75,1.582812770231363,0.19095485411908822
1,1,76,1.906014942375745,0.3180370497525955
1,1,77,1.582812770231363,0.19626977421441516
1,1,78,2.0483459379464697,0.32519209261285864
1,1,79,1.7690260373174056,0.2497151932206931
1,1,80,1.4897061366883417,0.172061904569663
1,1,81,1.7748787489794366,0.2999109540342161
1,1,82,1.6978605395320432,0.24309609783849853
1,1,83,0.9530074711878729,0.0719972292844199
1,1,84,1.5116472724460006,0.18332155434844283
1,1,85,1.977180440161107,0.3133236932397216
1,1,86,1.8621326708604269,0.2999453832564258
1,1,87,1.7909671730750645,0.2793776578857712
1,1,88,1.3965995031453204,0.15343348700934517
1,1,89,1.8840738066180858,0.2772522757433404
1,1,90,1.9552393044034482,0.3150044588891431
1,1,91,1.582812770231363,0.18716768163743264
1,1,92,1.8840738066180858,0.29737019928414743
1,1,93,1.4516765768350548,0.15704103284261417
1,1,94,1.604753905989022,0.19249042469978683
1,1,95,1.7909671730750645,0.27163195195929646
1,1,96,1.626695041746681,0.23010834887360798
1,1,97,1.8621326708604269,0.2566563993697344
1,1,98,1.6759194037743843,0.2138201121646644
1,1,99,1.884073806618086,0.2834440564883441
1,1,100,1.4897061366883417,0.16728839709971255
1,2,1,0.0,0.0
1,2,2,0.0,0.0
1,2,3,0.0,0.0
1,2,4,0.0,0.0
1,2,5,0.0,0.0
1,2,6,0.0,0.0
1,2,7,0.0,0.0
1,2,8,0.0,0.0
1,2,9,0.0,0.0
1,2,10,0.0,0.0
1,2,11,0.0,0.0
1,2,12,0.0,0.0
1,2,13,0.0,0.0
1,2,14,0.0,0.0
1,2,15,0.0,0.0
1,2,16,0.0,0.0
1,2,17,0.0,0.0
1,2,18,0.2245196502698329,0.016113718677605242
1,2,19,0.0,0.0
1,2,20,0.0,0.0
1,2,21,0.0,0.0
1,2,22,0.0,0.0
1,2,23,0.0,0.0
1,2,24,0.0,0.0
1,2,25,0.050715067645251945,0.00265416106109651
1,2,26,0.0,0.0
1,2,27,0.0,0.0
1,2,28,0.0,0.0
1,2,29,0.0,0.0
1,2,30,0.0,0.0
1,2,31,0.0,0.0
1,2,32,0.0,0.0
1,2,33,0.0,0.0
1,2,34,0.0,0.0
1,2,35,0.0,0.0
1,2,36,0.0,0.0
1,2,37,0.42058092850640433,0.0434084405460433
1,2,38,0.0,0.0
1,2,39,0.0,0.0
1,2,40,0.0,0.0
1,2,41,0.0,0.0
1,2,42,0.0,0.0
1,2,43,0.0,0.0
1,2,44,0.0,0.0
1,2,45,0.10143013529050389,0.006225809896399221
1,2,46,0.07257355264179884,0.005210040740119615
1,2,47,0.0,0.0
1,2,48,0.0,0.0
1,2,49,0.0,0.0
1,2,50,0.0,0.0
1,2,51,0.0,0.0
1,2,52,0.0,0.0
1,2,53,0.0,0.0
1,2,54,0.0,0.0
1,2,55,0.07257355264179884,0.0030764769566332317
1,2,56,0.07257355264179884,0.004220132999496888
1,2,57,0.21772065792539652,0.02481499111266581
1,2,58,0.5725270261344384,0.08104435779229166
1,2,59,0.0,0.0
1,2,60,0.2345593120379066,0.017205482346249253
1,2,61,0.36966675555343065,0.04926506562063197
1,2,62,0.2704139923387698,0.01809956972784523
1,2,63,0.26843572557064843,0.04402048095995867
1,2,64,0.0,0.0
1,2,65,0.5097940299529915,0.06647553150933433
1,2,66,0.710476928458156,0.1172233512436366
1,2,67,0.0,0.0
1,2,68,0.0,0.0
1,2,69,0.7002381613823607,0.1234062193073749
1,2,70,0.8020665072883081,0.10418636737457855
1,2,71,0.3814855787819038,0.056198034109283646
1,2,72,0.2972923082193535,0.04692384795483454
1,2,73,0.8877212858140963,0.1396144536586368
1,2,74,1.1948541504938015,0.14994189376470124
1,2,75,1.2505890490230902,0.18119051884261655
1,2,76,1.117260766967966,0.12770019056524592
1,2,77,1.1222805978520027,0.1303756968025516
