instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv
0,4,0.0,0.0,1.0,500,4
1,4,0.0,0.0,1.0,500,4
3,4,0.0,0.0,1.0,500,4
2,4,0.0,0.0,1.0,500,4
4,4,0.0,0.0,1.0,500,4
1,3,0.2,0.695364238410596,0.304635761589404,500,94
0,3,0.2,0.6734165293148104,0.32658347068518956,500,94
4,3,0.2,0.6814562002275313,0.3185437997724687,500,99
2,3,0.2,0.6879340277777778,0.3120659722222222,500,99
3,3,0.2,0.7008583690987125,0.29914163090128754,500,104
0,2,0.5,1.0,0.0,500,169
2,1,0.8,1.0,0.0,500,164
1,2,0.5,1.0,0.0,500,179
0,1,0.8,1.0,0.0,500,174
2,2,0.5,1.0,0.0,500,169
3,2,0.5,1.0,0.0,500,174
4,0,1.0,1.0,0.0,500,159
4,1,0.8,1.0,0.0,500,174
3,1,0.8,1.0,0.0,500,169
4,2,0.5,1.0,0.0,500,164
1,0,1.0,1.0,0.0,500,174
3,0,1.0,1.0,0.0,500,154
1,1,0.8,1.0,0.0,500,179
2,0,1.0,1.0,0.0,500,169
0,0,1.0,1.0,0.0,500,169
5,4,0.0,0.0,1.0,500,4
5,0,1.0,1.0,0.0,500,174
6,4,0.0,0.0,1.0,500,4
7,4,0.0,0.0,1.0,500,4
5,1,0.8,1.0,0.0,500,164
5,2,0.5,1.0,0.0,500,174
8,4,0.0,0.0,1.0,500,4
5,3,0.2,0.6922411929976227,0.30775880700237734,500,94
9,4,0.0,0.0,1.0,500,4
6,3,0.2,0.6703027604630454,0.32969723953695457,500,94
6,1,0.8,1.0,0.0,500,169
6,0,1.0,1.0,0.0,500,174
7,3,0.2,0.7105975432021653,0.28940245679783466,500,94
8,3,0.2,0.6890466967936303,0.3109533032063697,500,99
6,2,0.5,1.0,0.0,500,164
9,3,0.2,0.6943127962085308,0.3056872037914692,500,99
7,0,1.0,1.0,0.0,500,164
8,0,1.0,1.0,0.0,500,174
7,2,0.5,1.0,0.0,500,169
7,1,0.8,1.0,0.0,500,169
9,1,0.8,1.0,0.0,500,164
9,0,1.0,1.0,0.0,500,164
8,2,0.5,1.0,0.0,500,169
8,1,0.8,1.0,0.0,500,169
9,2,0.5,1.0,0.0,500,174
