instance_number,run_number,n_time_steps,n_time_steps_cv,avg_ts_l2,avg_ts_l5,avg_ts_l10,avg_ts_l50,discounted_return,total_return
0,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
0,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
0,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
0,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
1,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
0,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
1,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
1,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
1,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
2,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
2,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
1,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
2,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
2,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
2,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
3,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
3,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
3,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
3,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
4,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
4,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
3,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
4,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
4,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
5,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
4,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
5,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
5,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
5,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
6,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
5,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
6,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
7,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
6,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
6,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
7,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
7,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
6,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
7,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
7,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
8,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
8,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
8,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
8,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
9,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
8,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
9,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
9,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
9,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
10,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
10,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
10,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
9,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
10,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
10,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
11,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
11,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
11,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
11,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
11,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
12,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
12,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
12,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
12,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
12,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
13,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
13,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
13,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
13,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
13,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
14,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
14,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
14,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
14,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
14,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
15,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
15,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
15,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
