instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv
1,4,0.0,0.0,1.0,5500,5497
2,4,0.0,0.0,1.0,5500,5089
3,4,0.0,0.0,1.0,5500,5399
0,4,0.0,0.0,1.0,5500,5257
1,3,0.2,0.1091739085594559,0.8908260914405441,5500,5334
4,3,0.2,0.15129106125592237,0.8487089387440776,5500,5420
4,4,0.0,0.0,1.0,5500,5396
2,3,0.2,0.14636146396679664,0.8536385360332034,5500,5421
3,3,0.2,0.15449014818757492,0.8455098518124251,5500,5488
0,3,0.2,0.12864587690505833,0.8713541230949416,5500,4816
2,2,0.5,0.7819168122104944,0.21808318778950567,5500,5059
0,1,0.8,1.0,0.0,5500,5125
4,0,1.0,1.0,0.0,5500,4927
1,0,1.0,1.0,0.0,5500,4894
4,2,0.5,0.609561330752926,0.390438669247074,5500,4420
3,0,1.0,1.0,0.0,5500,3574
3,1,0.8,1.0,0.0,5500,3893
0,2,0.5,0.6871771807972997,0.31282281920270033,5500,5037
2,1,0.8,1.0,0.0,5500,5059
1,2,0.5,0.7351771934904199,0.26482280650958007,5500,3673
2,0,1.0,1.0,0.0,5500,2848
4,1,0.8,1.0,0.0,5500,4883
0,0,1.0,1.0,0.0,5500,3772
1,1,0.8,1.0,0.0,5500,4278
3,2,0.5,0.6656044774435241,0.3343955225564758,5500,5015
5,4,0.0,0.0,1.0,5500,4359
5,0,1.0,1.0,0.0,5500,5191
6,4,0.0,0.0,1.0,5500,5460
5,1,0.8,1.0,0.0,5500,5290
7,4,0.0,0.0,1.0,5500,5459
5,2,0.5,0.6187232105954852,0.38127678940451476,5500,4003
8,4,0.0,0.0,1.0,5500,5488
5,3,0.2,0.1561402283250838,0.8438597716749162,5500,5476
9,4,0.0,0.0,1.0,5500,4880
9,3,0.2,0.13487903887606273,0.8651209611239373,5500,5147
6,3,0.2,0.13845328035798493,0.8615467196420151,5500,5466
6,0,1.0,1.0,0.0,5500,5488
7,3,0.2,0.14015854362526803,0.859841456374732,5500,5421
6,1,0.8,1.0,0.0,5500,5114
6,2,0.5,0.7339306062381495,0.2660693937618505,5500,5257
8,3,0.2,0.14976912666189,0.85023087333811,5500,4707
10,4,0.0,0.0,1.0,5500,5484
7,0,1.0,1.0,0.0,5500,5103
9,2,0.5,0.6996658101231492,0.3003341898768508,5500,4344
8,1,0.8,1.0,0.0,5500,4872
8,0,1.0,1.0,0.0,5500,4839
8,2,0.5,0.7076409098738905,0.29235909012610944,5500,3376
7,1,0.8,1.0,0.0,5500,3860
9,0,1.0,1.0,0.0,5500,4619
9,1,0.8,1.0,0.0,5500,3838
7,2,0.5,0.7071623217367609,0.29283767826323914,5500,4520
11,4,0.0,0.0,1.0,5500,5429
10,3,0.2,0.1606836122208712,0.8393163877791288,5500,5080
10,0,1.0,1.0,0.0,5500,5378
10,1,0.8,1.0,0.0,5500,4597
10,2,0.5,0.7262719332647403,0.2737280667352598,5500,4344
12,4,0.0,0.0,1.0,5500,5418
13,4,0.0,0.0,1.0,5500,5235
14,4,0.0,0.0,1.0,5500,5487
11,0,1.0,1.0,0.0,5500,5048
11,1,0.8,1.0,0.0,5500,5378
11,3,0.2,0.14059508027691855,0.8594049197230814,5500,5488
12,3,0.2,0.16635631568345183,0.8336436843165482,5500,4673
11,2,0.5,0.6813804357292483,0.31861956427075167,5500,4256
15,4,0.0,0.0,1.0,5500,5180
12,0,1.0,1.0,0.0,5500,5246
12,1,0.8,1.0,0.0,5500,4168
12,2,0.5,0.7218768577103332,0.2781231422896669,5500,5158
13,0,1.0,1.0,0.0,5500,4520
14,3,0.2,0.13196588254060598,0.8680341174593941,5500,5364
13,1,0.8,1.0,0.0,5500,5015
13,2,0.5,0.7153964651298459,0.28460353487015416,5500,4971
14,0,1.0,1.0,0.0,5500,5312
