instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv,avg_ts_l2,avg_ts_l5,avg_ts_l10,avg_ts_l50,discounted_return,total_return
1,4,0.0,0.0,1.0,22000,20492,19532.5,17965.8,16437.4,8058.82,0.31840637938382965,2735.2315813658192
2,4,0.0,0.0,1.0,22000,21764,21763.5,20821.2,18733.4,6960.66,0.8816069545136703,2678.627871671673
3,4,0.0,0.0,1.0,22000,21339,21293.5,20764.4,19379.2,11897.44,0.9738004965889071,2419.4804506551795
0,4,0.0,0.0,1.0,22000,21962,21554.5,19950.8,18785.3,10740.0,1.0065143572728363,2439.5744691337927
4,4,0.0,0.0,1.0,22000,21768,21592.0,20628.2,19532.1,13470.94,0.6701801146376373,2616.2102348481535
4,3,0.2,0.18385197645079898,0.816148023549201,22000,19214,19175.0,16938.6,13647.4,9481.46,0.027417437228417905,1667.8116953259755
0,3,0.2,0.20598628254954265,0.7940137174504573,22000,20140,19045.0,17424.8,14778.7,10322.28,0.3774694822551767,1478.9480510411308
2,3,0.2,0.1960471336816243,0.8039528663183757,22000,21732,21601.5,20528.2,18289.8,12133.32,0.011903832272527596,1633.015585426238
1,3,0.2,0.2022058051923521,0.7977941948076479,22000,21305,20865.0,19131.2,17659.3,11932.78,0.3857788692105572,1472.8559936417305
1,0,1.0,1.0,0.0,22000,21459,21272.0,18647.8,16322.5,13000.24,1.4205051303479194e-129,1059.9844120847629
2,2,0.5,0.8623829280416562,0.1376170719583438,22000,21327,20937.0,19730.0,17580.5,13021.16,0.00035007387966702884,1143.949289332066
4,2,0.5,0.8984727791849866,0.10152722081501346,22000,19380,18038.5,16985.0,15316.3,12611.34,0.022158020104172473,1079.9784547470977
2,0,1.0,1.0,0.0,22000,21723,21173.0,20517.4,19596.7,13484.22,1.2740144511189108e-294,1062.5740271663674
2,1,0.8,1.0,0.0,22000,21789,21388.0,17867.0,16221.4,13388.8,5.30482913599632e-279,981.372498661348
3,3,0.2,0.21528558804627249,0.7847144119537275,22000,21799,20951.5,19977.4,19017.7,14176.46,0.6952906858060202,1340.8751040721952
1,1,0.8,1.0,0.0,22000,21735,21245.5,20130.6,18735.0,13649.74,5.1240320660549795e-21,1103.1785027364697
4,1,0.8,1.0,0.0,22000,20876,20694.5,18722.4,16709.3,13441.64,1.616680966764595e-123,992.6235936431381
3,2,0.5,0.8503359745203138,0.14966402547968616,22000,21559,21471.0,20071.2,18326.6,13530.4,3.146207130883108e-162,1014.3216820596455
0,0,1.0,1.0,0.0,22000,20909,20805.0,20428.0,17588.9,13715.92,8.993076229176203e-284,974.8337279024889
1,2,0.5,0.9134728517696982,0.08652714823030186,22000,19556,18819.0,17836.0,16393.9,13473.48,0.0347773533137512,1035.622605285023
4,0,1.0,1.0,0.0,22000,21712,21525.0,21023.6,19505.8,14088.42,6.6736301639277e-113,1097.6800716187463
0,2,0.5,0.8942066210045662,0.10579337899543378,22000,21691,21581.0,20905.0,20326.6,14814.3,0.29219086245818515,996.3771870020704
3,0,1.0,1.0,0.0,22000,21977,21372.0,20595.2,19688.4,15069.02,1.7783707947190508e-241,983.2398104378758
0,1,0.8,1.0,0.0,22000,19920,19810.0,18001.6,16819.8,13616.56,6.722970688639437e-231,1031.2173632218703
3,1,0.8,1.0,0.0,22000,21680,21064.0,20311.6,19218.2,14932.74,3.6851857111504254e-118,925.300121818838
5,4,0.0,0.0,1.0,22000,21863,20465.5,18384.2,15750.1,5553.5,1.0075911500971686,2873.600491621289
6,4,0.0,0.0,1.0,22000,20919,20918.5,20456.0,19850.8,13445.42,1.024648853967859,2788.2626924452875
8,4,0.0,0.0,1.0,22000,21677,21589.5,20883.8,19533.8,13082.76,0.9626241957207513,2763.772823154981
5,0,1.0,1.0,0.0,22000,21130,20497.5,19748.2,18208.2,13834.58,1.826654449961416e-195,1019.9307956325555
5,1,0.8,1.0,0.0,22000,21735,19227.0,16789.4,15611.0,13398.02,4.251148172927016e-60,1028.3131389665218
7,4,0.0,0.0,1.0,22000,21467,21231.0,20718.4,19815.1,13413.1,0.7816320382651776,2524.2057768080585
