instance_number,run_number,n_time_steps,n_time_steps_cv,avg_ts_l2,avg_ts_l5,avg_ts_l10,avg_ts_l50,discounted_return,total_return
1,4,22000,20436,20051.5,17581.0,15714.2,12771.24,1.8523003151338848e-121,1052.000823712441
2,4,22000,21636,21492.5,21342.8,20800.6,15281.4,1.8587340179174841e-187,1091.8517942934172
3,4,22000,20887,20799.0,20557.4,19168.4,14182.92,3.911281741920142e-63,974.3337646613842
0,4,22000,17829,16718.0,14996.0,14238.1,12033.54,8.646185904234445e-60,1120.082297532195
4,4,22000,21196,20860.5,18362.2,16508.3,13503.58,4.508119994328318e-106,1006.1981847072226
4,3,22000,21405,20998.0,18285.2,16201.9,13159.22,4.661170578308181e-54,1065.2794729443906
0,3,22000,21217,21173.5,19866.8,17234.5,13082.6,2.0176088512999658e-113,1083.8944336652
2,3,22000,19084,18941.0,16723.4,15811.2,13651.48,5.040652066985749e-173,965.1911966355561
1,3,22000,21625,21405.0,20760.2,19255.2,13833.86,7.25901875385929e-32,1050.2842587793941
1,0,22000,21162,20002.0,18036.2,15796.9,12637.38,2.084791438827683e-104,1161.6463510409376
4,2,22000,20832,19974.5,19086.0,17094.8,13190.08,1.7845085611410013e-121,1141.4079900395766
2,2,22000,21734,21371.0,17384.8,15959.1,13389.4,2.7202721719127855e-247,992.5902855755775
3,2,22000,21371,20634.0,18307.0,15968.6,12551.16,9.945960638561048e-87,1161.3478044372505
2,1,22000,21944,21135.0,18987.0,16851.6,13833.24,4.1391821368090086e-108,994.6077511171318
2,0,22000,21977,20948.5,17847.2,16418.4,13834.6,2.2122068282880857e-107,1000.9241602735643
1,1,22000,21394,21152.0,20078.2,19117.7,14361.2,6.722858287066486e-37,1038.305079325391
4,1,22000,21130,20942.5,19299.0,17092.2,13468.7,8.141989670844953e-143,1054.8008527576023
3,3,22000,21361,21135.5,20434.8,19482.0,14407.22,1.6048428219890127e-199,1067.6084811180913
1,2,22000,18907,18027.0,16188.2,14883.9,12373.82,5.01936772339156e-99,1131.4140412170643
0,2,22000,21449,20926.5,16441.8,14813.4,12045.3,1.1245145389614216e-78,1166.4582754638307
0,0,22000,18709,18451.0,17770.4,16330.3,13494.38,3.737712332040768e-217,1016.052967329519
4,0,22000,21855,20959.0,19455.6,17081.9,13510.92,4.92435050726707e-99,1039.9865386465178
0,1,22000,21790,21377.5,20832.6,18969.1,12907.38,2.22254146761087e-73,1214.7857905707679
3,0,22000,21614,21317.0,19405.2,17147.9,13965.06,1.4627074898994268e-285,1018.591148382877
3,1,22000,21702,20420.5,16598.0,15197.4,12700.04,1.6179048114036392e-45,1084.0487055908636
5,4,22000,20415,20414.5,19360.8,16879.3,13434.68,1.0692063898112885e-123,960.00586130249
5,0,22000,19281,18852.0,18071.2,16666.7,13006.2,9.652632962907725e-11,1094.77757167177
6,4,22000,21009,20844.0,19741.8,17331.2,13846.4,5.3405018730267605e-52,1028.948095404235
8,4,22000,19260,18963.0,18140.2,17242.2,13832.36,2.016082655346442e-191,1000.0427241863148
5,1,22000,21668,21635.5,20726.8,17862.7,13319.16,4.225948616317587e-209,1061.5537520270586
7,4,22000,20018,19407.5,17818.4,15649.5,12136.84,1.926826441762966e-116,1214.39220215935
5,2,22000,21592,20805.0,19193.6,16793.6,12851.82,1.1442631786512992e-70,1105.7638683490238
9,4,22000,20579,20370.0,20080.2,19262.0,14264.44,2.386827588316953e-180,1120.665550865926
5,3,22000,21097,21096.5,20519.8,18060.5,13134.2,4.490086837962725e-283,1091.3805473390983
10,4,22000,21866,20733.5,18802.2,16026.7,12531.84,5.812714660298594e-122,1167.0217732189171
8,3,22000,20184,19920.0,18496.4,17638.2,14064.84,1.628587254292379e-278,962.6945567415878
6,0,22000,21273,20282.5,19408.8,17479.7,13449.66,4.397897116095598e-182,951.4525753148067
6,3,22000,21041,20821.5,19939.0,18044.8,13548.74,2.3383417430961074e-21,1058.9004463551544
7,3,22000,21811,21525.5,21162.2,19047.2,13516.32,9.186606145042329e-134,1102.4302224540208
6,1,22000,21306,21003.5,20623.8,19651.4,14314.84,1.9229098223149713e-86,1054.2824546326267
6,2,22000,19820,19633.0,18911.8,17459.0,13937.02,1.6027474311234545e-128,981.1880401367073
9,3,22000,20701,20530.5,19908.6,18920.7,14392.48,1.7167856720094243e-48,1021.3054752581688
8,0,22000,21559,21399.5,20806.6,18701.1,14085.8,8.934243446366097e-240,949.9883261254193
9,0,22000,21515,21316.5,20722.4,19835.7,14134.28,4.5471818951993885e-138,1031.0802054852984
8,1,22000,21712,21662.5,21307.6,20281.5,14693.36,2.5294808246496713e-67,1011.9835603309385
8,2,22000,21878,21790.0,20357.4,19337.4,14494.88,2.0789206733700257e-189,1125.028181841649
7,0,22000,21273,20514.0,19722.0,18801.3,14385.7,9.690390884112536e-55,973.9205767476443
7,2,22000,21360,21332.5,21076.2,19572.7,13686.86,3.7930582831117426e-65,1133.4999785105188
7,1,22000,21008,19309.0,17910.8,15858.0,12521.02,4.3140459836049426e-139,1085.9724467900126
