instance_number,run_number,n_time_steps,n_time_steps_cv,avg_ts_l2,avg_ts_l5,avg_ts_l10,avg_ts_l50,discounted_return,total_return
2,4,22000,21536,21382.0,20630.333333333332,19769.125,13493.916666666666,1.1975018007756327e-224,992.8135933165034
3,4,22000,21965,21734.5,21298.333333333332,19628.125,14006.4375,1.16413813307588e-118,1029.8188913748531
1,4,22000,21999,21845.0,19248.666666666668,17106.625,14019.375,1.4067992333458587e-106,786.4304258516543
0,4,22000,21482,21421.0,19545.0,16568.75,12806.416666666666,1.9826593524400497e-117,1009.3309696338729
4,4,22000,21844,21651.5,19838.333333333332,17193.875,13078.8125,8.389548372607506e-23,1054.7416273169035
2,3,22000,21415,21107.0,20437.0,19562.125,15018.8125,4.3568906113935785e-32,835.5636787882771
0,3,22000,21558,20579.0,17928.666666666668,17694.75,13439.395833333334,1.5152129108977235e-59,923.1414729463266
3,3,22000,20469,20370.0,15384.0,14957.5,13185.9375,2.293100321786094e-32,912.3007064782727
4,3,22000,21283,20552.0,18955.333333333332,16617.125,13273.291666666666,8.00834450714473e-142,974.8855560199784
2,1,22000,21526,21036.5,16645.666666666668,15828.0,13947.916666666666,2.4452856184135755e-253,859.6370640852606
1,3,22000,21559,21427.0,20481.0,19512.75,15127.5,2.763649645921383e-62,897.4772672788229
0,1,22000,21448,21289.0,20476.333333333332,18523.5,14290.479166666666,2.8578237551351055e-135,955.1356325313808
1,1,22000,21745,20948.0,18261.666666666668,16976.625,13134.604166666666,1.9645874100110555e-08,986.6042300918915
4,1,22000,21184,20931.0,19780.333333333332,18068.625,12506.770833333334,6.443288337829061e-183,1189.6737209740652
2,0,22000,21470,21261.0,19526.666666666668,17269.375,12661.333333333334,2.4114580278729996e-96,1018.0382835363197
1,0,22000,21855,21503.0,18566.333333333332,17718.125,13812.458333333334,2.7572760924298053e-287,939.5535256678629
1,2,22000,21713,21696.5,20767.0,20421.75,15059.479166666666,2.175294224405775e-262,989.5294458959073
2,2,22000,20998,20723.0,19542.0,18740.875,14781.541666666666,7.29237383416253e-225,879.1989658605152
3,2,22000,21284,20645.5,18419.666666666668,16063.625,12786.083333333334,9.439468080989289e-133,1028.4239662275265
4,2,22000,20811,20640.5,19043.333333333332,17624.625,14043.145833333334,1.1908611547665763e-41,900.2873691729069
0,0,22000,21240,20546.5,19339.666666666668,17356.0,12583.145833333334,3.397824192266426e-05,1119.2039615618303
3,1,22000,20788,20640.0,15816.333333333334,14800.125,12657.166666666666,6.378793450926323e-115,989.1810036391718
3,0,22000,21217,20408.5,17364.0,16251.0,13512.208333333334,4.54389240168091e-214,936.5254715005464
0,2,22000,21042,20965.0,20304.333333333332,19603.0,14468.395833333334,1.76767628439363e-200,895.9247385043755
