instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv,avg_ts_l2,avg_ts_l5,avg_ts_l10,avg_ts_l50,discounted_return,total_return
1,4,0.0,0.0,1.0,22000,21130,20998.0,20377.333333333332,18201.75,7680.041666666667,0.8087106146478822,2910.567597712287
3,4,0.0,0.0,1.0,22000,21218,19562.5,14968.0,12731.75,5473.916666666667,1.007250287412791,2979.5115579209596
0,4,0.0,0.0,1.0,22000,21064,20959.5,19836.333333333332,17632.875,8594.0,0.31116070784370753,3008.3368915951573
2,4,0.0,0.0,1.0,22000,20313,20312.5,20310.0,15836.375,6603.166666666667,1.0346223574710565,2937.791863559796
4,4,0.0,0.0,1.0,22000,21843,21841.5,18802.0,15821.625,6922.477272727273,1.0346896008980808,3028.695361263879
2,3,0.2,0.16814237879571442,0.8318576212042855,22000,19545,18819.0,13319.666666666666,11789.25,9896.020833333334,0.7125301558033327,1605.6613241182204
2,1,0.8,1.0,0.0,22000,18875,18874.5,13183.666666666666,13019.875,11671.208333333334,7.947486581210829e-145,1246.0361312060368
4,0,1.0,1.0,0.0,22000,21833,20810.0,15929.666666666666,14889.375,12959.416666666666,1.8832728754013747e-198,1114.9375083437963
2,0,1.0,1.0,0.0,22000,19721,17191.0,14617.0,14414.125,13024.625,1.4911995756340524e-52,1106.1666655593017
1,3,0.2,0.17551919741221697,0.824480802587783,22000,20863,20787.5,18118.666666666668,16020.75,10741.0625,0.7103802798221653,1614.6874564891102
1,1,0.8,1.0,0.0,22000,14474,14452.0,14382.333333333334,14255.75,12779.395833333334,5.866453856820248e-240,1102.9269105437736
0,1,0.8,1.0,0.0,22000,21416,20580.0,19285.666666666668,16768.375,12896.041666666666,1.3572222214589222e-65,1206.491388226955
0,2,0.5,0.8282807147306135,0.17171928526938648,22000,21790,21597.0,19006.333333333332,15592.625,12597.833333333334,1.3536776727787701e-294,1230.120792175914
2,2,0.5,0.8376551370144931,0.16234486298550682,22000,20470,19304.0,13859.0,13714.625,12384.5625,7.081948566076811e-26,1218.015426623557
3,1,0.8,1.0,0.0,22000,21009,20970.5,17584.333333333332,15068.875,12224.6875,2.1202761416166176e-78,1197.6049650592606
1,2,0.5,0.7672537690623402,0.23274623093765975,22000,20294,17379.0,14361.333333333334,14166.875,12911.3125,3.8963666099327867e-295,1185.5684081141455
1,0,1.0,1.0,0.0,22000,21625,20040.5,17546.666666666668,15384.5,12719.833333333334,4.938868822261945e-177,1187.0091838476067
0,3,0.2,0.20075864968177776,0.7992413503182223,22000,20921,20118.0,16956.666666666668,15249.375,12192.291666666666,0.02260930119103376,1365.2974711863033
3,3,0.2,0.21636998237855523,0.7836300176214448,22000,21315,21189.0,19106.666666666668,18178.875,12815.229166666666,0.13639976810855173,1382.7830304201807
4,3,0.2,0.21267128681682154,0.7873287131831784,22000,21513,21491.5,19566.666666666668,17033.75,12212.729166666666,0.0010545140292810902,1330.8605067236967
0,0,1.0,1.0,0.0,22000,21834,20717.5,18867.333333333332,16287.125,12999.416666666666,4.54972199916656e-30,1254.7927059434317
4,2,0.5,0.7818914973671659,0.21810850263283407,22000,19381,18886.0,16245.666666666666,14756.5,12793.333333333334,7.885083825631699e-19,1195.4925086155836
3,0,1.0,1.0,0.0,22000,19831,17928.0,14180.666666666666,13946.5,12426.208333333334,1.6858187433455619e-96,1133.175302224898
4,1,0.8,1.0,0.0,22000,14870,14853.5,14756.333333333334,14583.0,13149.916666666666,8.840956696868431e-136,1115.8835671937034
3,2,0.5,0.7932385898826171,0.20676141011738294,22000,21592,21520.5,19014.333333333332,16362.875,13290.041666666666,2.512688839662469e-18,1172.1327697218037
7,4,0.0,0.0,1.0,22000,20381,18973.0,13235.0,8456.75,4148.810810810811,1.0145690413764792,2959.1766088529025
5,1,0.8,1.0,0.0,22000,19040,18952.0,17698.0,16024.625,13569.875,1.4316703972123048e-209,1118.9596978387178
5,4,0.0,0.0,1.0,22000,21504,21347.5,19512.666666666668,18061.125,11192.25,0.30276190307937895,3061.3891735428474
6,4,0.0,0.0,1.0,22000,21929,21801.5,21364.333333333332,20488.625,13647.0,0.9645870075202009,2911.293634080394
5,0,1.0,1.0,0.0,22000,19447,18754.0,14463.666666666666,14261.625,12918.479166666666,7.790173266326825e-181,1147.6377660039568
8,4,0.0,0.0,1.0,22000,21711,20315.0,18292.0,14730.0,4809.958333333333,0.5589887738091127,2957.6162676215104
5,2,0.5,0.8052804490249416,0.19471955097505841,22000,21745,21734.0,21026.333333333332,19795.625,13981.5625,8.673625436284465e-174,1128.4295595244917
5,3,0.2,0.19299022853189043,0.8070097714681096,22000,17434,16025.5,12542.666666666666,12354.5,11001.4375,0.8904550167631048,1391.6392537557049
9,4,0.0,0.0,1.0,22000,21733,21716.0,21645.333333333332,20508.25,12545.4375,1.0399313108277526,3034.8765277335674
10,4,0.0,0.0,1.0,22000,21419,21219.5,19975.0,19587.25,7133.895833333333,0.3244700445570529,2927.0235543282774
6,3,0.2,0.1353508792524593,0.8646491207475406,22000,21998,20761.0,17101.0,13006.75,8382.104166666666,0.08613472914896746,1950.8689180456688
7,3,0.2,0.15175519382560498,0.848244806174395,22000,20731,20550.5,18429.666666666668,16522.5,9852.6875,0.12663318457183173,1861.8777483071192
6,1,0.8,1.0,0.0,22000,18644,18517.5,17742.0,16658.25,13491.458333333334,2.098140546217753e-307,1124.9974450520103
