instance,task,episode,return,discounted_return
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.9902900885278839,0.4736526794436125
1,1,4,0.0,0.0
1,1,5,0.9596119212263734,0.5666412433649612
1,1,6,0.0,0.0
1,1,7,0.9596119212263734,0.6995570905740263
1,1,8,0.0,0.0
1,1,9,0.9902900885278839,0.4736526794436125
1,1,10,0.0,0.0
1,1,11,0.9902900885278839,0.4736526794436125
1,1,12,0.0,0.0
1,1,13,3.9640321631106845,2.2358690430329355
1,1,14,0.0,0.0
1,1,15,0.0,0.0
1,1,16,0.0,0.0
1,1,17,2.9708702655836516,1.7803305483552703
1,1,18,4.892965917035547,2.927153706339011
1,1,19,4.923644084337058,2.9433725535230977
1,1,20,4.926515893336207,2.937216117797086
1,1,21,4.957194060637717,2.9595805017598877
1,1,22,4.957194060637717,2.9595805017598877
1,1,23,4.957194060637717,2.9595805017598877
1,1,24,4.957194060637717,2.9595805017598877
1,1,25,4.957194060637717,2.9595805017598877
1,1,26,4.957194060637717,2.9595805017598877
1,1,27,4.957194060637717,2.9595805017598877
1,1,28,4.957194060637717,2.9595805017598877
1,1,29,4.957194060637717,2.9595805017598877
1,1,30,4.957194060637717,2.9595805017598877
1,1,31,4.957194060637717,2.9595805017598877
1,1,32,4.957194060637717,2.9595805017598877
1,1,33,4.957194060637717,2.9595805017598877
1,1,34,4.957194060637717,2.9595805017598877
1,1,35,4.957194060637717,2.9595805017598877
1,1,36,4.957194060637717,2.9595805017598877
1,1,37,4.957194060637717,2.9595805017598877
1,1,38,4.957194060637717,2.9595805017598877
1,1,39,4.957194060637717,2.9595805017598877
1,1,40,4.957194060637717,2.9595805017598877
1,1,41,4.957194060637717,2.9595805017598877
1,1,42,4.957194060637717,2.9595805017598877
1,1,43,4.957194060637717,2.9595805017598877
1,1,44,4.957194060637717,2.9595805017598877
1,1,45,4.957194060637717,2.9595805017598877
1,1,46,4.957194060637717,2.9595805017598877
1,1,47,4.957194060637717,2.9595805017598877
1,1,48,4.957194060637717,2.9595805017598877
1,1,49,4.957194060637717,2.9595805017598877
1,1,50,4.957194060637717,2.9595805017598877
1,2,1,2.989145174906749,1.7913661120868123
1,2,2,0.0,0.0
1,2,3,2.998732117702945,1.7380030616657907
1,2,4,2.9130454948410582,1.7266195614584272
1,2,5,0.0,0.0
1,2,6,0.0,0.0
1,2,7,0.0,0.0
1,2,8,0.0,0.0
1,2,9,1.9326420078658022,0.9774983210174613
1,2,10,0.0,0.0
1,2,11,0.0,0.0
1,2,12,0.0,0.0
1,2,13,0.0,0.0
1,2,14,0.0,0.0
1,2,15,4.997886862838242,2.984066218534896
1,2,16,4.997886862838242,2.984066218534896
1,2,17,4.997886862838242,2.984066218534896
1,2,18,4.997886862838242,2.984066218534896
1,2,19,4.997886862838242,2.984066218534896
1,2,20,4.997886862838242,2.984066218534896
1,2,21,4.997886862838242,2.984066218534896
1,2,22,4.997886862838242,2.984066218534896
1,2,23,4.997886862838242,2.984066218534896
1,2,24,4.997886862838242,2.984066218534896
1,2,25,4.997886862838242,2.984066218534896
1,2,26,4.997886862838242,2.984066218534896
1,2,27,4.997886862838242,2.984066218534896
1,2,28,4.997886862838242,2.984066218534896
1,2,29,4.997886862838242,2.984066218534896
1,2,30,4.997886862838242,2.984066218534896
1,2,31,4.997886862838242,2.984066218534896
1,2,32,4.997886862838242,2.984066218534896
1,2,33,4.997886862838242,2.984066218534896
1,2,34,4.997886862838242,2.984066218534896
1,2,35,4.997886862838242,2.984066218534896
1,2,36,4.997886862838242,2.984066218534896
1,2,37,4.997886862838242,2.984066218534896
1,2,38,4.997886862838242,2.984066218534896
1,2,39,4.997886862838242,2.984066218534896
1,2,40,4.997886862838242,2.984066218534896
1,2,41,4.997886862838242,2.984066218534896
1,2,42,4.997886862838242,2.984066218534896
1,2,43,4.997886862838242,2.984066218534896
1,2,44,4.997886862838242,2.984066218534896
1,2,45,4.997886862838242,2.984066218534896
1,2,46,4.997886862838242,2.984066218534896
1,2,47,4.997886862838242,2.984066218534896
1,2,48,4.997886862838242,2.984066218534896
1,2,49,4.997886862838242,2.984066218534896
1,2,50,4.997886862838242,2.984066218534896
1,3,1,3.728202524644427,2.103706655174007
1,3,2,0.0,0.0
1,3,3,2.8430295882279712,1.70441709274013
1,3,4,4.683557753699354,2.798716811801208
1,3,5,1.8876743591730438,1.008760813275022
1,3,6,0.0,0.0
1,3,7,0.0,0.0
1,3,8,0.0,0.0
1,3,9,0.0,0.0
1,3,10,0.0,0.0
1,3,11,0.0,0.0
1,3,12,2.8108179542758367,1.4996972332515757
1,3,13,0.0,0.0
1,3,14,3.7488961091281556,2.2476848481170606
1,3,15,0.0,0.0
1,3,16,0.0,0.0
1,3,17,0.0,0.0
1,3,18,0.0,0.0
1,3,19,4.747981021603623,2.8348560424927602
1,3,20,4.747981021603623,2.8348560424927602
1,3,21,4.747981021603623,2.8348560424927602
1,3,22,4.747981021603623,2.8348560424927602
1,3,23,4.747981021603623,2.8348560424927602
1,3,24,4.747981021603623,2.8348560424927602
1,3,25,4.747981021603623,2.8348560424927602
1,3,26,4.747981021603623,2.8348560424927602
1,3,27,4.747981021603623,2.8348560424927602
1,3,28,4.747981021603623,2.8348560424927602
1,3,29,4.747981021603623,2.8348560424927602
1,3,30,4.747981021603623,2.8348560424927602
1,3,31,4.747981021603623,2.8348560424927602
1,3,32,4.747981021603623,2.8348560424927602
1,3,33,4.747981021603623,2.8348560424927602
1,3,34,4.747981021603623,2.8348560424927602
1,3,35,4.747981021603623,2.8348560424927602
1,3,36,4.747981021603623,2.8348560424927602
1,3,37,4.747981021603623,2.8348560424927602
1,3,38,4.747981021603623,2.8348560424927602
1,3,39,4.747981021603623,2.8348560424927602
1,3,40,4.747981021603623,2.8348560424927602
1,3,41,4.747981021603623,2.8348560424927602
1,3,42,4.747981021603623,2.8348560424927602
1,3,43,4.747981021603623,2.8348560424927602
1,3,44,4.747981021603623,2.8348560424927602
1,3,45,4.747981021603623,2.8348560424927602
1,3,46,4.747981021603623,2.8348560424927602
1,3,47,4.747981021603623,2.8348560424927602
1,3,48,4.747981021603623,2.8348560424927602
1,3,49,4.747981021603623,2.8348560424927602
1,3,50,4.747981021603623,2.8348560424927602
1,4,1,3.7604141585965616,2.3585858921182257
1,4,2,0.9438371795865219,0.45143439710097677
1,4,3,3.7488961091281556,2.2476848481170606
1,4,4,1.8991924086414493,1.2529826956391532
1,4,5,0.0,0.0
