episode_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,7.360461910005918e-18,-8.044161302113453e-18,2.276508512212529e-17
1,0.001918988217437792,-0.0020724797181477287,0.0059104561530233125
2,0.002133217573103784,-0.0009096323265432469,0.0051760674727508145
3,7.375487290163951e-11,-8.060971684095447e-11,2.2811946264423349e-10
4,0.00018796297483229682,-0.0002052104609458891,0.0005811364106104828
5,0.00016507917122815817,-0.00015268546944814714,0.00048284381190446347
6,2.0554915835299064e-05,-2.2467017444287917e-05,6.357684911488604e-05
7,0.0036123416131052374,-0.00389818154344295,0.011122864769653424
8,0.0005387785505191777,-0.000588864058969438,0.0016664211600077934
9,0.002266008161881147,-0.0021589945335253997,0.006691010857287693
10,4.354999897482968e-11,-4.760091458784308e-11,1.3470091253750245e-10
11,0.00020876483338855148,-0.0002281036113673896,0.0006456332781444925
12,0.00043639822679313533,-0.00047699365257673494,0.0013497901061630055
13,0.007638502064643261,-0.0003624262721439765,0.0156394304014305
14,4.883231807606413e-11,-2.0751293311925715e-11,1.1841592946405397e-10
15,0.004444956888378273,-0.004828771479976933,0.01371868525673348
16,0.00028751613339601047,-0.0003116338185927317,0.0008866660853847526
17,3.46996707668535e-06,-1.4610713440566111e-06,8.401005497427312e-06
18,0.012943900687375585,-0.013633791564072878,0.03952159293882405
19,0.0060793363906398255,-0.006643751288791555,0.018802424070071204
