episode_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,0.0017168615401926646,-0.0018765277131644804,0.00531025079354981
1,0.008344564753554762,-0.009107652601908874,0.0257967821090184
2,1.3280699443793791e-06,-1.4516123951433014e-06,4.107752283902059e-06
3,0.00043655964070544236,-0.0004768145197891235,0.0013499338012000082
4,5.65984648114794e-05,-4.40823651589681e-05,0.00015727929478192692
5,1.924356327741642e-05,-1.2309874432369036e-05,5.079700098720188e-05
6,4.8391432787286545e-11,-5.2887079856246187e-11,1.4966994543081926e-10
7,2.9671801844830037e-05,-2.926138899171078e-05,8.860499268137085e-05
8,0.0003788680848208953,-0.00014635704244687377,0.0009040932120886644
9,1.8304005989477276e-07,-1.9213014500336903e-07,5.582102647929145e-07
10,1.141643211639585e-07,-6.13017430593146e-08,2.896303853872316e-07
11,2.3865553690565297e-09,-2.6085624255559773e-09,7.381673163669037e-09
12,0.008338864291964208,-0.009113976823807435,0.02579170540773585
13,0.00033084557788536686,-0.0003338840604193022,0.000995575216190036
14,0.0038391058859179187,-0.0017205973360058142,0.009398809107841652
15,0.005472788893468498,-0.005977837921247621,0.01692341570818462
16,0.004125430278791616,-0.004212034405263522,0.012462894962846754
17,0.0007088014655556701,-0.0004550227008617147,0.0018726256319730548
18,6.551278810830123e-05,-7.158114008015932e-05,0.0002026067162967618
19,7.537617204974968e-07,-4.809722973100916e-07,1.9884957383050853e-06
20,0.0013937272396130796,-0.0015165870776476683,0.004304041556873827
21,5.749874467357008e-07,-6.212310285525602e-07,1.7712059220239619e-06
22,0.0017333020770622983,-0.0018584124851149667,0.005325016639239563
23,0.0007395586685983627,-0.0008072222030782635,0.002286339540274989
24,6.654388450182289e-05,-4.658526241781579e-05,0.00017967303142146156
25,0.0003578315109297956,-4.09044351901738e-05,0.0007565674570497651
26,0.019371024477432316,-0.02117299565192636,0.05991504460679099
27,0.005149569776585131,-0.0033998887684459547,0.013699028321616217
28,0.002102497030392154,-0.0018784619264490968,0.006083455987233405
29,0.00029680631451566914,-7.21434881542335e-05,0.0006657561171855718
30,0.007118107625950715,-0.005666903873430291,0.01990311912533172
31,0.014470640685959393,-0.015053496264510653,0.043994777636429436
32,0.031136998161427804,-0.0019926086373368533,0.06426660496019246
33,0.022878183149984466,-0.00423689309830869,0.04999325939827762
34,0.0150057293430416,-0.0006424845162983205,0.030653943202381517
35,0.057225746275061065,0.00994257670471664,0.10450891584540549
36,0.010889794485100657,-0.001903828379595669,0.02368341734979698
37,0.050241898936698046,-0.004038038426754494,0.10452183630015058
38,0.03636881965701208,-0.0016978696185481063,0.07443550893257227
39,0.017317162000213847,0.0006643234930037295,0.033970000507423964
40,0.04059981655114066,-0.00036735870583027436,0.08156699180811158
41,0.04429989482417883,0.0047929220078609044,0.08380686764049675
42,0.08502752655443235,0.015027455555887137,0.15502759755297757
43,0.062313349211207916,0.0033508095468726476,0.12127588887554319
44,0.029785888728318288,-0.0025788761766608777,0.062150653633297456
45,0.013339125875892758,0.004446163240725371,0.022232088511060143
46,0.07419175941586904,0.016256934377248664,0.13212658445448944
47,0.020948971278527677,0.004456592319196935,0.03744135023785842
48,0.09632383797053834,0.026120851445945364,0.16652682449513131
49,0.09860139135679605,0.055416075623759685,0.1417867070898324
50,0.08232826879552269,0.034600699097800176,0.1300558384932452
51,0.07028303762195699,0.015943755298323106,0.12462231994559088
52,0.1160833659094415,0.05664743148180651,0.1755193003370765
53,0.12925675265872927,0.0608543192412747,0.19765918607618382
54,0.12166946624087498,0.04994373046191636,0.1933952020198336
55,0.08590367394701458,0.03235863041996206,0.1394487174740671
56,0.10031011769708467,0.04701365611250734,0.153606579281662
57,0.15326053396448874,0.08731165338889223,0.21920941454008525
58,0.11592525664624045,0.055758300061927224,0.17609221323055368
59,0.11591069936715279,0.06026008231070356,0.171561316423602
60,0.13965140290012573,0.07060566042345119,0.20869714537680029
61,0.14208222282594835,0.06731996466316971,0.216844480988727
62,0.13780152698422687,0.06690983797587507,0.20869321599257867
63,0.13679379791813853,0.07799338700076863,0.19559420883550843
64,0.10418571363176146,0.03936318574997476,0.16900824151354815
65,0.12483486097390988,0.07411986466296575,0.175549857284854
66,0.2016703489836525,0.13430543016981256,0.26903526779749243
67,0.17663195228334969,0.10471161743602576,0.24855228713067362
68,0.20442530129715863,0.13409871229185089,0.2747518903024664
69,0.19852291967707206,0.12768406845807043,0.2693617708960737
70,0.1662631718445541,0.10067454501170052,0.23185179867740768
71,0.2148151091811684,0.13641241514934085,0.29321780321299595
72,0.19106324012873627,0.1318639220494518,0.25026255820802074
73,0.17921781501881254,0.1075255031810639,0.25091012685656117
74,0.22761990028076587,0.14507488809589603,0.3101649124656357
75,0.23169658760125258,0.15794982264942728,0.30544335255307786
76,0.21419061387584085,0.14408811034494085,0.28429311740674085
77,0.20549309705688107,0.14489977806015683,0.26608641605360533
78,0.2501506065703515,0.1739790236474516,0.32632218949325137
79,0.2638202993467359,0.19544365156012933,0.33219694713334247
80,0.227220380562578,0.1609445686252189,0.29349619249993714
81,0.24112961221483178,0.17451861877942926,0.3077406056502343
82,0.25801462568243716,0.1806035182374629,0.3354257331274114
83,0.2313037958328505,0.16115402135522686,0.30145357031047415
84,0.23682969665445303,0.1652995210536134,0.30835987225529266
85,0.2691187054558403,0.19679085380952704,0.3414465571021536
86,0.23728000495524798,0.1769179726018367,0.29764203730865924
87,0.2795129242661951,0.2150451190192202,0.34398072951317005
88,0.27498742624555605,0.2030239547243866,0.3469508977667255
89,0.2437212467727134,0.1727077449307581,0.31473474861466866
90,0.23497532974279647,0.16341377740476246,0.3065368820808305
91,0.23767077538112225,0.18997405547115018,0.28536749529109434
92,0.21564229237409488,0.1590243478963948,0.27226023685179496
93,0.2396203995858472,0.18389416452985674,0.29534663464183764
94,0.2680615386221018,0.2008892458533637,0.3352338313908399
95,0.28689673346919325,0.22833533158725178,0.34545813535113473
96,0.2661782889505549,0.19119429583707936,0.34116228206403043
97,0.25714902066526846,0.18743519668527195,0.32686284464526494
98,0.26650291591177944,0.19886387167840539,0.3341419601451535
99,0.2131841954426325,0.14901841201979346,0.2773499788654715
