task_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,4.779822460602802e-05,-5.2138952257888585e-05,0.00014773540146994463
1,7.898710619129589e-05,-5.9521032074273184e-05,0.00021749524445686497
2,0.0029074877935980426,-0.0031779520177168986,0.008992927604912984
3,3.4666583612217873e-19,-3.789140977025363e-19,1.0722457699468938e-18
4,0.006515647670957643,-0.006192149876860306,0.019223445218775594
5,0.008424320154504051,-0.0017404222798075002,0.018589062588815604
6,3.096107399380644e-06,-3.360087200356803e-06,9.552301999118092e-06
7,1.4261091935726382e-09,-1.5218102319950055e-09,4.374028619140282e-09
8,0.0023550643486231243,-0.0025741419827244034,0.007284270679970652
9,3.3253898080901144e-06,-1.4687936075456315e-06,8.11957322372586e-06
10,0.013005521913903645,-0.013569502557488787,0.039580546385296074
11,0.004074378074502295,-0.0034536282218079377,0.011602384370812527
12,0.000187855193018971,-0.00020533005367252052,0.0005810404397104625
13,0.0028097623393884027,-0.0016106468842309435,0.007230171563007749
14,0.000759650760141059,-0.0005157136393841991,0.002035015159666317
15,0.0013906419472184688,-0.0015200050993789322,0.00430128899381587
16,4.675886545908029e-07,-5.011742466488801e-07,1.4363515558304858e-06
17,0.0002319198843294054,-0.000253494012267622,0.0007173337809264328
18,8.985055854559274e-05,-9.820872584402786e-05,0.00027790984293521334
19,5.4272135558136954e-11,-4.710700306149679e-11,1.556512741777707e-10
