task_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,0.18725411735527453,0.14660266142189365,0.2279055732886554
1,0.07050350680196656,0.05305578800760345,0.08795122559632966
2,0.09918200960918704,0.08096460851824658,0.1173994107001275
3,0.3699948189971712,0.3417809446890837,0.39820869330525865
4,0.08373669946763604,0.06526070766912793,0.10221269126614414
5,0.08763079362550677,0.06968418588374042,0.10557740136727312
6,0.36619643890106224,0.3364942800239285,0.39589859777819597
7,0.09135080124642063,0.07357576385259582,0.10912583864024544
8,0.38274698432902754,0.3518327578994797,0.41366121075857537
9,0.07829648898122275,0.06062516300745395,0.09596781495499156
10,0.07748105233740551,0.06027450249265165,0.09468760218215938
11,0.0773615274918952,0.059859015033613676,0.09486403995017673
12,0.08423410780095378,0.0666315095464647,0.10183670605544286
13,0.08103597223695859,0.06374576216322714,0.09832618231069004
14,0.08649813461239159,0.06983664728850791,0.10315962193627526
15,0.3725568205704314,0.3412923422912586,0.40382129884960416
16,0.08271591575056977,0.06468983281161067,0.10074199868952888
17,0.3830628387730694,0.353080057826166,0.4130456197199728
18,0.3697191936442493,0.34454384265732285,0.3948945446311758
19,0.08246276516021273,0.06455662975512272,0.10036890056530273
