task_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,0.1697101018279196,0.12827999020023,0.21114021345560918
1,0.06561252191286822,0.048886054516271926,0.08233898930946451
2,0.07447214515715986,0.05712260815305087,0.09182168216126885
3,0.16529975921022527,0.1240136629365158,0.20658585548393474
4,0.07611268855811218,0.058181034045845306,0.09404434307037905
5,0.0832379851938121,0.06554125857627704,0.10093471181134717
6,0.17801653811706683,0.13971127080133808,0.21632180543279558
7,0.07467114585898801,0.05717174220467226,0.09217054951330376
8,0.17495015369669073,0.13239044576858944,0.21750986162479202
9,0.07663873510408435,0.058217575007975426,0.09505989520019328
10,0.07654884905587271,0.05803237632319645,0.09506532178854897
11,0.07463206405066412,0.05691558576016814,0.0923485423411601
12,0.07526105267682938,0.05781704387260056,0.0927050614810582
13,0.0693012642311495,0.05172062980836287,0.08688189865393614
14,0.07728221702430674,0.058830915646849266,0.09573351840176421
15,0.16303632849170982,0.1229914539508131,0.20308120303260654
16,0.07772023463486359,0.05981958983338808,0.0956208794363391
17,0.17041557342887492,0.13041423241100336,0.21041691444674648
18,0.15894846228271356,0.12055812740198985,0.19733879716343727
19,0.06986499177358402,0.05310706119755264,0.0866229223496154
