instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv
0,4,0.0,0.0,1.0,500,483
1,4,0.0,0.0,1.0,500,488
0,3,0.2,1.0,0.0,500,439
2,4,0.0,0.0,1.0,500,493
2,1,0.8,1.0,0.0,500,492
0,0,1.0,1.0,0.0,500,437
3,0,1.0,1.0,0.0,500,492
3,4,0.0,0.0,1.0,500,428
4,3,0.2,1.0,0.0,500,497
2,3,0.2,1.0,0.0,500,467
1,1,0.8,1.0,0.0,500,437
3,3,0.2,0.9864972200158856,0.013502779984114376,500,497
1,0,1.0,1.0,0.0,500,492
4,0,1.0,1.0,0.0,500,427
4,1,0.8,1.0,0.0,500,497
1,3,0.2,1.0,0.0,500,497
3,1,0.8,1.0,0.0,500,494
1,2,0.5,1.0,0.0,500,467
3,2,0.5,1.0,0.0,500,494
0,2,0.5,1.0,0.0,500,499
0,1,0.8,1.0,0.0,500,499
2,0,1.0,1.0,0.0,500,499
4,2,0.5,1.0,0.0,500,492
2,2,0.5,1.0,0.0,500,497
4,4,0.0,0.0,1.0,500,421
5,4,0.0,0.0,1.0,500,477
5,0,1.0,1.0,0.0,500,489
7,4,0.0,0.0,1.0,500,453
8,4,0.0,0.0,1.0,500,402
6,4,0.0,0.0,1.0,500,493
6,1,0.8,1.0,0.0,500,497
5,2,0.5,1.0,0.0,500,472
5,1,0.8,1.0,0.0,500,492
6,2,0.5,1.0,0.0,500,487
6,3,0.2,1.0,0.0,500,482
7,2,0.5,1.0,0.0,500,452
6,0,1.0,1.0,0.0,500,497
7,1,0.8,1.0,0.0,500,487
8,2,0.5,1.0,0.0,500,482
9,2,0.5,1.0,0.0,500,497
5,3,0.2,0.9736673089274245,0.026332691072575465,500,479
8,3,0.2,1.0,0.0,500,497
7,3,0.2,1.0,0.0,500,492
7,0,1.0,1.0,0.0,500,499
8,1,0.8,1.0,0.0,500,499
8,0,1.0,1.0,0.0,500,497
9,0,1.0,1.0,0.0,500,497
9,1,0.8,1.0,0.0,500,497
9,4,0.0,0.0,1.0,500,351
9,3,0.2,1.0,0.0,500,462
