instance_number,run_number,n_time_steps,n_time_steps_cv
2,4,22000,13474
3,4,22000,13606
1,4,22000,13705
0,4,22000,13705
4,4,22000,13683
2,3,22000,13595
3,3,22000,13694
0,3,22000,13573
1,3,22000,13584
4,3,22000,13705
4,0,22000,13716
3,0,22000,13661
4,1,22000,13661
3,2,22000,13705
4,2,22000,13540
3,1,22000,13408
0,0,22000,13474
2,2,22000,13595
1,0,22000,13474
2,0,22000,13562
0,1,22000,13518
1,1,22000,13749
2,1,22000,13738
1,2,22000,13672
0,2,22000,13628
5,4,22000,13584
5,0,22000,13650
7,4,22000,13749
6,4,22000,13683
5,1,22000,13661
8,4,22000,13595
5,2,22000,13738
9,4,22000,13683
5,3,22000,13683
10,4,22000,13507
6,3,22000,13595
6,0,22000,13584
7,3,22000,13782
8,3,22000,13617
6,1,22000,13694
6,2,22000,13562
9,3,22000,13738
7,0,22000,13606
7,1,22000,13529
8,1,22000,13661
8,0,22000,13661
7,2,22000,13507
8,2,22000,13529
9,0,22000,13683
9,1,22000,13617
9,2,22000,13683
11,4,22000,13650
10,3,22000,13529
12,4,22000,13628
10,1,22000,13485
10,0,22000,13683
13,4,22000,13452
10,2,22000,13628
11,0,22000,13617
14,4,22000,13496
11,1,22000,13683
11,2,22000,13760
11,3,22000,13727
15,4,22000,13540
12,3,22000,13606
12,0,22000,13628
12,1,22000,13617
13,3,22000,13617
12,2,22000,13584
14,3,22000,13606
13,0,22000,13551
16,4,22000,13716
13,1,22000,13617
13,2,22000,13650
14,0,22000,13573
14,1,22000,13639
14,2,22000,13694
15,0,22000,13694
15,3,22000,13705
17,4,22000,13639
15,1,22000,13639
15,2,22000,13694
16,3,22000,13650
18,4,22000,13782
16,0,22000,13771
16,1,22000,13639
19,4,22000,13683
16,2,22000,13738
20,4,22000,13749
17,0,22000,13672
17,1,22000,13529
17,3,22000,13562
17,2,22000,13573
21,4,22000,13705
18,0,22000,13727
18,3,22000,13485
18,1,22000,13628
19,3,22000,13683
19,1,22000,13650
19,0,22000,13573
18,2,22000,13738
19,2,22000,13694
22,4,22000,13694
20,3,22000,13771
20,0,22000,13606
20,2,22000,13672
21,3,22000,13628
20,1,22000,13639
23,4,22000,13705
24,4,22000,13683
21,1,22000,13507
21,0,22000,13606
21,2,22000,13551
22,0,22000,13683
22,1,22000,13683
22,3,22000,13694
25,4,22000,13639
22,2,22000,13606
23,3,22000,13595
23,1,22000,13628
23,2,22000,13661
26,4,22000,13749
23,0,22000,13650
24,3,22000,13496
24,0,22000,13628
27,4,22000,13815
24,2,22000,13782
25,0,22000,13705
24,1,22000,13738
25,3,22000,13628
25,1,22000,13650
25,2,22000,13551
28,4,22000,13738
26,0,22000,13749
26,3,22000,13551
26,1,22000,13727
29,4,22000,13804
26,2,22000,13507
27,3,22000,13672
27,0,22000,13683
27,1,22000,13661
30,4,22000,13661
27,2,22000,13485
28,0,22000,13584
28,3,22000,13705
28,1,22000,13683
31,4,22000,13573
28,2,22000,13661
29,3,22000,13793
29,0,22000,13617
29,1,22000,13595
32,4,22000,13606
29,2,22000,13738
30,3,22000,13760
30,0,22000,13716
30,1,22000,13683
33,4,22000,13595
30,2,22000,13771
31,1,22000,13683
31,0,22000,13584
31,3,22000,13650
34,4,22000,13672
31,2,22000,13716
32,0,22000,13474
32,1,22000,13738
32,3,22000,13716
35,4,22000,13639
32,2,22000,13716
33,0,22000,13661
33,3,22000,13727
33,1,22000,13639
33,2,22000,13595
36,4,22000,13551
34,3,22000,13606
34,0,22000,13672
37,4,22000,13551
34,1,22000,13628
34,2,22000,13562
35,1,22000,13661
35,3,22000,13606
35,0,22000,13573
38,4,22000,13507
35,2,22000,13727
36,3,22000,13529
36,0,22000,13694
36,1,22000,13782
36,2,22000,13727
39,4,22000,13661
37,1,22000,13804
37,0,22000,13661
37,3,22000,13760
40,4,22000,13540
37,2,22000,13683
38,0,22000,13617
38,3,22000,13661
41,4,22000,13584
38,1,22000,13474
38,2,22000,13793
39,0,22000,13683
39,1,22000,13727
39,3,22000,13441
42,4,22000,13650
39,2,22000,13628
40,3,22000,13661
40,0,22000,13694
40,1,22000,13606
40,2,22000,13760
43,4,22000,13551
41,3,22000,13584
41,0,22000,13639
44,4,22000,13804
41,2,22000,13716
41,1,22000,13430
42,0,22000,13518
42,3,22000,13727
45,4,22000,13661
42,1,22000,13661
42,2,22000,13595
43,3,22000,13595
43,0,22000,13760
43,1,22000,13650
43,2,22000,13683
46,4,22000,13628
44,3,22000,13727
47,4,22000,13639
44,1,22000,13617
44,0,22000,13694
44,2,22000,13672
45,3,22000,13650
45,0,22000,13617
48,4,22000,13595
45,2,22000,13518
45,1,22000,13694
46,0,22000,13573
46,3,22000,13672
46,1,22000,13716
49,4,22000,13529
46,2,22000,13650
47,3,22000,13694
50,4,22000,13573
47,0,22000,13650
47,1,22000,13650
47,2,22000,13771
48,3,22000,13672
48,0,22000,13727
48,1,22000,13540
48,2,22000,13639
51,4,22000,13595
49,0,22000,13617
49,3,22000,13760
49,1,22000,13716
52,4,22000,13617
49,2,22000,13639
50,1,22000,13826
50,0,22000,13606
50,3,22000,13837
53,4,22000,13749
50,2,22000,13551
51,0,22000,13562
51,3,22000,13639
51,1,22000,13551
54,4,22000,13595
51,2,22000,13683
52,1,22000,13771
52,3,22000,13749
52,0,22000,13694
55,4,22000,13826
52,2,22000,13573
53,3,22000,13639
53,0,22000,13672
53,1,22000,13683
53,2,22000,13694
56,4,22000,13672
54,0,22000,13694
54,3,22000,13683
57,4,22000,13650
54,1,22000,13584
54,2,22000,13628
55,3,22000,13650
55,0,22000,13694
58,4,22000,13771
55,1,22000,13584
55,2,22000,13727
56,0,22000,13518
56,1,22000,13804
56,3,22000,13727
59,4,22000,13694
56,2,22000,13672
57,3,22000,13749
57,0,22000,13639
60,4,22000,13661
57,1,22000,13584
57,2,22000,13452
58,1,22000,13815
58,0,22000,13815
58,3,22000,13595
61,4,22000,13749
58,2,22000,13595
59,3,22000,13661
59,0,22000,13606
59,1,22000,13694
62,4,22000,13650
59,2,22000,13672
60,1,22000,13694
60,0,22000,13650
60,3,22000,13650
63,4,22000,13727
60,2,22000,13771
61,3,22000,13551
64,4,22000,13782
61,1,22000,13716
61,0,22000,13705
61,2,22000,13749
62,0,22000,13595
62,1,22000,13551
62,3,22000,13771
65,4,22000,13826
62,2,22000,13518
63,1,22000,13595
63,0,22000,13672
63,3,22000,13617
66,4,22000,13639
63,2,22000,13430
64,3,22000,13463
64,0,22000,13694
64,1,22000,13496
67,4,22000,13705
64,2,22000,13551
65,0,22000,13760
65,3,22000,13705
65,1,22000,13573
65,2,22000,13650
68,4,22000,13683
66,1,22000,13683
66,0,22000,13661
66,3,22000,13639
69,4,22000,13716
66,2,22000,13738
67,1,22000,13529
67,0,22000,13573
67,3,22000,13793
70,4,22000,13749
67,2,22000,13716
68,3,22000,13650
68,0,22000,13782
71,4,22000,13705
68,1,22000,13584
68,2,22000,13650
69,0,22000,13463
72,4,22000,13584
69,3,22000,13749
69,2,22000,13562
69,1,22000,13496
70,3,22000,13672
70,1,22000,13639
70,0,22000,13782
73,4,22000,13672
70,2,22000,13694
71,0,22000,13573
71,1,22000,13661
71,3,22000,13738
74,4,22000,13683
71,2,22000,13782
72,0,22000,13738
72,3,22000,13419
72,1,22000,13694
75,4,22000,13705
72,2,22000,13694
73,0,22000,13650
73,3,22000,13606
76,4,22000,13672
73,1,22000,13705
73,2,22000,13705
74,3,22000,13716
77,4,22000,13628
74,1,22000,13661
74,0,22000,13474
74,2,22000,13595
75,0,22000,13804
75,3,22000,13584
75,1,22000,13551
78,4,22000,13661
75,2,22000,13760
76,1,22000,13639
76,3,22000,13771
76,0,22000,13650
79,4,22000,13606
76,2,22000,13848
77,3,22000,13595
77,0,22000,13672
80,4,22000,13551
77,1,22000,13540
77,2,22000,13716
78,0,22000,13551
78,1,22000,13683
81,4,22000,13727
78,3,22000,13595
78,2,22000,13606
79,3,22000,13551
79,0,22000,13507
82,4,22000,13496
79,2,22000,13650
79,1,22000,13727
80,3,22000,13650
80,0,22000,13617
80,1,22000,13595
83,4,22000,13661
80,2,22000,13639
