instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv
1,4,0.0,0.0,1.0,22000,140
2,4,0.0,0.0,1.0,22000,2390
3,4,0.0,0.0,1.0,22000,20324
0,4,0.0,0.0,1.0,22000,12590
4,4,0.0,0.0,1.0,22000,109
3,3,0.2,0.15657962477401435,0.8434203752259857,22000,19784
4,3,0.2,0.1646266433521145,0.8353733566478855,22000,19623
0,3,0.2,0.15705160641255364,0.8429483935874463,22000,19546
1,3,0.2,0.17311259346305832,0.8268874065369417,22000,17486
2,3,0.2,0.20927969027823845,0.7907203097217615,22000,10008
3,2,0.5,0.9036347123727078,0.09636528762729223,22000,21845
3,0,1.0,1.0,0.0,22000,13397
4,2,0.5,0.9035526874252421,0.09644731257475789,22000,13397
4,0,1.0,1.0,0.0,22000,13419
3,1,0.8,1.0,0.0,22000,13496
1,0,1.0,1.0,0.0,22000,13441
0,0,1.0,1.0,0.0,22000,13804
2,2,0.5,0.8537183131272116,0.14628168687278845,22000,13111
1,1,0.8,1.0,0.0,22000,13474
1,2,0.5,0.9176070594844872,0.08239294051551285,22000,13320
0,1,0.8,1.0,0.0,22000,13551
0,2,0.5,0.9175059557242742,0.08249404427572582,22000,13210
4,1,0.8,1.0,0.0,22000,13408
2,1,0.8,1.0,0.0,22000,13396
2,0,1.0,1.0,0.0,22000,13496
5,4,0.0,0.0,1.0,22000,14197
6,4,0.0,0.0,1.0,22000,149
7,4,0.0,0.0,1.0,22000,109
5,0,1.0,1.0,0.0,22000,13419
5,1,0.8,1.0,0.0,22000,13331
5,2,0.5,0.873437319134159,0.12656268086584097,22000,13320
8,4,0.0,0.0,1.0,22000,148
9,4,0.0,0.0,1.0,22000,109
5,3,0.2,0.1709702261633767,0.8290297738366232,22000,9459
10,4,0.0,0.0,1.0,22000,17355
6,3,0.2,0.16148855052215302,0.838511449477847,22000,21075
7,3,0.2,0.2034164426146866,0.7965835573853134,22000,14032
6,0,1.0,1.0,0.0,22000,13496
8,3,0.2,0.1298180715960336,0.8701819284039665,22000,21085
6,1,0.8,1.0,0.0,22000,13364
7,1,0.8,1.0,0.0,22000,13452
6,2,0.5,0.8821597744907151,0.11784022550928482,22000,13353
7,0,1.0,1.0,0.0,22000,13463
9,3,0.2,0.1394753753578314,0.8605246246421686,22000,17192
7,2,0.5,0.8969859789418851,0.1030140210581148,22000,13199
8,0,1.0,1.0,0.0,22000,13474
8,1,0.8,1.0,0.0,22000,14321
9,1,0.8,1.0,0.0,22000,13375
8,2,0.5,0.8634149400007717,0.1365850599992283,22000,13199
9,0,1.0,1.0,0.0,22000,13496
9,2,0.5,0.8652447985149664,0.13475520148503364,22000,13309
11,4,0.0,0.0,1.0,22000,19458
10,3,0.2,0.21224496239889276,0.7877550376011072,22000,19392
10,0,1.0,1.0,0.0,22000,21559
12,4,0.0,0.0,1.0,22000,15057
10,1,0.8,1.0,0.0,22000,21999
13,4,0.0,0.0,1.0,22000,109
10,2,0.5,0.8963125493444155,0.10368745065558446,22000,13309
11,0,1.0,1.0,0.0,22000,13430
11,1,0.8,1.0,0.0,22000,13474
14,4,0.0,0.0,1.0,22000,19542
11,3,0.2,0.16626013853531466,0.8337398614646854,22000,19358
15,4,0.0,0.0,1.0,22000,21675
11,2,0.5,0.9094788130052163,0.09052118699478377,22000,13298
