instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv,avg_ts_l2,avg_ts_l5,avg_ts_l10,avg_ts_l50,discounted_return,total_return
1,4,0.0,0.0,1.0,22000,12051,12050.5,10516.4,8476.9,2441.44,3.1177107514252113e-06,3918.0
3,4,0.0,0.0,1.0,22000,18726,15565.0,12568.0,10223.9,2767.74,9.935001622620975e-06,3918.0
0,4,0.0,0.0,1.0,22000,21236,21219.5,17268.0,12339.9,3581.36,9.932964759803461e-06,3908.0
2,4,0.0,0.0,1.0,22000,20409,16324.0,12130.2,8920.6,2832.8,9.935007900533291e-06,3916.0
4,4,0.0,0.0,1.0,22000,20929,16067.0,11583.8,9520.6,2804.16,3.0515983945916072e-06,3918.0
1,3,0.2,0.19676529515955749,0.8032347048404426,22000,15728,14958.0,13554.8,11283.3,8087.46,0.0245140228116938,2532.0
0,3,0.2,0.1967570141764477,0.8032429858235522,22000,14980,14892.0,13695.4,11688.1,8178.5,0.07259339509483723,2519.0
4,3,0.2,0.19674311367160505,0.803256886328395,22000,16619,16492.5,14654.4,12137.8,8251.14,0.8690503325337774,2519.0
2,3,0.2,0.19674777861664441,0.8032522213833556,22000,12923,12890.0,12082.6,10631.9,7970.38,0.7384796807563023,2530.0
3,3,0.2,0.1967559656896622,0.8032440343103379,22000,17939,17889.5,15162.6,12610.8,8273.02,0.2311721773321987,2533.0
1,2,0.5,0.7346825535891595,0.2653174464108405,22000,17356,17152.5,15835.8,14566.4,12099.24,6.411402687156789e-10,1710.0
3,0,1.0,0.9956794668113302,0.004320533188669741,22000,19864,19484.5,18636.8,16580.7,12846.42,3.118810336629358e-208,1646.0
2,0,1.0,0.9957071586030862,0.004292841396913795,22000,20623,20485.5,19017.0,16711.5,12881.56,9.198483838546953e-62,1636.0
0,0,1.0,0.9956878214796767,0.004312178520323316,22000,19897,19869.5,18148.0,16031.7,12959.52,3.8973465885953536e-269,1637.0
1,0,1.0,0.9958153906040922,0.004184609395907841,22000,17268,17169.0,16018.4,14868.9,12470.36,8.394766976435158e-219,1638.0
2,1,0.8,0.9634718207044582,0.036528179295541786,22000,20007,19303.0,17919.2,15977.8,12761.66,1.4586166593085292e-182,1648.0
1,1,0.8,0.963336814015547,0.03666318598445295,22000,19897,19061.0,17899.4,15903.0,12715.88,1.1948152975140067e-195,1646.0
0,2,0.5,0.7323016977994353,0.2676983022005646,22000,18687,17939.0,16572.8,15228.6,12664.42,1.2132876745517943e-194,1669.0
0,1,0.8,0.9635029793979345,0.03649702060206552,22000,21844,21646.0,19738.6,16930.4,13070.58,3.4981170121462853e-125,1622.0
4,1,0.8,0.9629170380129423,0.03708296198705777,22000,21327,20782.5,17752.2,15768.8,12689.12,0.0,1651.0
4,0,1.0,0.9957555466187308,0.0042444533812691695,22000,21206,20436.0,18605.8,16276.0,12841.08,2.3834965310032867e-150,1644.0
3,2,0.5,0.7317483745248983,0.2682516254751018,22000,18467,18307.5,17151.4,15333.3,12491.4,3.1904032463596687e-131,1675.0
4,2,0.5,0.7344372521970655,0.26556274780293454,22000,19864,19528.5,18790.6,16675.2,12733.96,6.6112356833604e-08,1691.0
3,1,0.8,0.9630542465911995,0.03694575340880042,22000,21998,21652.0,20564.0,17641.2,13228.98,7.595334767853747e-150,1632.0
