instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv
2,2,0.5,1.0,0.0,1100,1092
1,1,0.8,1.0,0.0,1100,1081
0,1,0.8,1.0,0.0,1100,1072
1,2,0.5,1.0,0.0,1100,1081
3,1,0.8,1.0,0.0,1100,1094
0,3,0.2,0.9344042838018741,0.06559571619812583,1100,1099
4,2,0.5,1.0,0.0,1100,1098
0,2,0.5,1.0,0.0,1100,1083
4,1,0.8,1.0,0.0,1100,1098
3,2,0.5,1.0,0.0,1100,1081
1,0,1.0,1.0,0.0,1100,1099
3,3,0.2,0.9395879732739421,0.06041202672605791,1100,1092
2,3,0.2,0.9493483810291549,0.05065161897084509,1100,1070
4,3,0.2,0.9525542525946893,0.04744574740531069,1100,1092
2,0,1.0,1.0,0.0,1100,1070
4,0,1.0,1.0,0.0,1100,1059
1,4,0.0,0.0,1.0,1100,1025
1,3,0.2,0.9430051813471503,0.05699481865284974,1100,1092
2,1,0.8,1.0,0.0,1100,1083
0,0,1.0,1.0,0.0,1100,1096
2,4,0.0,0.0,1.0,1100,1083
0,4,0.0,0.0,1.0,1100,1083
3,0,1.0,1.0,0.0,1100,1098
3,4,0.0,0.0,1.0,1100,1099
5,2,0.5,1.0,0.0,1100,1081
5,3,0.2,0.9496305232996531,0.05036947670034685,1100,1076
6,1,0.8,1.0,0.0,1100,1081
6,2,0.5,1.0,0.0,1100,1061
6,0,1.0,1.0,0.0,1100,1096
4,4,0.0,0.0,1.0,1100,1077
5,0,1.0,1.0,0.0,1100,1092
5,4,0.0,0.0,1.0,1100,1098
7,0,1.0,1.0,0.0,1100,1075
6,4,0.0,0.0,1.0,1100,1092
7,3,0.2,0.932620320855615,0.06737967914438503,1100,964
5,1,0.8,1.0,0.0,1100,1049
8,2,0.5,1.0,0.0,1100,1076
6,3,0.2,0.9489312683988225,0.051068731601177524,1100,1092
7,1,0.8,1.0,0.0,1100,1094
8,3,0.2,0.9514675966288869,0.04853240337111305,1100,1092
7,2,0.5,1.0,0.0,1100,1083
8,0,1.0,1.0,0.0,1100,1098
7,4,0.0,0.0,1.0,1100,1092
8,4,0.0,0.0,1.0,1100,1091
8,1,0.8,1.0,0.0,1100,1092
9,0,1.0,1.0,0.0,1100,1048
9,1,0.8,1.0,0.0,1100,1092
9,2,0.5,1.0,0.0,1100,1072
9,3,0.2,0.9477911646586346,0.05220883534136546,1100,973
9,4,0.0,0.0,1.0,1100,1093
