instance_number,run_number,n_time_steps,n_time_steps_cv
1,4,500,454
0,4,500,499
2,4,500,454
3,4,500,492
3,1,500,472
0,3,500,492
3,2,500,494
1,1,500,494
4,2,500,497
4,3,500,484
3,3,500,487
2,1,500,462
2,0,500,489
1,2,500,472
1,3,500,484
0,2,500,487
1,0,500,494
4,1,500,499
4,0,500,494
2,3,500,479
3,0,500,497
0,0,500,487
2,2,500,472
0,1,500,492
4,4,500,487
5,2,500,469
8,4,500,492
5,0,500,482
6,4,500,482
5,4,500,454
5,1,500,492
7,4,500,487
6,0,500,444
5,3,500,447
6,1,500,487
6,3,500,452
7,2,500,427
6,2,500,487
8,0,500,492
7,1,500,497
9,1,500,467
7,0,500,497
7,3,500,487
8,1,500,497
9,0,500,497
8,3,500,464
9,2,500,452
8,2,500,492
9,3,500,492
9,4,500,437
