instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv,avg_ts_l2,avg_ts_l5,avg_ts_l10,avg_ts_l50,discounted_return,total_return
3,4,0.0,0.0,1.0,5500,5293,4901.0,4664.6,4474.3,3091.78,0.46182568106214134,250.0
2,4,0.0,0.0,1.0,5500,5089,5088.5,5053.8,4903.0,3136.46,0.45953831003670625,247.0
0,4,0.0,0.0,1.0,5500,5426,5425.5,5057.6,4514.7,2596.18,0.38643311906713185,249.0
1,4,0.0,0.0,1.0,5500,5118,4885.0,4383.2,3966.4,2539.74,0.04861263531613647,261.0
4,4,0.0,0.0,1.0,5500,5451,5186.0,4853.0,4628.8,2653.5,0.35945809178371796,247.0
1,3,0.2,0.10136185560599466,0.8986381443940054,5500,5279,5278.5,4966.0,4450.5,2270.62,0.034369630053403655,113.0
3,3,0.2,0.11814732373465574,0.8818526762653442,5500,5157,4964.5,4380.4,3918.5,2061.4,0.01077526366430583,141.0
2,3,0.2,0.11715817193657434,0.8828418280634257,5500,4707,4552.5,4213.6,3756.1,2043.3,0.03433683820292515,132.0
0,3,0.2,0.11082327991144927,0.8891767200885508,5500,5081,5080.0,4255.4,3435.9,1810.36,9.101546457199307e-14,85.0
4,0,1.0,1.0,0.0,5500,3101,2914.0,2749.0,2623.6,2077.06,1.844448022400847e-120,76.0
2,1,0.8,0.978727652237045,0.021272347762954898,5500,2584,2474.0,2262.8,2139.3,1766.4,1.2686769519735898e-73,108.0
3,0,1.0,1.0,0.0,5500,3266,3227.5,3140.6,3039.4,2298.88,1.618771231734576e-51,110.0
4,1,0.8,0.9775800195744372,0.022419980425562765,5500,4531,3673.0,2905.0,2568.3,1893.22,1.5223913521787769e-55,127.0
3,1,0.8,0.9798461705910096,0.020153829408990312,5500,3222,3002.0,2740.2,2604.9,2251.6,6.251271379986842e-114,5.0
1,1,0.8,0.9903612931252941,0.009638706874705862,5500,4443,3788.5,3334.2,2751.2,1774.42,1.4303404282584608e-77,120.0
1,0,1.0,1.0,0.0,5500,3574,3282.5,2922.8,2615.9,1915.86,1.946090289650343e-39,109.0
2,0,1.0,1.0,0.0,5500,2441,2408.0,2262.8,2138.5,1711.94,1.2859568898252737e-66,27.0
0,1,0.8,0.9866966105669499,0.01330338943305013,5500,3057,2952.5,2850.2,2757.8,2191.38,8.761809059399334e-92,44.0
4,2,0.5,0.6546928791447726,0.3453071208552274,5500,4707,4624.5,3519.0,2939.3,2064.02,4.09775499921127e-66,40.0
3,2,0.5,0.634093834411994,0.36590616558800604,5500,3662,3530.0,3241.8,3028.4,2435.5,9.3165035459082e-88,92.0
0,0,1.0,1.0,0.0,5500,4058,3497.0,3092.2,2865.5,2229.98,9.906314758610337e-84,56.0
0,2,0.5,0.6516946692310484,0.34830533076895165,5500,3640,3442.0,3200.0,2998.7,2347.5,1.6313484867892715e-128,99.0
2,2,0.5,0.6348559566328843,0.3651440433671157,5500,2683,2584.0,2326.6,2169.2,1729.94,1.1749708402785834e-78,153.0
1,2,0.5,0.6320482583454281,0.36795174165457184,5500,3662,3365.0,3015.2,2624.7,1839.32,4.633021626726826e-58,116.0
4,3,0.2,0.1161075772793215,0.8838924227206785,5500,5400,5372.5,5199.8,4737.5,2565.04,0.01077526366430583,125.0
5,4,0.0,0.0,1.0,5500,5286,5175.5,5018.8,4673.4,2715.84,0.1559687115143433,255.0
6,4,0.0,0.0,1.0,5500,4993,4992.5,4990.8,4933.3,3395.9,0.5080323885925236,252.0
5,0,1.0,1.0,0.0,5500,2925,2815.0,2656.6,2513.6,1973.38,3.5147793441167195e-76,144.0
8,4,0.0,0.0,1.0,5500,5341,5340.5,5025.2,4714.1,2754.5,0.4699341316069148,271.0
5,1,0.8,0.9888323630230154,0.011167636976984602,5500,4025,3981.0,3662.0,3275.8,2036.6,1.0373061077057813e-80,85.0
7,4,0.0,0.0,1.0,5500,5499,5498.5,5180.8,4971.2,3445.1,0.045116675716097676,264.0
5,2,0.5,0.634172050015381,0.365827949984619,5500,4586,4063.5,3354.0,2960.1,1988.7,1.863507029091758e-120,103.0
9,4,0.0,0.0,1.0,5500,5484,5483.5,5258.4,4992.9,3597.7,0.004927463861022896,263.0
5,3,0.2,0.11000524799057203,0.889994752009428,5500,5454,5399.0,4849.0,4300.4,2360.58,1.6135523938683874e-69,65.0
10,4,0.0,0.0,1.0,5500,5070,5069.5,5068.0,4853.8,3136.62,0.38676569389084214,256.0
6,1,0.8,0.986845200398082,0.013154799601918031,5500,2518,2397.0,2282.6,2210.0,1782.36,4.5709044777644335e-65,100.0
6,0,1.0,1.0,0.0,5500,2760,2743.5,2689.6,2595.0,2044.34,1.873448488737709e-117,134.0
6,3,0.2,0.1115089443079784,0.8884910556920216,5500,5268,5169.0,4842.8,4357.6,2504.42,0.3486784401000001,76.0
7,0,1.0,1.0,0.0,5500,5147,5031.5,3446.4,2860.1,2048.1,8.761809051929652e-92,112.0
8,0,1.0,1.0,0.0,5500,2925,2903.0,2865.6,2771.0,2209.62,0.0,0.0
8,1,0.8,0.9860518914995917,0.013948108500408238,5500,3948,3139.5,2603.8,2336.5,1804.18,8.897307035153455e-91,62.0
7,1,0.8,0.9958284968078932,0.0041715031921067906,5500,4388,3937.0,3457.4,3078.7,2163.34,2.507683215265486e-98,32.0
6,2,0.5,0.6438987615410118,0.3561012384589883,5500,3321,3194.5,2962.4,2659.9,1913.2,3.97389877366989e-68,122.0
7,2,0.5,0.653639432447536,0.3463605675524641,5500,4047,3843.5,3008.6,2497.1,1843.24,4.0977549992004086e-66,41.0
9,0,1.0,1.0,0.0,5500,3112,3024.0,2832.6,2629.1,2134.76,1.5941188063041348e-52,99.0
8,3,0.2,0.11119539532360541,0.8888046046763945,5500,5433,5103.0,4581.6,4126.0,2355.94,1.3669764923758457e-64,156.0
9,3,0.2,0.11639297163938837,0.8836070283606117,5500,5158,4987.5,4688.8,4008.0,2123.92,0.45809742923151253,112.0
9,1,0.8,0.9911133680335154,0.008886631966484702,5500,3046,2815.0,2625.8,2502.6,1952.6,3.913376311388837e-69,71.0
8,2,0.5,0.6438944523057945,0.3561055476942056,5500,2716,2710.5,2658.8,2573.0,2238.2,1.9796620870061772e-116,107.0
9,2,0.5,0.636644525507704,0.36335547449229594,5500,3057,2754.5,2443.2,2212.2,1772.66,9.174621602101588e-89,48.0
7,3,0.2,0.11353486468693842,0.8864651353130616,5500,5290,5229.5,4468.8,3433.7,2102.02,2.037780315197932e-36,125.0
11,4,0.0,0.0,1.0,5500,5474,5442.5,5420.6,5023.8,3247.38,0.014501309567320486,221.0
10,1,0.8,0.9915897314799257,0.008410268520074293,5500,5026,4300.0,3831.4,3611.2,2243.6,1.7478712517226947e-46,9.0
10,0,1.0,1.0,0.0,5500,2540,2518.0,2469.6,2409.1,1961.42,9.460579638624543e-87,155.0
10,2,0.5,0.6368589976064408,0.3631410023935592,5500,5433,5301.0,4009.6,3185.7,2025.4,1.5698418289567188e-53,34.0
13,4,0.0,0.0,1.0,5500,5279,5278.5,5220.6,5015.4,3223.26,0.46302373896267807,264.0
10,3,0.2,0.11793742882506433,0.8820625711749357,5500,5433,4822.5,4431.8,4029.1,2368.62,0.01077526366430583,80.0
11,0,1.0,1.0,0.0,5500,4421,3783.0,3167.0,2854.6,2171.48,2.8352474777195853e-90,70.0
14,4,0.0,0.0,1.0,5500,5453,5452.5,5036.2,4367.3,2403.78,0.47263341868954867,258.0
12,4,0.0,0.0,1.0,5500,5367,5366.0,5146.4,4474.2,2719.68,0.0,0.0
11,1,0.8,1.0,0.0,5500,3211,3189.0,2834.8,2654.4,2033.74,7.230083370286618e-29,118.0
11,3,0.2,0.11769216024535173,0.8823078397546482,5500,5388,5064.0,4691.0,4008.9,2284.7,0.0010611166149416577,62.0
11,2,0.5,0.6510189162846106,0.34898108371538933,5500,2474,2457.5,2419.0,2345.3,1874.28,2.4770085325113358e-99,41.0
15,4,0.0,0.0,1.0,5500,5394,5393.0,5043.8,4566.9,2520.58,0.14833695892583507,252.0
12,0,1.0,1.0,0.0,5500,5136,4652.0,3556.4,3039.4,2080.8,3.7373283642316207e-72,52.0
12,1,0.8,1.0,0.0,5500,3354,3090.0,2867.8,2724.8,2114.92,1.9761858167570962e-38,55.0
13,0,1.0,1.0,0.0,5500,2826,2815.0,2683.0,2500.4,1987.98,7.400841117689686e-103,139.0
12,3,0.2,0.11798338440155416,0.8820166155984458,5500,4419,4277.0,3973.6,3409.7,2020.08,0.01077526366430583,133.0
12,2,0.5,0.6619534479008049,0.33804655209919515,5500,3079,2853.5,2636.8,2388.2,1863.56,1.1920766641894898e-71,50.0
13,1,0.8,1.0,0.0,5500,4135,3854.5,3541.0,3194.5,2213.98,9.46058827523929e-87,28.0
14,0,1.0,1.0,0.0,5500,2848,2842.5,2676.4,2405.8,1881.34,1.643804897306718e-50,145.0
14,1,0.8,0.9840721724038184,0.01592782759618166,5500,2826,2628.0,2482.8,2368.4,1887.04,1.4992067053616223e-56,47.0
13,3,0.2,0.10968232711106252,0.8903176728889375,5500,5385,5216.0,5020.4,4267.3,2334.36,1.0866154154860514e-77,87.0
13,2,0.5,0.6473831572461536,0.3526168427538464,5500,3882,3183.5,2731.4,2496.0,1771.72,6.20148049141148e-39,42.0
14,3,0.2,0.11517140672992854,0.8848285932700715,5500,5487,4943.0,4352.0,3932.8,2369.66,6.297383967845148e-38,201.0
14,2,0.5,0.656533273381295,0.34346672661870503,5500,3739,3276.5,2907.0,2605.6,1843.68,7.515294183955102e-102,33.0
16,4,0.0,0.0,1.0,5500,4899,4863.0,4695.6,4468.8,3003.06,0.12140441026483453,260.0
15,0,1.0,1.0,0.0,5500,2793,2787.5,2652.2,2478.4,1926.26,1.0533465866576287e-79,142.0
17,4,0.0,0.0,1.0,5500,4616,4614.5,4401.6,4217.3,2822.38,0.3642634383026429,238.0
15,1,0.8,1.0,0.0,5500,4454,4426.5,3336.4,2881.0,2034.18,3.680378139594036e-73,83.0
15,2,0.5,0.6606052922319019,0.3393947077680981,5500,5389,4107.5,3224.2,2885.4,2075.16,2.1012946139966126e-34,133.0
16,0,1.0,1.0,0.0,5500,2815,2529.0,2315.6,2169.3,1716.26,5.23820711533679e-50,93.0
16,1,0.8,0.983521759611552,0.01647824038844802,5500,2265,2248.5,2214.4,2158.3,1871.42,3.1087065394546783e-84,116.0
15,3,0.2,0.10930201825497729,0.8906979817450227,5500,5498,5339.0,4792.2,4082.6,2141.04,2.367945945099481e-44,146.0
18,4,0.0,0.0,1.0,5500,4930,4883.0,4387.8,3865.1,2468.76,0.03540827755942266,172.0
16,2,0.5,0.6477297346091352,0.35227026539086476,5500,3684,3183.5,2696.2,2401.4,1844.08,7.927430719792395e-23,126.0
19,4,0.0,0.0,1.0,5500,4682,4681.5,4383.2,4015.5,2826.96,0.45810808287750393,252.0
16,3,0.2,0.10753088462386941,0.8924691153761306,5500,4795,4701.5,4207.0,3764.9,2061.06,6.904765413297526e-32,156.0
17,0,1.0,1.0,0.0,5500,3651,3563.0,2988.8,2729.2,2102.64,2.253789772176818e-107,80.0
20,4,0.0,0.0,1.0,5500,5277,4831.0,4005.8,3223.6,1735.04,0.04628199826036691,267.0
17,1,0.8,0.9953189855363967,0.004681014463603284,5500,3420,3365.0,2645.6,2357.2,1787.02,2.6283509949003786e-95,143.0
17,3,0.2,0.11367219480246075,0.8863278051975393,5500,5124,5080.0,4761.2,4193.7,2173.06,7.230083370286618e-29,77.0
17,2,0.5,0.6377087592957823,0.3622912407042177,5500,2397,2342.0,2282.6,2191.3,1858.22,1.209357826056868e-70,106.0
