instance_number,run_number,n_time_steps,n_time_steps_cv,avg_ts_l2,avg_ts_l5,avg_ts_l10,avg_ts_l50,discounted_return,total_return
3,4,5500,2199,2177.0,2139.6,2082.4,1727.44,2.6258578540909223e-95,156.0
0,4,5500,3904,3546.5,3149.4,2843.6,2201.4,2.2522631265878383e-105,106.0
2,4,5500,3937,3238.5,2632.4,2391.5,1851.22,1.1287033862056975e-83,56.0
1,4,5500,3915,3354.0,2806.2,2467.1,1899.52,2.4498239195898636e-24,15.0
4,4,5500,5334,3821.5,2865.6,2488.3,1915.88,7.631535267479293e-101,41.0
1,3,5500,4410,3755.5,3332.0,3049.1,2118.92,3.156874638426115e-83,124.0
3,3,5500,3420,3403.5,3098.8,2823.8,2099.38,3.356631976101342e-79,100.0
2,3,5500,2672,2639.0,2564.2,2455.3,1894.28,4.777425377094831e-56,97.0
0,3,5500,3068,2716.0,2452.0,2299.1,1863.36,7.570728679735176e-26,85.0
4,0,5500,2859,2688.5,2452.0,2334.3,1857.36,1.4992067053616223e-56,130.0
2,1,5500,4333,4179.0,3994.2,3853.3,2830.12,3.973895149330056e-68,16.0
3,0,5500,2947,2936.0,2821.6,2685.2,2088.96,6.609279438490821e-111,57.0
4,2,5500,2441,2430.0,2388.2,2296.9,1846.96,4.800824419592094e-62,152.0
4,1,5500,2309,2303.5,2251.8,2183.6,1882.2,7.63151377120067e-101,116.0
3,1,5500,2144,2127.5,2082.4,2030.7,1704.86,0.0,0.0
1,0,5500,3024,2952.5,2865.6,2739.1,2239.92,1.9031689170917475e-116,63.0
1,1,5500,4124,3640.0,3136.2,2905.1,2228.04,1.8302221891774745e-43,113.0
2,0,5500,5256,4959.0,3729.6,3003.9,1958.34,5.23820711533679e-50,128.0
0,1,5500,2815,2732.5,2548.8,2388.2,1885.94,1.4715100136052913e-75,164.0
3,2,5500,3321,3271.5,3017.4,2774.3,2147.96,3.624329300904861e-74,128.0
0,0,5500,3992,3805.0,3653.2,3518.8,2711.38,6.156070157192261e-115,80.0
