instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv
0,2,0.5,1.0,0.0,1100,1087
1,1,0.8,1.0,0.0,1100,1092
0,1,0.8,1.0,0.0,1100,1063
1,2,0.5,1.0,0.0,1100,1096
0,4,0.0,0.0,1.0,1100,1071
0,3,0.2,0.9600518806744488,0.03994811932555123,1100,1083
1,0,1.0,1.0,0.0,1100,1092
0,0,1.0,1.0,0.0,1100,1094
2,0,1.0,1.0,0.0,1100,1092
2,1,0.8,1.0,0.0,1100,1092
1,3,0.2,0.9815242494226328,0.018475750577367205,1100,1070
1,4,0.0,0.0,1.0,1100,1091
2,3,0.2,0.982851611118794,0.017148388881205918,1100,1096
3,0,1.0,1.0,0.0,1100,1059
2,2,0.5,1.0,0.0,1100,1096
2,4,0.0,0.0,1.0,1100,1028
3,2,0.5,1.0,0.0,1100,1032
3,1,0.8,1.0,0.0,1100,1008
3,4,0.0,0.0,1.0,1100,1094
3,3,0.2,0.9818181818181818,0.01818181818181818,1100,1098
4,0,1.0,1.0,0.0,1100,1087
4,2,0.5,1.0,0.0,1100,1076
4,1,0.8,1.0,0.0,1100,1094
4,3,0.2,0.9826131424188187,0.017386857581181282,1100,1094
5,2,0.5,1.0,0.0,1100,1092
6,0,1.0,1.0,0.0,1100,1059
5,1,0.8,1.0,0.0,1100,1092
5,0,1.0,1.0,0.0,1100,1070
4,4,0.0,0.0,1.0,1100,1097
5,3,0.2,0.981232894565359,0.018767105434640947,1100,1094
5,4,0.0,0.0,1.0,1100,1071
6,1,0.8,1.0,0.0,1100,1097
6,2,0.5,1.0,0.0,1100,1092
7,2,0.5,1.0,0.0,1100,1093
7,0,1.0,1.0,0.0,1100,1097
6,3,0.2,0.9828217759252242,0.0171782240747758,1100,1081
6,4,0.0,0.0,1.0,1100,1077
7,1,0.8,1.0,0.0,1100,1098
7,3,0.2,0.9820476858345021,0.017952314165497897,1100,1063
7,4,0.0,0.0,1.0,1100,1003
8,0,1.0,1.0,0.0,1100,1096
8,1,0.8,1.0,0.0,1100,1039
8,2,0.5,1.0,0.0,1100,1070
8,4,0.0,0.0,1.0,1100,1069
9,1,0.8,1.0,0.0,1100,1098
8,3,0.2,0.9817088769506268,0.01829112304937324,1100,1098
9,0,1.0,1.0,0.0,1100,1096
9,2,0.5,1.0,0.0,1100,1081
9,3,0.2,0.9806819844870481,0.019318015512951852,1100,1094
9,4,0.0,0.0,1.0,1100,1070
