task_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,0.04375257586376687,0.020100221337002958,0.06740493039053079
1,0.08643002592814034,0.05348425292549693,0.11937579893078373
2,0.06754299050410881,0.040722064775734076,0.09436391623248354
3,0.04596696665158957,0.022311327523877628,0.06962260577930152
4,0.0520298941066789,0.026709727852112113,0.0773500603612457
5,0.08061958991820674,0.0513489647496537,0.10989021508675978
6,0.07143867661429601,0.041635818896765445,0.10124153433182657
7,0.04769766767340374,0.026516461528677936,0.06887887381812954
8,0.08791389028075952,0.05624495319595579,0.11958282736556325
9,0.07237034997721487,0.041882782931515955,0.10285791702291378
10,0.05408946772738017,0.030110353442667666,0.07806858201209269
11,0.041905673392901084,0.02345253122755577,0.0603588155582464
12,0.06467164152143338,0.03977704734691183,0.08956623569595494
13,0.029234326390430866,0.01519073673262856,0.043277916048233174
14,0.055532112112299366,0.029992188204236415,0.08107203602036231
15,0.061383046510913086,0.0363049034497597,0.08646118957206647
16,0.04762783612078051,0.025577244641767336,0.06967842759979369
17,0.07914790583156199,0.048988743865692,0.10930706779743199
18,0.03911552678442087,0.02007297598365742,0.05815807758518433
19,0.08097225118985966,0.04885704601133591,0.11308745636838341
20,0.05873754316263077,0.030500913559620587,0.08697417276564096
21,0.06873026272507748,0.040308221965007586,0.09715230348514739
22,0.0645830560615711,0.03680541215692129,0.0923606999662209
23,0.06357444914858303,0.037434655125086314,0.08971424317207974
24,0.0561706661249766,0.03044394281122005,0.08189738943873315
25,0.044948445351294025,0.020027721687197273,0.06986916901539078
26,0.03481748244278256,0.017639418569567324,0.05199554631599779
27,0.06479306953428247,0.03565484374337923,0.09393129532518571
28,0.053860516825185785,0.027400815533876178,0.0803202181164954
29,0.05964469251525323,0.03392680046300538,0.08536258456750108
30,0.06108366993579306,0.035604778323636496,0.08656256154794963
31,0.07535972818635939,0.046360799559442695,0.10435865681327608
32,0.05043257090596907,0.029798752459329447,0.07106638935260869
33,0.040696259851296726,0.016115454391348382,0.06527706531124507
34,0.0671648448245013,0.04258715790894692,0.09174253174005569
35,0.07455259611384296,0.04203403004496801,0.10707116218271792
36,0.053331801391873476,0.026707277401974663,0.07995632538177229
37,0.03277526584824071,0.014870879234441473,0.050679652462039954
38,0.05385450303617309,0.02933004285398473,0.07837896321836145
39,0.07424841482810719,0.04568597007029951,0.10281085958591488
40,0.0547672329115527,0.029659826695478314,0.07987463912762709
41,0.05156262484778354,0.028644105958361997,0.07448114373720507
42,0.07623190689571765,0.04540952270521538,0.10705429108621993
43,0.08513629646399408,0.055132416620719105,0.11514017630726905
44,0.06937046023305488,0.04134277129246169,0.09739814917364806
45,0.05729757128546353,0.035797866244396064,0.078797276326531
46,0.06143273732693083,0.03404458358237192,0.08882089107148974
47,0.05591989556958594,0.033284316023390784,0.07855547511578109
48,0.09365122549518003,0.06239555792018219,0.12490689307017785
49,0.03939198061390806,0.019269989383337637,0.059513971844478486
