task_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
1,0.5325762555768137,0.3786741996281098,0.6864783115255175
2,0.6310010947033526,0.4741148746069801,0.7878873147997252
3,0.5886369140585835,0.44228372825427087,0.7349900998628962
4,0.6246017358211605,0.44410647286976657,0.8050969987725545
5,0.6399188432323702,0.4808153974128867,0.7990222890518538
6,0.5467229657156881,0.399899524421794,0.6935464070095823
7,0.5740591140014726,0.43133041628042706,0.7167878117225182
8,0.5325762555768137,0.3786741996281098,0.6864783115255175
9,0.6300980701890653,0.4608840937893439,0.7993120465887866
10,0.5344587719597013,0.3800127128966082,0.6889048310227943
11,0.6009534235270027,0.4395662947019337,0.7623405523520717
12,0.6574755113906953,0.48090927363904284,0.8340417491423477
13,0.6574755113906953,0.48090927363904284,0.8340417491423477
14,0.5907175900607226,0.44384708440393916,0.7375880957175059
15,0.6063903131049054,0.4556230879373974,0.7571575382724134
16,0.6009534235270027,0.4395662947019337,0.7623405523520717
17,0.5325762555768137,0.3786741996281098,0.6864783115255175
18,0.6310010947033526,0.4741148746069801,0.7878873147997252
19,0.5858498046296045,0.4401895796885579,0.731510029570651
20,0.5300545851410706,0.3768812328482697,0.6832279374338716
21,0.6574755113906953,0.48090927363904284,0.8340417491423477
22,0.6063903131049054,0.4556230879373974,0.7571575382724134
23,0.661048765879703,0.5096542193849514,0.8124433123744546
24,0.5467229657156881,0.399899524421794,0.6935464070095823
25,0.5300545851410706,0.3768812328482697,0.6832279374338716
26,0.5193868174299037,0.3692961999866946,0.6694774348731127
27,0.5985931666796119,0.42561377065103656,0.7715725627081873
28,0.6137474143738714,0.47318590627120327,0.7543089224765395
29,0.5579521948853375,0.4081131237877687,0.7077912659829064
30,0.6063903131049054,0.4556230879373974,0.7571575382724134
