task_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
1,0.18596593834937128,0.1282984740004775,0.24363340269826506
2,0.18293948370469165,0.126210513613804,0.2396684537955793
3,0.19809402285283642,0.13666567687727613,0.2595223688283967
4,0.20326609300521295,0.14867861608383925,0.25785356992658665
5,0.19460377517353017,0.13836784504903,0.25083970529803035
6,0.219116269079929,0.15579680271226876,0.28243573544758926
7,0.19460377517353017,0.13836784504903,0.25083970529803035
8,0.1843614712170286,0.12719154718102543,0.24153139525303174
9,0.20662882038819033,0.1511382769459954,0.26211936383038525
10,0.20326609300521295,0.14867861608383925,0.25785356992658665
11,0.20484607913003175,0.14983429407713697,0.25985786418292656
12,0.20326609300521295,0.14867861608383925,0.25785356992658665
13,0.1920567139921808,0.13655682485398457,0.24755660313037703
14,0.2306487042946621,0.1687075775849225,0.2925898310044017
15,0.20909924634466068,0.14867446477997387,0.2695240279093475
16,0.2022601162790948,0.14381168301565025,0.2607085495425393
17,0.1962973793687808,0.13957203732461082,0.2530227214129508
18,0.1776996534687431,0.12259553858525449,0.23280376835223174
19,0.1964804705426966,0.135552482165662,0.2574084589197312
20,0.21924222698114187,0.1558863617320883,0.28259809223019544
21,0.2021649620970324,0.14787319587265224,0.2564567283214126
22,0.20662882038819028,0.15113827694599535,0.2621193638303852
23,0.2022601162790948,0.14381168301565025,0.2607085495425393
24,0.2129053855569419,0.15572925918633435,0.2700815119275495
25,0.20326609300521295,0.14867861608383925,0.25785356992658665
26,0.1843614712170286,0.12719154718102543,0.24153139525303174
27,0.2307812915590967,0.16880455829968427,0.29275802481850915
28,0.2201044698364849,0.16099501636171293,0.2792139233112569
29,0.18596593834937128,0.1282984740004775,0.24363340269826506
30,0.23110969332830913,0.17364873720911903,0.2885706494474992
