task_number,average_return,average_return_lo,average_return_up
1,0.5197631255184904,0.35858618216665705,0.6809400688703237
2,0.5325762555768137,0.3786741996281098,0.6864783115255175
3,0.5775145839094338,0.42242199785719703,0.7326071699616705
4,0.6616029736985186,0.4971081881595534,0.8260977592374839
5,0.5917279602516258,0.408234943439337,0.7752209770639146
6,0.5300545851410706,0.3768812328482697,0.6832279374338716
7,0.5300545851410706,0.3768812328482697,0.6832279374338716
8,0.5486388547139621,0.3900950840714449,0.7071826253564794
9,0.6399188432323702,0.4808153974128867,0.7990222890518538
10,0.5193868174299037,0.3692961999866946,0.6694774348731127
11,0.5045459263359288,0.3480877895523271,0.6610040631195304
12,0.6300980701890653,0.4608840937893439,0.7993120465887866
13,0.5985931666796119,0.42561377065103656,0.7715725627081873
14,0.5467229657156881,0.399899524421794,0.6935464070095823
15,0.5625881810102121,0.4115041074537584,0.7136722545666658
16,0.5325762555768137,0.3786741996281098,0.6864783115255175
17,0.5775145839094338,0.42242199785719703,0.7326071699616705
18,0.5606065848176986,0.4100546725028325,0.7111584971325648
19,0.5557848721500135,0.40652783949302523,0.7050419048070018
20,0.5279956285425128,0.37541726645122586,0.6805739906337998
21,0.6931078772079718,0.5343710968704433,0.8518446575455004
22,0.5344587719597013,0.3800127128966082,0.6889048310227943
23,0.5325762555768137,0.3786741996281098,0.6864783115255175
24,0.5858498046296045,0.4401895796885579,0.731510029570651
25,0.5557848721500135,0.40652783949302523,0.7050419048070018
26,0.5858498046296045,0.4401895796885579,0.731510029570651
27,0.6094465173641621,0.4457785528277721,0.7731144819005521
28,0.5279956285425128,0.37541726645122586,0.6805739906337998
29,0.5835741157575142,0.43847969684795396,0.7286685346670744
30,0.5344587719597013,0.3800127128966082,0.6889048310227943
