task_number,average_return,average_return_lo,average_return_up
1,0.5197631255184904,0.35858618216665705,0.6809400688703237
2,0.5045459263359288,0.3480877895523271,0.6610040631195304
3,0.5486388547139621,0.3900950840714449,0.7071826253564794
4,0.6300980701890653,0.4608840937893439,0.7993120465887866
5,0.5917279602516258,0.408234943439337,0.7752209770639146
6,0.5579521948853375,0.4081131237877687,0.7077912659829064
7,0.5579521948853375,0.4081131237877687,0.7077912659829064
8,0.5486388547139621,0.3900950840714449,0.7071826253564794
9,0.578974191495954,0.4116642194883601,0.7462841635035479
10,0.5193868174299037,0.3692961999866946,0.6694774348731127
11,0.5606065848176986,0.4100546725028325,0.7111584971325648
12,0.5985931666796119,0.42561377065103656,0.7715725627081873
13,0.6300980701890653,0.4608840937893439,0.7993120465887866
14,0.49205066914411927,0.3394672731062407,0.6446340651819978
15,0.5625881810102121,0.4115041074537584,0.7136722545666658
16,0.5606065848176986,0.4100546725028325,0.7111584971325648
17,0.5197631255184904,0.35858618216665705,0.6809400688703237
18,0.5606065848176986,0.4100546725028325,0.7111584971325648
19,0.5557848721500135,0.40652783949302523,0.7050419048070018
20,0.5279956285425128,0.37541726645122586,0.6805739906337998
21,0.5670882631701587,0.3912359404851116,0.7429405858552058
22,0.5625881810102119,0.4115041074537582,0.7136722545666656
23,0.5325762555768137,0.3786741996281098,0.6864783115255175
24,0.5300545851410706,0.3768812328482697,0.6832279374338716
25,0.5002063849350121,0.3450939265656897,0.6553188433043345
26,0.5579521948853375,0.4081131237877687,0.7077912659829064
27,0.6094465173641621,0.4457785528277721,0.7731144819005521
28,0.5002063849350121,0.3450939265656897,0.6553188433043345
29,0.5002063849350121,0.3450939265656897,0.6553188433043345
30,0.5063293629091907,0.34931818794063996,0.6633405378777415
