task_number,average_return,average_return_lo,average_return_up
0,0.6396658698873552,0.5421391881300643,0.737192551644646
1,0.652804068015845,0.5532742703693679,0.7523338656623221
2,0.6888709368017671,0.60256027619103,0.7751815974125043
3,0.7561176842268782,0.6475837290424735,0.8646516394112829
4,0.6502683004155158,0.5511251186749511,0.7494114821560804
5,0.6413505263516417,0.5378838472289271,0.7448172054743563
6,0.7088611080728672,0.6200458202584614,0.7976763958872729
7,0.6724692478302966,0.5820193699078583,0.7629191257527349
8,0.6895460993257696,0.5967993146852193,0.7822928839663199
9,0.6850869028207829,0.5745643978365615,0.7956094078050042
10,0.669542633862405,0.5734357556163646,0.7656495121084453
11,0.7561176842268782,0.6475837290424735,0.8646516394112829
12,0.7372147421212061,0.6248152677607882,0.8496142164816239
13,0.703115505526593,0.5959149726012013,0.8103160384519846
14,0.7679026118788442,0.6716898408426841,0.8641153829150043
15,0.669542633862405,0.5734357556163646,0.7656495121084453
16,0.6724692478302966,0.5820193699078583,0.7629191257527349
17,0.669542633862405,0.5734357556163646,0.7656495121084453
18,0.7103429382086035,0.6147988932558617,0.8058869831613453
19,0.6930175006913205,0.5935410145158286,0.7924939868668124
20,0.7372147421212061,0.6248152677607882,0.8496142164816239
21,0.7313358208369946,0.6263590812906473,0.8363125603833418
22,0.7030197655555253,0.6149363566818483,0.7911031744292022
23,0.7088611080728672,0.6200458202584614,0.7976763958872729
24,0.7103429382086035,0.6147988932558617,0.8058869831613453
25,0.6751058172122544,0.578200393574444,0.7720112408500648
26,0.6727279017812385,0.576163806711991,0.7692919968504861
27,0.6756920631740375,0.5726726464546396,0.7787114798934355
28,0.7103429382086035,0.6147988932558617,0.8058869831613453
29,0.7496192163579194,0.6487923505545357,0.8504460821613031
30,0.7572013136440232,0.6623293396580742,0.8520732876299723
31,0.6232641809158845,0.5227153041848656,0.7238130576469035
32,0.7130524253160696,0.6043368595280888,0.8217679911040504
33,0.656067558858826,0.5618949075420768,0.7502402101755751
34,0.6919834626425608,0.5989088426174666,0.7850580826676551
35,0.6583666256567545,0.5521548029434707,0.7645784483700383
36,0.6727279017812386,0.5761638067119911,0.7692919968504862
37,0.7130524253160696,0.6043368595280888,0.8217679911040504
38,0.6502683004155158,0.5511251186749511,0.7494114821560804
39,0.6232641809158845,0.5227153041848656,0.7238130576469035
40,0.7183118000155342,0.6024292467648993,0.8341943532661691
41,0.669542633862405,0.5734357556163646,0.7656495121084453
42,0.656067558858826,0.5618949075420768,0.7502402101755751
43,0.7130524253160696,0.6043368595280888,0.8217679911040504
44,0.8086948790105549,0.699922093758277,0.9174676642628329
45,0.6396658698873552,0.5421391881300643,0.737192551644646
46,0.656067558858826,0.5618949075420768,0.7502402101755751
47,0.6919834626425607,0.5989088426174665,0.785058082667655
48,0.7063642968703006,0.6178618418563527,0.7948667518842484
49,0.7889706136688343,0.6757209132425026,0.9022203140951659
