instance,task,episode,return,discounted_return
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,6.170365191715193e-06,0.1
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,2.1847450052839257e-05,0.1
1,1,8,0.0,0.0
1,1,9,0.028242953648100012,0.1
1,1,10,0.0004638397686588108,0.1
1,1,11,3.329896365316149e-05,0.1
1,1,12,0.0,0.0
1,1,13,0.0,0.0
1,1,14,0.0,0.0
1,1,15,1.161063070353095e-05,0.1
1,1,16,0.0,0.0
1,1,17,0.0,0.0
1,1,18,0.0,0.0
1,1,19,0.0,0.0
1,1,20,0.0,0.0
1,1,21,0.0,0.0
1,1,22,0.0011972515182562034,0.1
1,1,23,0.0,0.0
1,1,24,0.0,0.0
1,1,25,0.0016423203268260676,0.1
1,1,26,0.0,0.0
1,1,27,0.0,0.0
1,1,28,0.0,0.0
1,1,29,0.0,0.0
1,1,30,0.00014555783429306916,0.1
1,1,31,0.008862938119652507,0.1
1,1,32,0.0,0.0
1,1,33,0.0,0.0
1,1,34,0.0,0.0
1,1,35,0.004239115827521624,0.1
1,1,36,0.0,0.0
1,1,37,0.00717897987691853,0.1
1,1,38,0.0,0.0
1,1,39,0.0004174557917929298,0.1
1,1,40,0.015009463529699918,0.1
1,1,41,0.003433683820292515,0.1
1,1,42,0.03486784401000001,0.1
1,1,43,0.02287679245496101,0.1
1,1,44,0.02287679245496101,0.1
1,1,45,0.0011972515182562034,0.1
1,1,46,0.02287679245496101,0.1
1,1,47,0.015009463529699918,0.1
1,1,48,0.001478088294143461,0.1
1,1,49,0.04304672100000001,0.1
1,1,50,0.007976644307687256,0.1
1,1,51,0.04304672100000001,0.1
1,1,52,0.018530201888518418,0.1
1,1,53,0.04304672100000001,0.1
1,1,54,0.04304672100000001,0.1
1,1,55,0.02058911320946491,0.1
1,1,56,0.03486784401000001,0.1
1,1,57,0.03486784401000001,0.1
1,1,58,0.04304672100000001,0.1
1,1,59,0.03486784401000001,0.1
1,1,60,0.031381059609000006,0.1
1,2,1,0.0,0.0
1,2,2,0.00984770902183612,0.1
1,2,3,0.0,0.0
1,2,4,0.0,0.0
1,2,5,0.0,0.0
1,2,6,0.0,0.0
1,2,7,0.0001797010299914434,0.1
1,2,8,0.0,0.0
1,2,9,0.0,0.0
1,2,10,0.00984770902183612,0.1
1,2,11,1.2900700781701055e-05,0.1
1,2,12,0.0009697737297875247,0.1
1,2,13,0.05314410000000001,0.1
1,2,14,0.0,0.0
1,2,15,0.0,0.0
1,2,16,0.00523347633027361,0.1
1,2,17,0.008862938119652507,0.1
1,2,18,0.0007855167211278951,0.1
1,2,19,0.0,0.0
1,2,20,0.0002218531234462264,0.1
1,2,21,0.0,0.0
1,2,22,0.0,0.0
1,2,23,0.006461081889226678,0.1
1,2,24,0.0,0.0
1,2,25,0.0,0.0
1,2,26,0.0003381391913522731,0.1
1,2,27,0.03874204890000001,0.1
1,2,28,0.0,0.0
1,2,29,0.0,0.0
1,2,30,0.0,0.0
1,2,31,0.0,0.0
1,2,32,0.0,0.0
1,2,33,0.0,0.0
1,2,34,4.048376602284338e-06,0.1
1,2,35,9.550049507968268e-05,0.1
1,2,36,0.0,0.0
1,2,37,0.012157665459056936,0.1
1,2,38,0.0,0.0
1,2,39,0.016677181699666577,0.1
1,2,40,0.02058911320946491,0.1
1,2,41,0.00717897987691853,0.1
1,2,42,0.0013302794647291147,0.1
1,2,43,0.02287679245496101,0.1
1,2,44,0.0,0.0
1,2,45,0.04304672100000001,0.1
1,2,46,0.0,0.0
1,2,47,0.0005726416897022355,0.1
1,2,48,0.03486784401000001,0.1
1,2,49,0.031381059609000006,0.1
1,2,50,0.05314410000000001,0.1
1,2,51,0.05314410000000001,0.1
1,2,52,0.000515377520732012,0.1
1,2,53,8.595044557171441e-05,0.1
1,2,54,0.05314410000000001,0.1
1,2,55,0.0002738927449953412,0.1
1,2,56,0.04304672100000001,0.1
1,2,57,0.05314410000000001,0.1
1,2,58,0.04782969000000001,0.1
1,2,59,0.05314410000000001,0.1
1,2,60,0.05314410000000001,0.1
1,3,1,0.0,0.0
1,3,2,0.0,0.0
1,3,3,0.0,0.0
1,3,4,0.0,0.0
1,3,5,0.003433683820292515,0.1
1,3,6,0.0,0.0
1,3,7,0.0,0.0
1,3,8,0.001478088294143461,0.1
1,3,9,0.0,0.0
1,3,10,4.110983167056974e-05,0.1
1,3,11,0.0,0.0
1,3,12,0.0,0.0
1,3,13,1.161063070353095e-05,0.1
1,3,14,0.0,0.0
1,3,15,0.0,0.0
1,3,16,0.0,0.0
1,3,17,6.961986091308867e-05,0.1
1,3,18,0.0,0.0
1,3,19,0.0,0.0
1,3,20,0.0,0.0
1,3,21,0.0,0.0
1,3,22,0.0,0.0
1,3,23,0.0,0.0
1,3,24,0.0,0.0
1,3,25,0.0,0.0
1,3,26,0.0003757102126136368,0.1
1,3,27,0.0,0.0
1,3,28,0.0,0.0
1,3,29,0.0,0.0
1,3,30,0.0,0.0
1,3,31,3.6998848503512766e-05,0.1
1,3,32,0.0,0.0
1,3,33,0.0,0.0
1,3,34,0.00717897987691853,0.1
1,3,35,0.0,0.0
1,3,36,0.012157665459056936,0.1
1,3,37,5.0752878605641656e-05,0.1
1,3,38,2.1847450052839257e-05,0.1
1,3,39,0.00010611166119964742,0.1
1,3,40,0.03486784401000001,0.1
1,3,41,0.013508517176729929,0.1
1,3,42,0.00523347633027361,0.1
1,3,43,0.04304672100000001,0.1
1,3,44,0.04304672100000001,0.1
1,3,45,0.04304672100000001,0.1
1,3,46,0.04304672100000001,0.1
1,3,47,0.04304672100000001,0.1
1,3,48,0.04304672100000001,0.1
1,3,49,0.04304672100000001,0.1
1,3,50,0.04304672100000001,0.1
1,3,51,0.04304672100000001,0.1
1,3,52,0.04304672100000001,0.1
1,3,53,0.04304672100000001,0.1
1,3,54,0.04304672100000001,0.1
1,3,55,0.04304672100000001,0.1
1,3,56,0.04304672100000001,0.1
1,3,57,0.04304672100000001,0.1
1,3,58,0.04304672100000001,0.1
1,3,59,0.04304672100000001,0.1
1,3,60,0.04304672100000001,0.1
1,4,1,0.0004638397686588108,0.1
1,4,2,0.0,0.0
1,4,3,0.0,0.0
1,4,4,0.0,0.0
1,4,5,0.0,0.0
1,4,6,0.0,0.0
1,4,7,0.0,0.0
1,4,8,0.0,0.0
1,4,9,7.617734804586657e-06,0.1
1,4,10,0.0,0.0
