episode_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,0.00019491893638279932,-0.00019524427253343797,0.0005850821452990366
1,5.128959820777848e-07,-4.4870722987961715e-07,1.4744991940351867e-06
2,5.45562241365882e-05,-4.462970075273214e-05,0.00015374214902590854
3,7.715806419348564e-09,-6.539817548258282e-09,2.197143038695541e-08
4,6.580051855829212e-05,-4.526691197534494e-05,0.00017686794909192917
5,5.588327334678533e-18,-5.555840415200286e-18,1.673249508455735e-17
6,2.056929409855431e-06,-2.149665252708438e-06,6.2635240724193e-06
7,7.06392679330042e-08,-7.38011327105414e-08,2.1507966857654981e-07
8,1.6156416782103008e-08,-1.6887165723736347e-08,4.9199999287942366e-08
9,5.990037035762307e-05,-6.260958548972106e-05,0.00018241032620496718
10,0.0005783140712467601,-0.0005400031490799711,0.0016966312915734914
11,1.3495998800451464e-06,-1.4103434665708456e-06,4.109543226661138e-06
12,4.6440066404977787e-08,-4.8320906837866776e-08,1.4120103964782234e-07
13,0.00010659620112392861,-8.044162627418534e-05,0.00029363402852204256
14,0.0003592950574124611,-0.00037529283658849905,0.0010938829514134212
15,2.320662030477462e-05,-2.4256247435397983e-05,7.066948804494723e-05
16,2.8214067778884284e-06,-2.948968240904875e-06,8.591781796681732e-06
17,6.082636510497217e-07,-5.791934649041132e-07,1.7957207670035568e-06
18,1.2978736816137861e-05,-4.678478919589812e-06,3.063595255186553e-05
19,5.3043007638658435e-06,-4.489218494074102e-06,1.509782002180579e-05
20,0.0001252386082639495,-0.00013089914772472665,0.0003813763642526257
21,6.422027663301492e-06,-5.652873558892916e-06,1.84969288854959e-05
22,5.585302876080958e-06,-1.355066064572688e-06,1.2525671816734604e-05
23,1.6664633139528954e-06,-1.7408537597773855e-06,5.073780387683176e-06
24,9.703143561308084e-08,-1.0109434081445832e-07,2.9515721204062e-07
25,8.953277519008468e-06,-5.977466814123807e-06,2.388402185214074e-05
26,0.00016921570558105147,-0.00011535318425369935,0.0004537845954158023
27,0.0005965341014093893,-0.0001783059035178052,0.0013713741063365837
28,2.555437797392437e-06,-2.1097667147189165e-06,7.220642309503791e-06
29,0.0035876664948142852,-0.0014370894273489803,0.008612422416977551
30,0.0009326463145713831,-0.0009630988355770174,0.002828391464719784
31,0.0007238151886776116,-0.00041074809891739105,0.0018583784762726142
32,0.006296289227182003,-0.0016425836827809208,0.014235162137144926
33,0.007509357812027314,-0.00650104504416688,0.021519760668221508
34,0.0013016807590860633,-0.0010318381036135678,0.0036351996217856945
35,0.012623784891678284,0.0008123488834042361,0.024435220899952332
36,0.00931787784658788,-0.0062395139008709615,0.02487526959404672
37,0.006926051055806701,-0.00048310546761908425,0.014335207579232487
38,0.007778402161904213,0.0023092304009621504,0.013247573922846277
39,0.03088929785643736,0.014053839961865936,0.04772475575100879
40,0.019316440701056058,0.006717369807929903,0.03191551159418221
41,0.023482432700944376,0.00729152801970559,0.03967333738218316
42,0.03073399828177524,0.013511291623140107,0.04795670494041038
43,0.03809563919463818,0.019677045448654312,0.05651423294062205
44,0.031435725714142444,0.017100576104289594,0.04577087532399529
45,0.045431739567802755,0.025448246813643154,0.06541523232196236
46,0.04433773706402962,0.02132142620008738,0.06735404792797185
47,0.02964633996301984,0.014816404950797031,0.044476274975242654
48,0.04976771526815516,0.026225186546025004,0.07331024399028532
49,0.049247586631039265,0.027177969550374975,0.07131720371170355
50,0.05634042452925672,0.03094673258102842,0.08173411647748502
51,0.06051525281085672,0.03738240177727582,0.08364810384443762
52,0.08231673034697864,0.055582788513906314,0.10905067218005098
53,0.07079550153069257,0.04339762781242774,0.09819337524895741
54,0.05875336066411029,0.03783992632946971,0.07966679499875087
55,0.0758598755003757,0.049513025771017086,0.10220672522973433
56,0.08498954340442573,0.0562327669825318,0.11374631982631966
57,0.07114533863238119,0.049725406416501305,0.09256527084826108
58,0.06915346406270165,0.045019357672702195,0.0932875704527011
59,0.08534241680076461,0.05573982971930676,0.11494500388222247
60,0.1026895201415098,0.07111261352044218,0.1342664267625774
61,0.09250988374820675,0.0626788581251401,0.1223409093712734
62,0.09335501775274355,0.06685872213478683,0.11985131337070026
63,0.06462078025761558,0.04164153405681843,0.08760002645841274
64,0.1131369900470056,0.08616157320018084,0.14011240689383037
65,0.10049591088532688,0.07575026173886477,0.125241560031789
66,0.10095448839732507,0.07096270562494232,0.1309462711697078
67,0.09664619946462885,0.0647408453267003,0.1285515536025574
68,0.09448046126545735,0.07113747891256686,0.11782344361834785
69,0.09517988774352422,0.06465998104814445,0.125699794438904
70,0.09820495651873756,0.06818633210172184,0.12822358093575328
71,0.09622983353774336,0.06988757982454485,0.12257208725094187
72,0.11376134755213721,0.08724334383873611,0.1402793512655383
73,0.0971017805692138,0.07357662010661453,0.12062694103181307
74,0.11651653207358918,0.08986107771462623,0.14317198643255213
