task_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,1.0347472839987697e-07,-7.797377342389297e-08,2.8492323022364693e-07
1,0.004067075335045302,-0.0034484793725956557,0.01158263004268626
2,3.1726479700753744e-12,-3.366681517289276e-12,9.711977457440025e-12
3,8.756020127493662e-15,-9.150004397556174e-15,2.6662044652543495e-14
4,0.008879899260380667,-0.008549737779482832,0.026309536300244164
5,0.013382023972635404,-0.0032550996132854077,0.030019147558556218
6,9.96290588194729e-12,-1.0889492495105689e-11,3.0815304259000266e-11
7,3.02568678789407e-21,-3.3071484402724615e-21,9.358522016060602e-21
8,7.965841925811897e-06,-8.701467756575335e-06,2.463315160819913e-05
9,3.135671209749184e-05,-3.421247195966036e-05,9.692589615464405e-05
10,0.019498000918074423,-0.021032847902363296,0.06002884973851214
11,0.014407823469345327,-0.015123287793451911,0.04393893473214257
12,0.008953804034615844,-0.005135101705784182,0.023042709775015872
13,0.0002569646942202194,-0.00018221343777872047,0.0006961428262191592
14,7.374708013794818e-05,-7.848774188248334e-05,0.0002259819021583797
15,6.637688011359735e-11,-7.255152661587059e-11,2.053052868430653e-10
16,6.574982524767969e-07,-5.430829107343624e-07,1.8580794156879564e-06
17,4.799635851735042e-05,-5.192027077747162e-05,0.00014791298781217246
18,2.386650421885984e-09,-2.6084569041353676e-09,7.381757747907335e-09
19,7.107928142335895e-07,-7.65930149555702e-07,2.187515778022881e-06
