task_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,0.14697102720870325,0.11008091216355113,0.18386114225385536
1,0.07642891404302393,0.05804747080839118,0.09481035727765669
2,0.06504480899907977,0.047178225483690994,0.08291139251446855
3,0.18618228588760333,0.14315574304894693,0.22920882872625972
4,0.07864980287277029,0.06050902209537916,0.09679058365016142
5,0.08035657749496183,0.061606733037319325,0.09910642195260434
6,0.1554692900574987,0.11704510503020912,0.1938934750847883
7,0.07930636562452187,0.06077529770208159,0.09783743354696214
8,0.15811889165104187,0.1212644401011578,0.19497334320092594
9,0.07597083695543455,0.05770058225864418,0.09424109165222491
10,0.08516085817383759,0.06664522414893426,0.10367649219874092
11,0.07242104488551075,0.054918799768222754,0.08992329000279875
12,0.06864093644072176,0.05087812227380953,0.086403750607634
13,0.06328986160012322,0.04707115416775932,0.07950856903248713
14,0.07789517526564133,0.060316493661572795,0.09547385686970986
15,0.15885544824017456,0.1186030693977874,0.1991078270825617
16,0.06646285323022547,0.04872928912729335,0.08419641733315758
17,0.18418585111792524,0.1426845518081934,0.22568715042765708
18,0.14618896317419122,0.1088664372676568,0.18351148908072565
19,0.06840200144621561,0.0506518269442664,0.08615217594816482
