instance,task,episode,return,discounted_return
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,8,0.0,0.0
1,1,9,0.0,0.0
1,1,10,0.0,0.0
1,1,11,0.0,0.0
1,1,12,0.0,0.0
1,1,13,0.0,0.0
1,1,14,0.0,0.0
1,1,15,0.0,0.0
1,1,16,0.0,0.0
1,1,17,0.0,0.0
1,1,18,0.0,0.0
1,1,19,0.0,0.0
1,1,20,0.0,0.0
1,1,21,0.0,0.0
1,1,22,0.0,0.0
1,1,23,0.0,0.0
1,1,24,0.0,0.0
1,1,25,0.0,0.0
1,1,26,0.0,0.0
1,1,27,0.0,0.0
1,1,28,0.3965004833353796,1.8901618629129603e-05
1,1,29,0.0,0.0
1,1,30,0.0,0.0
1,1,31,0.0,0.0
1,1,32,0.1487657132430659,9.77028881763955e-06
1,1,33,0.0,0.0
1,1,34,0.0,0.0
1,1,35,0.3061882356161791,0.009537215328258221
1,1,36,0.0,0.0
1,1,37,0.2821283073539845,0.0037367323869718864
1,1,38,0.7904662116044234,0.00014399747118959115
1,1,39,0.22367484183011907,2.9377981065897002e-05
1,1,40,0.9694139071733958,0.0019006269707000254
1,1,41,0.0,0.0
1,1,42,0.05591871045752977,1.357423593044513e-05
1,1,43,0.0,0.0
1,1,44,0.09590802981739197,0.006885218160939593
1,1,45,0.28772408945217587,0.017481568910625626
1,1,46,2.354748383015949,0.025303411421926485
1,1,47,1.0145707206387968,0.0024757068225797784
1,1,48,0.9190909788140577,4.151063107257476e-05
1,1,49,7.536218764248573,0.11495445503484235
1,1,50,7.5731470565765795,0.15479943035269153
1,1,51,7.709570677719353,0.1569640599177015
1,1,52,7.805478707536745,0.13801334277494776
1,1,53,7.728034823883356,0.15291972458701253
1,1,54,7.536218764248573,0.14602081683965124
1,1,55,7.882922591190133,0.15990340326406344
1,1,56,7.307474412285782,0.11970919177290279
1,1,57,7.728034823883356,0.15727978372861492
1,1,58,7.325938558449786,0.1547081811668825
1,1,59,7.362866850777793,0.12693468040280342
1,1,60,7.728034823883356,0.14802864701886967
1,1,61,7.189514937307012,0.15286433314990738
1,1,62,6.86486255552683,0.09992932208428404
1,1,63,7.440310734431181,0.12802916834668354
1,1,64,6.997698877672229,0.09028834362289445
1,1,65,7.344402704613789,0.09878781436801759
1,1,66,7.230030528632394,0.11261366953691473
1,1,67,7.613662647901961,0.1548825353996714
1,1,68,7.595198501737958,0.12251834812111824
1,1,69,7.805478707536745,0.15764071623160344
1,1,70,7.517754618084569,0.1565501811838855
1,1,71,7.554682910412576,0.1568553176192177
1,1,72,7.613662647901961,0.14696978619531054
1,1,73,7.882922591190133,0.15987222949932456
1,1,74,6.713562087217428,0.07586419224009458
1,1,75,7.517754618084569,0.11552054218313464
1,1,76,7.787014561372741,0.143839354582056
1,1,77,7.9603664748435214,0.15989589416724967
1,1,78,7.595198501737958,0.12949330663318506
1,1,79,7.458774880595184,0.15674726291764213
1,1,80,7.307474412285782,0.08318099498880908
1,1,81,7.517754618084569,0.14971309571505625
1,1,82,7.381330996941796,0.15901868908120084
1,1,83,7.440310734431181,0.14260159268952408
1,1,84,7.823942853700748,0.15193241809475663
1,1,85,7.499290471920566,0.1595539800361394
1,1,86,7.307474412285782,0.09926745539315834
1,1,87,7.211566382468391,0.08299793140553947
1,1,88,7.536218764248573,0.141877682880411
1,1,89,7.709570677719353,0.1577555074347101
1,1,90,7.325938558449786,0.1281189090497808
1,1,91,7.9603664748435214,0.14826445949566897
1,1,92,7.6911065315553495,0.15288042868340934
1,1,93,7.613662647901961,0.15530202655714112
1,1,94,7.787014561372741,0.15821525413490695
1,1,95,7.709570677719353,0.15951360678774526
1,1,96,7.307474412285782,0.14857633487707786
1,1,97,7.823942853700748,0.15624066540131393
1,1,98,7.381330996941795,0.14456101114955125
1,1,99,7.499290471920566,0.11670924275489626
1,1,100,7.421846588267178,0.15891232188936796
1,2,1,0.0,0.0
1,2,2,0.0,0.0
1,2,3,0.0,0.0
1,2,4,0.0,0.0
1,2,5,0.0,0.0
1,2,6,0.0,0.0
1,2,7,0.0,0.0
1,2,8,0.0,0.0
1,2,9,0.0,0.0
1,2,10,0.0,0.0
1,2,11,0.0,0.0
1,2,12,0.0,0.0
1,2,13,0.0,0.0
1,2,14,0.0,0.0
1,2,15,0.0,0.0
1,2,16,0.0,0.0
1,2,17,0.0,0.0
1,2,18,0.4786461493711619,9.658019388388399e-05
1,2,19,0.0,0.0
1,2,20,0.0,0.0
1,2,21,0.0,0.0
1,2,22,0.0,0.0
1,2,23,0.0,0.0
1,2,24,0.0,0.0
1,2,25,0.0,0.0
1,2,26,0.0,0.0
1,2,27,0.0,0.0
1,2,28,0.0,0.0
1,2,29,0.0,0.0
1,2,30,0.0,0.0
1,2,31,0.0,0.0
1,2,32,0.0,0.0
1,2,33,0.0,0.0
1,2,34,0.0,0.0
1,2,35,0.0,0.0
1,2,36,0.0,0.0
1,2,37,0.0,0.0
1,2,38,0.3792383355749358,0.0010985467374985288
1,2,39,0.9212790915877905,0.0005371435710866094
1,2,40,0.2632314765334361,0.0018256233433988347
1,2,41,0.2193492050181181,1.343974456057912e-05
1,2,42,0.3738340925040786,0.00015998178742741544
1,2,43,0.29192226113547354,0.0005808091253190585
1,2,44,0.18621326708604274,0.00035321755665291047
1,2,45,0.8228303675323838,0.023162132878852156
1,2,46,0.0,0.0
1,2,47,1.6349144014815247,0.0024004870494997877
1,2,48,7.399306321414001,0.10469685253169736
1,2,49,7.541637316984726,0.12574794532764105
1,2,50,7.82095721761379,0.1552533671222303
1,2,51,7.33399353529067,0.11934249580330147
1,2,52,7.82095721761379,0.1552533671222303
1,2,53,7.399306321414002,0.12571885343902478
1,2,54,7.82095721761379,0.1552533671222303
1,2,55,7.656685086285407,0.15315040248259523
1,2,56,7.6347439505277475,0.1526386944481555
1,2,57,7.749791719828428,0.15517785223032926
1,2,58,7.656685086285406,0.13821317864540061
1,2,59,7.82095721761379,0.1552533671222303
1,2,60,7.6347439505277475,0.15499713624677752
1,2,61,7.727850584070769,0.15524363788158727
1,2,62,7.749791719828428,0.15517785223032926
1,2,63,7.82095721761379,0.1552533671222303
1,2,64,7.749791719828427,0.14563996362998927
1,2,65,7.727850584070769,0.15524698376744442
1,2,66,7.82095721761379,0.1552533671222303
1,2,67,7.82095721761379,0.1552533671222303
