instance,task,episode,return,discounted_return
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,8,0.0,0.0
1,1,9,0.0,0.0
1,1,10,0.0,0.0
1,1,11,0.0,0.0
1,1,12,0.0,0.0
1,1,13,0.7924746947052388,0.0028444171459215324
1,1,14,0.9099078977184899,0.00024344462810073375
1,1,15,1.5110928047544654,0.07221323182927698
1,1,16,1.3555807815092993,0.017593690195082775
1,1,17,2.162600640149779,0.09751310161363086
1,1,18,7.282888212058068,0.13825736607890043
1,1,19,7.706509650687497,0.24977601318751175
1,1,20,8.245029537263843,0.23526520484962915
1,1,21,8.22656539109984,0.2604562865663677
1,1,22,8.071677623793061,0.2599297167315874
1,1,23,7.761902089179507,0.2342342520870022
1,1,24,8.263493683427846,0.2430052299659073
1,1,25,7.861397417994274,0.18967628932189134
1,1,26,7.780366235343511,0.252432155927301
1,1,27,7.879861564158278,0.25286438035304815
1,1,28,8.130657361282447,0.2606654330993139
1,1,29,8.071677623793061,0.21525009923226537
1,1,30,7.842933271830271,0.21491937341603534
1,1,31,7.743437943015504,0.2477108302348953
1,1,32,8.514289480552018,0.26652512069613743
1,1,33,8.263493683427846,0.23590683754976977
1,1,34,7.743437943015504,0.2106056678334897
1,1,35,7.954244420779811,0.25998435487253996
1,1,36,7.95424442077981,0.2660144203040812
1,1,37,7.898325710322281,0.2583603240245379
1,1,38,7.839345972832896,0.23606889187633828
1,1,39,8.127596334250592,0.19324312107185102
1,1,40,8.012697886303677,0.26113149094499
1,1,41,8.00963685927182,0.2574465931827424
1,1,42,7.592137474706102,0.22730951916030268
1,1,43,8.204513945938462,0.26609439290152176
1,1,44,7.938841301647662,0.1904230427632377
1,1,45,7.263897793928545,0.24134636850201974
1,1,46,8.28195782959185,0.2612300840167055
1,1,47,8.359401713245239,0.25341876164309124
1,1,48,7.359805823745937,0.14153474026036592
1,1,49,7.6106016208701055,0.20595672963746112
1,1,50,7.820881826668892,0.22941711931365805
1,2,1,3.8080593319124496,0.21942959760891642
1,2,2,2.119288957397772,0.13150052238003673
1,2,3,0.0,0.0
1,2,4,0.0,0.0
1,2,5,0.0,0.0
1,2,6,0.0,0.0
1,2,7,0.0,0.0
1,2,8,0.0,0.0
1,2,9,0.0,0.0
1,2,10,0.0,0.0
1,2,11,0.0,0.0
1,2,12,0.0,0.0
1,2,13,0.0,0.0
1,2,14,0.0,0.0
1,2,15,0.0,0.0
1,2,16,0.0,0.0
1,2,17,0.0,0.0
1,2,18,7.947199789088886,0.18931823257607178
1,2,19,8.24846082547561,0.25323754604823145
1,2,20,8.155354191932588,0.25323449290942573
1,2,21,8.177295327690247,0.2529969076094982
1,2,22,8.24846082547561,0.25323754604823145
1,2,23,8.062247558389567,0.2531366173440446
1,2,24,8.155354191932588,0.2279115657052189
1,2,25,8.177295327690247,0.2532262116680721
1,2,26,8.177295327690247,0.24545068921951615
1,2,27,8.177295327690247,0.25321621841231445
1,2,28,8.062247558389567,0.24683317117644585
1,2,29,8.155354191932588,0.2531155744487999
1,2,30,8.155354191932588,0.25319029175153557
1,2,31,8.24846082547561,0.25323754604823145
1,2,32,8.155354191932588,0.2519989676219081
1,2,33,8.106129829904885,0.24123349637148797
1,2,34,8.062247558389567,0.2278771173229276
1,2,35,8.177295327690247,0.24693019201697206
1,2,36,8.24846082547561,0.25323754604823145
1,2,37,8.177295327690247,0.2529969076094982
1,2,38,8.24846082547561,0.25323754604823145
1,2,39,7.991082060604205,0.2050570163340678
1,2,40,8.24846082547561,0.25323754604823145
1,2,41,8.155354191932588,0.2525793146907678
1,2,42,7.991082060604205,0.24963306877088726
1,2,43,8.155354191932588,0.2532242000391189
1,2,44,8.24846082547561,0.25323754604823145
1,2,45,8.155354191932588,0.2496853378131361
1,2,46,8.24846082547561,0.25323754604823145
1,2,47,8.177295327690247,0.2521856571559971
1,2,48,8.177295327690247,0.2528300227392284
1,2,49,8.177295327690247,0.25316958264552053
1,2,50,8.177295327690247,0.25320829003188433
1,3,1,3.3133222581737205,0.1394461033631264
1,3,2,1.486461541096767,0.0805841064553483
1,3,3,0.7983090790597873,0.10144874967838853
1,3,4,0.0,0.0
1,3,5,0.0,0.0
1,3,6,0.0,0.0
1,3,7,0.0,0.0
1,3,8,0.0,0.0
1,3,9,0.0,0.0
1,3,10,0.0,0.0
1,3,11,0.0,0.0
1,3,12,0.0,0.0
1,3,13,0.0,0.0
1,3,14,0.0,0.0
1,3,15,0.0,0.0
1,3,16,0.15214520293575584,2.7324262409073415e-05
1,3,17,0.29029421056719534,9.093560797700457e-06
1,3,18,6.347576388061529,0.2275463608777119
1,3,19,6.386472632478307,0.20470639981426486
1,3,20,6.403311286590817,0.2201829209883349
1,3,21,6.531619737761906,0.22772614925319537
1,3,22,6.420149940703328,0.21969446868339512
1,3,23,6.403311286590817,0.21934779705388785
1,3,24,6.531619737761906,0.22772614925319537
1,3,25,6.459046185120107,0.22770439963637096
1,3,26,6.403311286590817,0.22772150034911565
1,3,27,6.386472632478307,0.22608565480210668
1,3,28,6.330737733949018,0.22032122425513384
1,3,29,6.420149940703327,0.22767109449870873
1,3,30,6.330737733949018,0.2196277811175248
1,3,31,6.275002835419729,0.22767270888568358
1,3,32,6.403311286590817,0.21111982707505192
1,3,33,6.330737733949018,0.22766672669461233
1,3,34,6.275002835419729,0.21066050664827485
1,3,35,6.2918414895322385,0.21813208861834568
1,3,36,6.313899079836508,0.21686787301511232
1,3,37,6.386472632478307,0.20348033004702434
1,3,38,6.403311286590817,0.21275561127425321
1,3,39,6.420149940703328,0.219002507546764
1,3,40,6.403311286590817,0.22759635690576022
1,3,41,6.18559062866542,0.2272408533244234
1,3,42,6.459046185120107,0.22772400741421714
1,3,43,6.531619737761906,0.22772614925319537
1,3,44,6.531619737761906,0.22772614925319537
1,3,45,6.403311286590818,0.20441129703404268
1,3,46,6.420149940703328,0.21912797142316603
1,3,47,6.420149940703327,0.22768970711454134
1,3,48,6.313899079836508,0.22719529085713064
1,3,49,6.313899079836508,0.2209272652423578
1,3,50,6.4758848392326165,0.22617600349681946
1,4,1,3.0713286467970526,0.19771991079947476
1,4,2,0.0,0.0
1,4,3,0.0,0.0
1,4,4,0.0,0.0
1,4,5,0.0,0.0
1,4,6,0.0,0.0
1,4,7,0.0,0.0
1,4,8,0.0,0.0
