instance,task,episode,return,discounted_return
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.4580149758911008,3.639531210243189e-05
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,8,0.0,0.0
1,1,9,0.0,0.0
1,1,10,0.0,0.0
1,1,11,0.0,0.0
1,1,12,0.1677561313725893,0.00047243003882243217
1,1,13,0.7684147664430442,0.0003866786633105563
1,1,14,0.5673176417398247,0.00047029810978688414
1,1,15,1.3136809630214896,0.07423266857314756
1,1,16,1.868130240695503,0.018510365311591916
1,1,17,1.5094160048850365,0.0454181800874322
1,1,18,6.319694342921254,0.09440538063337474
1,1,19,8.22656539109984,0.2617543401370431
1,1,20,8.071677623793061,0.2212331594753415
1,1,21,8.130657361282447,0.2632482089555464
1,1,22,8.071677623793061,0.21873626919431086
1,1,23,8.245029537263843,0.2097035684848249
1,1,24,7.916789856486284,0.25135059244131935
1,1,25,8.322473420917232,0.25712474821870535
1,1,26,8.14912150744645,0.2558359362054671
1,1,27,8.090141769957064,0.21491040597683664
1,1,28,8.071677623793061,0.2497199432844064
1,1,29,8.263493683427846,0.250203759361944
1,1,30,7.747025242012879,0.18733389963968428
1,1,31,8.263493683427846,0.24672250131199788
1,1,32,8.340937567081236,0.2377163816569527
1,1,33,7.994233740139673,0.20249709681591269
1,1,34,8.127596334250592,0.19326166289570387
1,1,35,7.5890764476742465,0.21829816055033252
1,1,36,8.436845596898628,0.26649933268546805
1,1,37,8.012697886303677,0.2578103909352715
1,1,38,7.728034823883356,0.1548161409945835
1,1,39,8.012697886303677,0.2119099671466705
1,1,40,8.245029537263843,0.2627128887708994
1,1,41,7.761902089179507,0.21972974321002645
1,1,42,7.743964214981024,0.23817936975548956
1,1,43,8.208101244935838,0.2513803268429369
1,1,44,8.012697886303677,0.23566438166962328
1,1,45,8.418381450734625,0.2663336232323304
1,1,46,7.802417680504889,0.21190981006332535
1,1,47,8.14912150744645,0.23779691410756001
1,1,48,7.706509650687497,0.1818504407766634
1,1,49,7.49622944488871,0.18708882279781539
1,1,50,7.32287753141793,0.2545565410793672
1,2,1,4.464859714410401,0.21987614819621357
1,2,2,1.6155659040537915,0.08010738388574727
1,2,3,0.0,0.0
1,2,4,0.0,0.0
1,2,5,0.0,0.0
1,2,6,0.0,0.0
1,2,7,0.0,0.0
1,2,8,0.0,0.0
1,2,9,0.0,0.0
1,2,10,0.0,0.0
1,2,11,0.0,0.0
1,2,12,0.0,0.0
1,2,13,0.0,0.0
1,2,14,0.0,0.0
1,2,15,0.0,0.0
1,2,16,0.0,0.0
1,2,17,0.3894740480085329,0.0023924046022658287
1,2,18,8.062247558389567,0.25257356967146044
1,2,19,8.155354191932588,0.2525793146907678
1,2,20,8.177295327690247,0.2510383076834536
1,2,21,8.155354191932588,0.2532337767410639
1,2,22,8.24846082547561,0.25323754604823145
1,2,23,8.155354191932588,0.25303098607358065
1,2,24,8.155354191932588,0.25319927006790777
1,2,25,8.177295327690247,0.24863948495944335
1,2,26,8.155354191932588,0.2532192387654982
1,2,27,8.24846082547561,0.25323754604823145
1,2,28,8.24846082547561,0.25323754604823145
1,2,29,8.155354191932588,0.25323449290942573
1,2,30,8.24846082547561,0.25323754604823145
1,2,31,8.24846082547561,0.25323754604823145
1,2,32,8.177295327690247,0.2532283652003024
1,2,33,8.24846082547561,0.25323754604823145
1,2,34,8.24846082547561,0.25323754604823145
1,2,35,8.24846082547561,0.25323754604823145
1,2,36,8.013023196361864,0.25225959239209667
1,2,37,8.24846082547561,0.25323754604823145
1,2,38,8.24846082547561,0.25323754604823145
1,2,39,8.177295327690247,0.24863948495944335
1,2,40,7.991082060604205,0.250267181104403
1,2,41,8.24846082547561,0.25323754604823145
1,2,42,8.177295327690247,0.2507939478651449
1,2,43,8.24846082547561,0.25323754604823145
1,2,44,8.177295327690247,0.25321621841231445
1,2,45,8.24846082547561,0.25323754604823145
1,2,46,8.177295327690247,0.2532339891996373
1,2,47,7.991082060604204,0.25152695170450856
1,2,48,8.062247558389567,0.20511818339650767
1,2,49,8.177295327690247,0.2532283652003024
1,2,50,8.24846082547561,0.25323754604823145
1,3,1,2.8385187164815164,0.14144739971455456
1,3,2,1.9295660413320685,0.10794663678615256
1,3,3,0.8658628008175494,0.07858803421506896
1,3,4,0.0,0.0
1,3,5,0.0,0.0
1,3,6,0.0,0.0
1,3,7,0.0,0.0
1,3,8,0.0,0.0
1,3,9,0.0,0.0
1,3,10,0.0,0.0
1,3,11,0.0,0.0
1,3,12,0.14514710528359767,9.005862608207987e-06
1,3,13,0.0,0.0
1,3,14,0.0,0.0
1,3,15,0.0,0.0
1,3,16,0.0,0.0
1,3,17,0.0,0.0
1,3,18,6.347576388061529,0.21152954355867373
1,3,19,6.330737733949018,0.22666017484322418
1,3,20,6.313899079836508,0.17100685878270525
1,3,21,6.420149940703328,0.22080388198585896
1,3,22,6.347576388061528,0.20287108855481908
1,3,23,6.531619737761906,0.22772614925319537
1,3,24,6.258164181307219,0.19281032086544983
1,3,25,6.313899079836508,0.19767455172573137
1,3,26,6.459046185120107,0.2156229260132194
1,3,27,6.20242928277793,0.2184163262096367
1,3,28,6.531619737761906,0.22772614925319537
1,3,29,6.313899079836508,0.18427598827897662
1,3,30,6.258164181307219,0.18442728440707015
1,3,31,6.2918414895322385,0.22585402775664887
1,3,32,6.459046185120107,0.22772400741421714
1,3,33,6.330737733949018,0.21781545787134055
1,3,34,6.386472632478307,0.22753530769453525
1,3,35,6.347576388061529,0.2048965416115436
1,3,36,6.330737733949018,0.2047798042355474
1,3,37,6.403311286590817,0.22599762234524604
1,3,38,6.459046185120107,0.22758124322919682
1,3,39,6.403311286590818,0.22765049114742303
1,3,40,6.531619737761906,0.22772614925319537
1,3,41,6.459046185120107,0.22767000969051882
1,3,42,6.403311286590817,0.19817573693116766
1,3,43,6.420149940703327,0.22649969691667277
1,3,44,6.531619737761906,0.22772614925319537
1,3,45,6.403311286590817,0.20369618137563897
1,3,46,6.275002835419729,0.18444319386460603
1,3,47,6.403311286590817,0.22753666224262106
1,3,48,6.347576388061528,0.22205605454529714
1,3,49,6.1855906286654205,0.1843043840625031
1,3,50,6.531619737761906,0.22772614925319537
1,4,1,3.3747420743193937,0.1971371396043983
1,4,2,2.3197611084173446,0.10548455544042697
1,4,3,0.0,0.0
1,4,4,0.0,0.0
1,4,5,0.0,0.0
1,4,6,0.0,0.0
