instance,task,episode,return,discounted_return
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.09590802981739197,3.145001773459738e-06
1,1,7,0.0,0.0
1,1,8,0.7494243483135207,0.0018773342821196554
1,1,9,0.9073731426521545,0.0005192219104613348
1,1,10,0.0,0.0
1,1,11,0.3959742113698593,3.1807627662994694e-05
1,1,12,0.5642566147079688,0.00018226519267443481
1,1,13,1.0007464174032104,0.0024220772649970806
1,1,14,0.0,0.0
1,1,15,0.2077454507324515,0.013880238709815165
1,1,16,1.9003207061222245,0.09071038036629324
1,1,17,0.0,0.0
1,1,18,5.04629527196663,0.07358981895232306
1,1,19,7.669055086393971,0.19814537756573658
1,1,20,8.285018856623706,0.35664550674596107
1,1,21,8.262967411462327,0.3592090303206238
1,1,22,8.417855178769106,0.3712821379554098
1,1,23,8.167059381644934,0.34385425725780816
1,1,24,8.417855178769106,0.3514775665260478
1,1,25,8.074738650824917,0.28368453621575296
1,1,26,8.495299062422495,0.362594869180573
1,1,27,8.495299062422495,0.33945567928970377
1,1,28,8.380926886441099,0.3568635602836466
1,1,29,7.978830621007525,0.2429869044649776
1,1,30,8.244503265298324,0.32967249041590146
1,1,31,8.266554710459703,0.3002542175713237
1,1,32,8.455309743062632,0.36079216834161376
1,1,33,8.476834916258492,0.34718580908560703
1,1,34,8.266554710459703,0.36205814641099193
1,1,35,8.458370770094488,0.3697910035248442
1,1,36,8.35940171324524,0.3348650728298056
1,1,37,7.761902089179507,0.32964279843595284
1,1,38,8.513763208586498,0.33641757789292387
1,1,39,8.244503265298324,0.3099894065125777
1,1,40,8.148595235480931,0.3574999406496108
1,1,41,8.476834916258492,0.29661483187572263
1,1,42,8.572742946075884,0.3323099869414559
1,1,43,8.746094859546666,0.3586289738537234
1,1,44,8.458370770094488,0.3687594073622821
1,1,45,8.458370770094488,0.3334141120575412
1,1,46,8.399391032605102,0.3146381259741972
1,1,47,8.417855178769106,0.31961098114914893
1,1,48,8.340937567081236,0.2812329816763451
1,1,49,8.572742946075884,0.36821993933599706
1,1,50,8.476834916258492,0.3673373191846094
1,1,51,8.052687205663538,0.26694288189835585
1,1,52,7.938315029682143,0.3346811764133464
1,1,53,7.938315029682143,0.25619662221546324
1,1,54,8.55427879991188,0.3449615700425555
1,1,55,7.823942853700747,0.3142048677076344
1,1,56,8.266554710459703,0.26967704252657293
1,1,57,7.997294767171528,0.22274231688355173
1,1,58,8.572742946075884,0.356391659760994
1,1,59,8.145534208449076,0.3659716538141557
1,1,60,8.285018856623706,0.2704344295193103
1,1,61,8.362462740277095,0.3711363480330978
1,1,62,8.650186829729273,0.36694221436312624
1,1,63,8.535814653747877,0.36356279448917295
1,1,64,8.380926886441099,0.28818803143297506
1,1,65,8.015758913335532,0.3697955639608676
1,1,66,8.285018856623706,0.33668105180885505
1,1,67,8.22603911913432,0.33576034780376474
1,1,68,8.321947148951713,0.318211356435299
1,1,69,7.802417680504889,0.3138316101055786
1,1,70,8.17064668064231,0.2692826721728616
1,1,71,8.30348300278771,0.29539026631016746
1,1,72,8.513763208586498,0.3710381895802564
1,1,73,8.30348300278771,0.30619137814176234
1,1,74,8.30348300278771,0.3448407236015948
1,1,75,8.111666943152924,0.21926652401365843
1,1,76,8.650186829729273,0.371518353431747
1,1,77,7.650590940229968,0.3191169297253405
1,1,78,8.285018856623706,0.2966312664445238
1,1,79,8.380926886441099,0.326496095862938
1,1,80,8.439906623930485,0.29400132091099773
1,1,81,8.572742946075884,0.37149755839137727
1,1,82,8.55427879991188,0.353674217012081
1,1,83,8.380926886441099,0.3710633994310707
1,1,84,7.876274265160902,0.3397951928633718
1,1,85,8.074738650824917,0.2968073776432458
1,1,86,7.820355554703373,0.32260788645209937
1,1,87,8.10860591612107,0.3454814577782412
1,1,88,8.244503265298324,0.3617275476145057
1,1,89,8.399391032605102,0.3703869635409191
1,1,90,8.189110826806314,0.3604225194680153
1,1,91,8.399391032605102,0.3680168717166576
1,1,92,8.591207092239888,0.3635689007401126
1,1,93,8.572742946075884,0.3609761809804284
1,1,94,8.380926886441099,0.3008601207563817
1,1,95,8.09320279698892,0.23324730279695804
1,1,96,7.882922591190133,0.20481646597255063
1,1,97,8.22603911913432,0.2962078678296689
1,1,98,8.22603911913432,0.3625553630585432
1,1,99,8.130131089316928,0.3211818119264325
1,1,100,8.285018856623706,0.27557781447285945
1,2,1,0.0,0.0
1,2,2,0.0,0.0
1,2,3,0.03313593793207536,2.3069193900558257e-05
1,2,4,0.0,0.0
1,2,5,0.0,0.0
1,2,6,0.0,0.0
1,2,7,0.0,0.0
1,2,8,0.0,0.0
1,2,9,0.0,0.0
1,2,10,0.0,0.0
1,2,11,0.7301722025805361,0.0003058559158545848
1,2,12,0.4606395457938952,0.03055251939551398
1,2,13,1.1182386922570757,0.00021421952829331153
1,2,14,1.1742748556876292,0.002599342226134757
1,2,15,1.053822843316092,0.00321328732441488
1,2,16,0.774054474095854,0.0017402586713877724
1,2,17,0.7311934448798272,0.0007542769655990703
1,2,18,5.8057472175993965,0.018205651975397735
1,2,19,8.56581028595796,0.3606919175819181
1,2,20,8.494644788172598,0.36068649638302447
1,2,21,8.56581028595796,0.3606919175819181
1,2,22,8.56581028595796,0.3606919175819181
1,2,23,8.308431521086556,0.2911043354465595
1,2,24,8.56581028595796,0.3606919175819181
1,2,25,8.308431521086556,0.35909339428464254
1,2,26,8.56581028595796,0.3606919175819181
1,2,27,8.494644788172598,0.36068649638302447
1,2,28,8.494644788172598,0.3606080121464725
1,2,29,8.56581028595796,0.3606919175819181
1,2,30,8.56581028595796,0.3606919175819181
1,2,31,8.56581028595796,0.3606919175819181
1,2,32,8.494644788172598,0.34260260288425454
1,2,33,8.379597018871918,0.35041536656221695
1,2,34,8.472703652414939,0.32462050008553694
1,2,35,8.401538154629577,0.35526018706875157
1,2,36,8.56581028595796,0.3606919175819181
1,2,37,8.472703652414939,0.36068916975699294
1,2,38,8.56581028595796,0.3606919175819181
1,2,39,8.423479290387236,0.35938786812100676
1,2,40,8.56581028595796,0.3606919175819181
1,2,41,8.56581028595796,0.3606919175819181
1,2,42,8.423479290387236,0.3606787846799956
1,2,43,8.379597018871918,0.33691568612305406
1,2,44,8.423479290387236,0.3581871523363917
1,2,45,8.56581028595796,0.3606919175819181
1,2,46,8.379597018871918,0.3054506698998426
1,2,47,8.330372656844215,0.34224037216941344
