instance,task,episode,return,discounted_return
1,1,1,0.0,0.0
1,1,2,1.173045786942951,0.0013436682760166537
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.4678223129250567,0.000896843270172915
1,1,6,0.19181605963478393,7.340930743711255e-06
1,1,7,0.0,0.0
1,1,8,0.0,0.0
1,1,9,0.11183742091505953,1.1102200590834893e-05
1,1,10,0.31905659968199085,0.00018811201349109617
1,1,11,0.0,0.0
1,1,12,0.0,0.0
1,1,13,0.0,0.0
1,1,14,0.6313668893618817,0.0003037699612446332
1,1,15,0.0,0.0
1,1,16,1.2638843066276715,0.0012974246173349721
1,1,17,1.8413409686328388,0.04590178743797435
1,1,18,4.889399021559038,0.0841467617564272
1,1,19,8.207574972970317,0.274732975674439
1,1,20,8.476834916258492,0.3596918396704587
1,1,21,8.321947148951713,0.34402050312756705
1,1,22,8.380926886441099,0.3709429411924307
1,1,23,8.362462740277095,0.2956963742436956
1,1,24,8.105544889089213,0.36738510148645337
1,1,25,8.034223059499535,0.2978200339743051
1,1,26,8.130131089316928,0.33845050781208685
1,1,27,8.380926886441099,0.2862957990702792
1,1,28,8.2480905642957,0.2361090291894416
1,1,29,8.55427879991188,0.36968775279538607
1,1,30,7.74649897004736,0.23540656082497974
1,1,31,8.650186829729273,0.3652914769404184
1,1,32,8.362462740277095,0.36783428110338295
1,1,33,8.476834916258492,0.3593545332004842
1,1,34,8.266554710459703,0.3232846360823313
1,1,35,7.956779175846147,0.28207726483248413
1,1,36,8.30348300278771,0.34617133181597265
1,1,37,8.22603911913432,0.33736840950084424
1,1,38,8.458370770094488,0.366504834210192
1,1,39,8.130131089316928,0.33660996852011554
1,1,40,8.285018856623706,0.361229278033992
1,1,41,7.74649897004736,0.1687687572014727
1,1,42,8.513763208586498,0.3582697011779237
1,1,43,8.476834916258492,0.367338715329493
1,1,44,8.30348300278771,0.350583908651121
1,1,45,8.285018856623706,0.31889985077729444
1,1,46,8.380926886441099,0.3685235754457777
1,1,47,8.55427879991188,0.30075573114431203
1,1,48,8.089615497991545,0.26119042715784124
1,1,49,7.91985088351814,0.28948238480436805
1,1,50,8.650186829729273,0.3713367469559789
1,1,51,8.30348300278771,0.2809821364166625
1,1,52,8.266554710459703,0.352617223814003
1,1,53,8.130131089316928,0.3367200670780102
1,1,54,8.111666943152924,0.24151575143724763
1,1,55,8.015758913335532,0.28129770335829124
1,1,56,8.359401713245239,0.3375481141108578
1,1,57,8.207574972970317,0.3290118696426927
1,1,58,8.189110826806314,0.32249305466831657
1,1,59,8.55427879991188,0.3341150192957552
1,1,60,8.513763208586498,0.3537658277480422
1,1,61,8.130131089316928,0.27086014865627595
1,1,62,8.285018856623706,0.2972700226410401
1,1,63,7.938315029682143,0.3409792465697741
1,1,64,8.285018856623706,0.28495146016377265
1,1,65,8.111666943152924,0.3520793886971299
1,1,66,8.362462740277095,0.3714216837960924
1,1,67,8.380926886441099,0.337705915674817
1,1,68,8.362462740277095,0.2985688856267884
1,1,69,8.668650975893277,0.36933058975583793
1,1,70,8.207574972970317,0.31322256452867125
1,1,71,8.476834916258492,0.34217476807699954
1,1,72,8.263493683427846,0.2914344251410745
1,1,73,8.362462740277095,0.2662908962433057
1,1,74,8.130131089316928,0.27737714799167346
1,1,75,8.034223059499535,0.23871456545995126
1,1,76,8.399391032605102,0.33597602643706354
1,1,77,8.285018856623706,0.3237636900540552
1,1,78,8.727630713382663,0.3712817459103397
1,1,79,8.285018856623706,0.3704370682078456
1,1,80,8.650186829729273,0.3713346710719652
1,1,81,7.823942853700748,0.24434242359601077
1,1,82,8.362462740277095,0.32095976364318546
1,1,83,8.22603911913432,0.23503374433349936
1,1,84,8.343998594113092,0.32334770264944385
1,1,85,8.111666943152924,0.2556516736102047
1,1,86,8.572742946075884,0.33082175943362474
1,1,87,8.321947148951713,0.34959413763105335
1,1,88,8.495299062422495,0.36471946352614387
1,1,89,8.189110826806314,0.29991541106517194
1,1,90,8.727630713382663,0.36389418864483347
1,1,91,8.074738650824917,0.2692931345048901
1,1,92,8.130131089316928,0.29258360409545653
1,1,93,7.978830621007525,0.2615083802469206
1,1,94,8.476834916258492,0.35607328519692094
1,1,95,7.709570677719353,0.2912640966469382
1,1,96,8.535814653747877,0.3714924845639464
1,1,97,8.380926886441099,0.3663223926346917
1,1,98,8.285018856623706,0.26927063185458133
1,1,99,8.650186829729273,0.3630582267741529
1,1,100,8.591207092239888,0.36258619905859796
1,2,1,0.0,0.0
1,2,2,0.0,0.0
1,2,3,0.0,0.0
1,2,4,0.0,0.0
1,2,5,0.45574592387268364,0.0001722741118831708
1,2,6,0.0,0.0
1,2,7,0.0,0.0
1,2,8,0.0,0.0
1,2,9,0.0,0.0
1,2,10,0.0,0.0
1,2,11,0.0,0.0
1,2,12,0.774054474095854,0.0002865350118403797
1,2,13,0.0,0.0
1,2,14,0.19251444733924744,0.0031120810395680646
1,2,15,0.06627187586415072,6.704193882188908e-05
1,2,16,1.3905864657077023,0.040206625354289836
1,2,17,3.381550834450097,0.04003604858105962
1,2,18,7.6187176789905955,0.36011552693567295
1,2,19,7.021986165320705,0.1002397506885506
1,2,20,8.56581028595796,0.3606919175819181
1,2,21,8.401538154629577,0.3576720765627585
1,2,22,8.423479290387236,0.3606511481339518
1,2,23,8.423479290387236,0.36068743438411927
1,2,24,8.56581028595796,0.3606919175819181
1,2,25,8.56581028595796,0.3606919175819181
1,2,26,8.379597018871918,0.3574902767046934
1,2,27,8.494644788172598,0.3579768084895997
1,2,28,8.423479290387236,0.3555790087626046
1,2,29,8.237266023301194,0.29173952018186167
1,2,30,8.56581028595796,0.3606919175819181
1,2,31,8.494644788172598,0.35992509057947925
1,2,32,8.494644788172598,0.36064732679339945
1,2,33,8.472703652414939,0.3606894445394855
1,2,34,8.423479290387236,0.360675371772192
1,2,35,8.379597018871918,0.3595744491733019
1,2,36,8.379597018871918,0.29215622433879385
1,2,37,8.308431521086556,0.2921470434908648
1,2,38,8.56581028595796,0.3606919175819181
1,2,39,8.423479290387236,0.35796126064301614
1,2,40,8.494644788172598,0.3584926792171401
1,2,41,8.494644788172598,0.3606746421968253
1,2,42,8.472703652414939,0.36067857157280553
1,2,43,8.56581028595796,0.3606919175819181
1,2,44,8.472703652414939,0.32462050008553694
1,2,45,8.56581028595796,0.3606919175819181
1,2,46,8.494644788172598,0.36039483308965486
1,2,47,8.286490385328896,0.2889592369272081
1,2,48,8.56581028595796,0.3606919175819181
1,2,49,8.494644788172598,0.36067932382618545
1,2,50,8.472703652414939,0.35749493017033235
1,2,51,8.330372656844215,0.343671903415925
1,2,52,8.472703652414939,0.33439585422705626
1,2,53,8.352313792601874,0.3404868570116197
1,2,54,8.56581028595796,0.3606919175819181
1,2,55,8.472703652414939,0.36068814827475054
1,2,56,8.56581028595796,0.3606919175819181
1,2,57,8.56581028595796,0.3606919175819181
1,2,58,8.56581028595796,0.3606919175819181
1,2,59,8.259207159058853,0.3338802358056754
1,2,60,8.56581028595796,0.3606919175819181
1,2,61,8.494644788172598,0.3606080121464725
1,2,62,8.494644788172598,0.36049700044654415
1,2,63,8.494644788172598,0.3606887164181834
1,2,64,8.472703652414939,0.32822764183517505
1,2,65,8.401538154629577,0.359652550517896
1,2,66,8.472703652414939,0.3591628084136176
1,2,67,8.352313792601873,0.3331948860938567
1,2,68,8.379597018871918,0.29215622433879385
1,2,69,8.401538154629577,0.3599110040863821
1,2,70,8.379597018871918,0.339387918145405
1,2,71,8.56581028595796,0.3606919175819181
1,2,72,8.330372656844215,0.35704341073794815
1,2,73,8.494644788172598,0.34750480716732135
1,2,74,8.352313792601874,0.34455458546355777
1,2,75,8.494644788172598,0.3579768084895997
1,2,76,8.472703652414939,0.3603421064510762
1,2,77,8.308431521086556,0.3599113180292333
1,2,78,8.193383751785875,0.2920014539981983
1,2,79,8.423479290387236,0.33587201927085164
1,2,80,8.56581028595796,0.3606919175819181
1,2,81,8.56581028595796,0.3606919175819181
1,2,82,8.56581028595796,0.3606919175819181
1,2,83,8.56581028595796,0.3606919175819181
1,2,84,8.494644788172598,0.34059267902895857
1,2,85,8.472703652414939,0.36030323854764934
1,2,86,8.472703652414939,0.32462050008553694
1,2,87,8.56581028595796,0.3606919175819181
1,2,88,8.308431521086556,0.3604561180963713
1,2,89,8.379597018871918,0.29215622433879385
1,2,90,8.472703652414939,0.36064938871489177
1,2,91,8.472703652414939,0.3603770875641604
1,2,92,8.56581028595796,0.3606919175819181
1,2,93,8.56581028595796,0.3606919175819181
1,2,94,8.401538154629577,0.3582276031630739
1,2,95,8.379597018871918,0.29215622433879385
1,2,96,8.56581028595796,0.3606919175819181
1,2,97,8.472703652414939,0.3605821431424297
1,2,98,8.56581028595796,0.3606919175819181
1,2,99,8.423479290387236,0.3604709518159543
1,2,100,8.472703652414939,0.36003368622445436
1,3,1,0.0,0.0
1,3,2,0.0,0.0
1,3,3,0.0,0.0
1,3,4,0.8510024134731606,0.016197060607088955
1,3,5,0.0,0.0
1,3,6,0.0,0.0
1,3,7,0.0,0.0
1,3,8,0.0,0.0
1,3,9,0.0,0.0
1,3,10,0.0,0.0
1,3,11,0.0,0.0
1,3,12,0.067553721757762,1.9439950323197428e-06
1,3,13,0.15214520293575584,1.1167631077163601e-05
1,3,14,0.8119070637486602,0.001024639236784474
1,3,15,0.7106760337658781,0.014565977323405086
1,3,16,0.37164502232155194,2.6223298979538236e-05
1,3,17,2.142385416562869,0.07332497273120264
1,3,18,5.025993842549311,0.11155986225559883
1,3,19,6.621031944516215,0.28114598323693385
1,3,20,6.531619737761906,0.26191824111897255
1,3,21,6.604193290403705,0.25584263050614814
1,3,22,6.676766843045504,0.2811474636338056
1,3,23,6.604193290403705,0.2806857009470001
1,3,24,6.621031944516215,0.27923370344074894
1,3,25,6.531619737761906,0.22772614925319537
1,3,26,6.459046185120107,0.21683324833721698
1,3,27,6.621031944516215,0.2811220052749532
1,3,28,6.459046185120107,0.22750528959156063
1,3,29,6.604193290403705,0.2806343939817995
1,3,30,6.621031944516215,0.28111254133085306
1,3,31,6.492723493345127,0.2757785289794319
1,3,32,6.531619737761906,0.27525289298662226
1,3,33,6.621031944516216,0.2810744497736854
1,3,34,6.492723493345126,0.2750100686829321
1,3,35,6.492723493345126,0.2767659059429059
1,3,36,6.676766843045504,0.2811474636338056
1,3,37,6.548458391874417,0.280935920089063
1,3,38,6.531619737761906,0.28111700351293917
1,3,39,6.676766843045504,0.2811474636338056
1,3,40,6.604193290403705,0.2811434333858981
1,3,41,6.548458391874416,0.28063236325906726
1,3,42,6.621031944516215,0.2811339340181187
1,3,43,6.275002835419729,0.1844452506167207
1,3,44,6.386472632478307,0.19916286528261498
1,3,45,6.548458391874416,0.2809967818406749
1,3,46,6.330737733949019,0.22722585653925712
1,3,47,6.565297045986926,0.26031877497474326
1,3,48,6.604193290403705,0.281142985580575
1,3,49,6.5652970459869255,0.2811397149183787
1,3,50,6.676766843045504,0.2811474636338056
1,3,51,6.531619737761906,0.2612672887497342
1,3,52,6.676766843045504,0.2811474636338056
1,3,53,6.459046185120107,0.26453750650289065
1,3,54,6.403311286590817,0.20481441097915146
1,3,55,6.676766843045504,0.2811474636338056
1,3,56,6.436988594815837,0.27038473432423865
1,3,57,6.604193290403705,0.2811441991330005
1,3,58,6.604193290403705,0.27692733063430874
1,3,59,6.509562147457637,0.27476011735374756
1,3,60,6.604193290403705,0.28057738624268774
1,3,61,6.420149940703327,0.28082081832094374
1,3,62,6.531619737761906,0.22772614925319537
1,3,63,6.436988594815838,0.2523271394084869
1,3,64,6.531619737761906,0.22772614925319537
1,3,65,6.621031944516215,0.27361850529254367
1,3,66,6.676766843045504,0.2811474636338056
1,3,67,6.676766843045504,0.2811474636338056
1,3,68,6.5652970459869255,0.2785101015296783
1,3,69,6.676766843045504,0.2811474636338056
1,3,70,6.676766843045504,0.2811474636338056
1,3,71,6.621031944516215,0.27437140112666986
1,3,72,6.548458391874416,0.27754400637786397
1,3,73,6.291841489532239,0.20440694687053
1,3,74,6.604193290403705,0.2810704546315058
1,3,75,6.459046185120107,0.2277225220300786
