instance,task,episode,return,discounted_return
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.8448061061653924,0.0024120632505111672
1,1,6,1.4761729955272742,0.0016852453793699148
1,1,7,0.0,0.0
1,1,8,0.0,0.0
1,1,9,0.0,0.0
1,1,10,0.0,0.0
1,1,11,0.0,0.0
1,1,12,1.0612083660278913,0.005111799645910539
1,1,13,0.0,0.0
1,1,14,0.6996276919197026,0.0010400684936946493
1,1,15,0.0,0.0
1,1,16,1.1181796204164616,0.008804379426397143
1,1,17,4.671514550561244,0.11019144812654122
1,1,18,8.189110826806314,0.24372844392785775
1,1,19,6.270950230458476,0.032891933356726445
1,1,20,7.707035922653017,0.18140564510344143
1,1,21,8.012697886303677,0.26440225838479703
1,1,22,7.994233740139673,0.23145206676370042
1,1,23,8.071677623793061,0.2523451235381189
1,1,24,8.223504364067985,0.2553610400657276
1,1,25,7.743437943015504,0.20300842011172618
1,1,26,7.975769593975669,0.23900220725449536
1,1,27,7.994233740139673,0.263724421071476
1,1,28,8.146060480414596,0.2644727335392836
1,1,29,7.916789856486284,0.23187300609030048
1,1,30,7.6106016208701055,0.17159205209325085
1,1,31,8.10860591612107,0.2531245174389654
1,1,32,8.186049799774457,0.25708145828161133
1,1,33,7.861397417994274,0.23840199729625053
1,1,34,8.28195782959185,0.2614534083773331
1,1,35,8.071677623793061,0.24642623201770653
1,1,36,7.6106016208701055,0.21542026361188307
1,1,37,8.10860591612107,0.2580585883169391
1,1,38,7.861397417994274,0.22096595124800428
1,1,39,8.071677623793061,0.2157158355611776
1,1,40,7.861397417994274,0.16841236215951863
1,1,41,8.245029537263843,0.2665027792449238
1,1,42,8.245029537263843,0.26353599452825316
1,1,43,6.768954525709438,0.054534022605459115
1,1,44,8.14912150744645,0.21224831303544855
1,1,45,8.322473420917232,0.264889909694121
1,1,46,8.167585653610454,0.2139150655420396
1,1,47,8.167585653610454,0.2475046124466759
1,1,48,8.071677623793061,0.19414062198589946
1,1,49,8.012697886303677,0.25990875881449754
1,1,50,8.245029537263843,0.2656603486483667
1,2,1,0.0,0.0
1,2,2,0.0,0.0
1,2,3,0.0,0.0
1,2,4,0.0,0.0
1,2,5,0.0,0.0
1,2,6,0.0,0.0
1,2,7,0.0,0.0
1,2,8,0.0,0.0
1,2,9,0.0,0.0
1,2,10,0.0,0.0
1,2,11,0.41816483261057025,0.0028304138919200005
1,2,12,1.416972754795399,0.019383358334316605
1,2,13,1.4638304687502903,0.004435460333860952
1,2,14,0.0,0.0
1,2,15,0.5386168449821079,0.00012673904017881113
1,2,16,1.1479507191584044,0.007499502150509271
1,2,17,4.623154828959811,0.0867660913038486
1,2,18,5.79455241542498,0.016944147114870856
1,2,19,8.24846082547561,0.25323754604823145
1,2,20,8.155354191932588,0.25233462237544174
1,2,21,8.24846082547561,0.25323754604823145
1,2,22,8.177295327690247,0.2505224369559131
1,2,23,7.9691409248465455,0.18460413931866756
1,2,24,8.155354191932588,0.2279115657052189
1,2,25,8.24846082547561,0.25323754604823145
1,2,26,8.177295327690247,0.2510383076834536
1,2,27,8.24846082547561,0.25323754604823145
1,2,28,8.106129829904885,0.2530022231949376
1,2,29,8.177295327690247,0.2385852011431239
1,2,30,8.24846082547561,0.25323754604823145
1,2,31,8.084188694147226,0.22382863832421718
1,2,32,7.9691409248465455,0.19769139841191902
1,2,33,8.155354191932588,0.2496853378131361
1,2,34,8.177295327690247,0.24693019201697206
1,2,35,8.24846082547561,0.25323754604823145
1,2,36,8.155354191932588,0.24066022046339736
1,2,37,8.24846082547561,0.25323754604823145
1,2,38,8.013023196361864,0.25291668025276626
1,2,39,8.24846082547561,0.25323754604823145
1,2,40,8.24846082547561,0.25323754604823145
1,2,41,8.177295327690247,0.2532339891996373
1,2,42,8.24846082547561,0.25323754604823145
1,2,43,8.24846082547561,0.25323754604823145
1,2,44,8.084188694147226,0.248846682583788
1,2,45,8.24846082547561,0.25323754604823145
1,2,46,8.24846082547561,0.25323754604823145
1,2,47,8.084188694147226,0.2512272279758692
1,2,48,8.155354191932588,0.2513497569515642
1,2,49,7.859945867207896,0.2120502122530622
1,2,50,8.155354191932588,0.25303098607358065
1,3,1,0.0,0.0
1,3,2,0.0,0.0
1,3,3,0.1958621729288496,2.8061127990144536e-05
1,3,4,0.0,0.0
1,3,5,0.0,0.0
1,3,6,0.0,0.0
1,3,7,0.0,0.0
1,3,8,0.0,0.0
1,3,9,0.0,0.0
1,3,10,0.0,0.0
1,3,11,0.0,0.0
1,3,12,0.0,0.0
1,3,13,0.5677063005581232,0.0030653000515539694
1,3,14,0.9610107025685003,0.02254725538808064
1,3,15,0.050715067645251945,1.347063141336522e-06
1,3,16,1.565236770159837,0.01985728968237963
1,3,17,2.3251155862274744,0.09206513516348233
1,3,18,4.184366004111869,0.02147276639514434
1,3,19,6.308680143644748,0.22330103500040135
1,3,20,6.459046185120107,0.22762051276170042
1,3,21,6.330737733949018,0.22586419387058992
1,3,22,6.531619737761906,0.22772614925319537
1,3,23,6.258164181307219,0.22756828964537426
1,3,24,6.4758848392326165,0.22767292214916773
1,3,25,6.459046185120107,0.22625467986191625
1,3,26,6.16875197455291,0.19793488675338744
1,3,27,6.420149940703327,0.21935265088235953
1,3,28,6.040443523381821,0.17381132543536637
1,3,29,6.4758848392326165,0.21843113895534108
1,3,30,6.347576388061529,0.20897098310177434
1,3,31,6.386472632478307,0.22589240956741397
1,3,32,6.258164181307219,0.2047159063327292
1,3,33,6.403311286590817,0.22614915211802392
1,3,34,6.386472632478307,0.18445488460490075
1,3,35,6.386472632478307,0.22759424324377783
1,3,36,6.27500283541973,0.1860293997369293
1,3,37,6.330737733949018,0.22661816356351228
1,3,38,6.531619737761906,0.22772614925319537
1,3,39,6.330737733949018,0.1842664230697128
1,3,40,6.330737733949018,0.20827203610907757
1,3,41,6.420149940703328,0.2271881861190223
1,3,42,6.386472632478307,0.2156070705425544
1,3,43,6.386472632478307,0.2127777556054464
1,3,44,6.459046185120107,0.2276929994028305
1,3,45,6.330737733949018,0.1844501671196079
1,3,46,6.475884839232617,0.227667008026498
1,3,47,6.313899079836508,0.22230646195999848
1,3,48,6.531619737761906,0.22772614925319537
1,3,49,6.420149940703327,0.22763214971369564
1,3,50,6.347576388061529,0.22641842258733888
1,4,1,0.0,0.0
1,4,2,0.0,0.0
1,4,3,0.0,0.0
1,4,4,0.0,0.0
