instance,task,episode,return,discounted_return
0,1,1,0.0,0.0
0,1,2,0.0,0.0
0,1,3,0.0,0.0
0,1,4,0.0,0.0
0,1,5,0.0,0.0
0,1,6,0.0,0.0
0,1,7,0.0,0.0
0,1,8,0.9362769121817671,0.6825458689805083
0,1,9,0.0,0.0
0,1,10,0.9592144386406927,0.699267325769065
0,1,11,0.0,0.0
0,1,12,0.0,0.0
0,1,13,0.0,0.0
0,1,14,0.9362769121817671,0.6825458689805083
0,1,15,0.0,0.0
0,1,16,0.0,0.0
0,1,17,0.0,0.0
0,1,18,0.0,0.0
0,1,19,0.0,0.0
0,1,20,0.0,0.0
0,1,21,1.9184288772813853,1.3286079189612234
0,1,22,0.0,0.0
0,1,23,0.0,0.0
0,1,24,0.0,0.0
0,1,25,0.9592144386406927,0.6293405931921585
0,1,26,0.0,0.0
0,1,27,0.0,0.0
0,1,28,0.0,0.0
0,1,29,0.0,0.0
0,1,30,0.0,0.0
0,1,31,0.0,0.0
0,1,32,0.9592144386406927,0.699267325769065
0,1,33,1.8842840987423541,1.3062055297617652
0,1,34,1.8613465722834286,1.2894840729732084
0,1,35,1.8725538243635342,1.2968371510629657
0,1,36,1.8842840987423541,1.3062055297617652
0,1,37,1.8842840987423541,1.3062055297617652
0,1,38,1.8842840987423541,1.3062055297617652
0,1,39,1.8842840987423541,1.3062055297617652
0,1,40,1.8842840987423541,1.3062055297617652
0,1,41,1.8842840987423541,1.3062055297617652
0,1,42,1.8842840987423541,1.3062055297617652
0,1,43,1.8842840987423541,1.3062055297617652
0,1,44,1.8842840987423541,1.3062055297617652
0,1,45,1.8842840987423541,1.3062055297617652
0,1,46,1.8842840987423541,1.3062055297617652
0,1,47,1.8842840987423541,1.3062055297617652
0,1,48,1.8842840987423541,1.3062055297617652
0,1,49,1.8842840987423541,1.3062055297617652
0,1,50,1.8842840987423541,1.3062055297617652
0,2,1,0.0,0.0
0,2,2,0.0,0.0
0,2,3,0.0,0.0
0,2,4,0.0,0.0
0,2,5,0.0,0.0
0,2,6,0.0,0.0
0,2,7,1.8842840987423541,1.3062055297617652
0,2,8,0.9362769121817671,0.6825458689805083
0,2,9,0.0,0.0
0,2,10,0.0,0.0
0,2,11,0.0,0.0
0,2,12,0.0,0.0
0,2,13,0.0,0.0
0,2,14,0.0,0.0
0,2,15,0.0,0.0
0,2,16,0.0,0.0
0,2,17,0.0,0.0
0,2,18,0.9592144386406927,0.699267325769065
0,2,19,0.0,0.0
0,2,20,0.0,0.0
0,2,21,0.0,0.0
0,2,22,0.0,0.0
0,2,23,1.8613465722834286,1.2894840729732084
0,2,24,0.0,0.0
0,2,25,0.0,0.0
0,2,26,0.0,0.0
0,2,27,0.0,0.0
0,2,28,0.0,0.0
0,2,29,0.0,0.0
0,2,30,0.0,0.0
0,2,31,0.0,0.0
0,2,32,0.0,0.0
0,2,33,1.9184288772813853,1.3286079189612234
0,2,34,0.0,0.0
0,2,35,0.9592144386406927,0.699267325769065
0,2,36,0.9362769121817671,0.6825458689805083
0,2,37,1.8725538243635342,1.2968371510629657
0,2,38,1.8842840987423541,1.3062055297617652
0,2,39,1.8842840987423541,1.3062055297617652
0,2,40,0.0,0.0
0,2,41,1.8842840987423541,1.3062055297617652
0,2,42,1.8842840987423541,1.3062055297617652
0,2,43,1.8842840987423541,1.3062055297617652
0,2,44,1.9184288772813853,1.3286079189612234
0,2,45,1.8842840987423541,1.3062055297617652
0,2,46,1.8842840987423541,1.3062055297617652
0,2,47,1.8842840987423541,1.3062055297617652
0,2,48,1.8842840987423541,1.3062055297617652
0,2,49,1.8842840987423541,1.3062055297617652
0,2,50,1.8842840987423541,1.3062055297617652
0,3,1,0.0,0.0
0,3,2,0.0,0.0
0,3,3,0.0,0.0
0,3,4,0.0,0.0
0,3,5,0.0,0.0
0,3,6,0.0,0.0
0,3,7,0.0,0.0
0,3,8,0.9927521627686473,0.723716326658344
0,3,9,0.0,0.0
0,3,10,0.0,0.0
0,3,11,0.0,0.0
0,3,12,0.0,0.0
0,3,13,0.0,0.0
0,3,14,0.0,0.0
0,3,15,0.0,0.0
0,3,16,0.0,0.0
0,3,17,1.9817050270062255,1.372568300884619
0,3,18,0.0,0.0
0,3,19,0.0,0.0
0,3,20,0.0,0.0
0,3,21,0.0,0.0
0,3,22,0.0,0.0
0,3,23,0.0,0.0
0,3,24,0.0,0.0
0,3,25,0.0,0.0
0,3,26,0.9500375503466977,0.6925773742027427
0,3,27,0.0,0.0
0,3,28,1.9855043255372946,1.3750610206508536
0,3,29,0.0,0.0
0,3,30,0.0,0.0
0,3,31,0.0,0.0
0,3,32,0.0,0.0
0,3,33,0.0,0.0
0,3,34,0.9927521627686473,0.723716326658344
0,3,35,1.9817050270062255,1.372568300884619
0,3,36,1.9817050270062255,1.372568300884619
0,3,37,1.9817050270062255,1.372568300884619
0,3,38,1.9817050270062255,1.372568300884619
0,3,39,1.9817050270062255,1.372568300884619
0,3,40,1.9817050270062255,1.372568300884619
0,3,41,1.9817050270062255,1.372568300884619
0,3,42,1.9817050270062255,1.372568300884619
0,3,43,1.9817050270062255,1.372568300884619
0,3,44,1.9817050270062255,1.372568300884619
0,3,45,1.9817050270062255,1.372568300884619
0,3,46,0.0,0.0
0,3,47,1.9817050270062255,1.372568300884619
0,3,48,1.9817050270062255,1.372568300884619
0,3,49,1.9817050270062255,1.372568300884619
0,3,50,1.9817050270062255,1.372568300884619
0,4,1,0.0,0.0
0,4,2,0.0,0.0
0,4,3,0.0,0.0
0,4,4,0.0,0.0
0,4,5,0.0,0.0
0,4,6,0.0,0.0
0,4,7,0.0,0.0
0,4,8,0.0,0.0
0,4,9,0.0,0.0
0,4,10,0.0,0.0
0,4,11,0.0,0.0
0,4,12,0.0,0.0
0,4,13,0.0,0.0
0,4,14,0.0,0.0
0,4,15,0.0,0.0
0,4,16,0.0,0.0
0,4,17,0.0,0.0
0,4,18,0.9864535693329278,0.7191246520437045
0,4,19,0.9416046856250726,0.686429815820678
0,4,20,0.0,0.0
0,4,21,0.9416046856250726,0.6177868342386101
0,4,22,0.0,0.0
0,4,23,0.0,0.0
0,4,24,0.0,0.0
0,4,25,0.0,0.0
0,4,26,0.0,0.0
0,4,27,0.0,0.0
0,4,28,0.0,0.0
0,4,29,1.9729071386658557,1.3663368388830386
0,4,30,0.0,0.0
0,4,31,0.0,0.0
0,4,32,0.0,0.0
0,4,33,0.9864535693329278,0.7191246520437045
0,4,34,1.9084771904479352,1.3240643498572608
0,4,35,0.9864535693329278,0.647212186839334
0,4,36,0.0,0.0
0,4,37,0.0,0.0
0,4,38,1.8636283067400798,1.2913695136342342
0,4,39,1.8832093712501452,1.304216650059288
0,4,40,1.8636283067400798,1.2913695136342342
0,4,41,1.9084771904479352,1.3240643498572608
0,4,42,1.9084771904479352,1.3240643498572608
0,4,43,1.9084771904479352,1.3240643498572608
0,4,44,1.9084771904479352,1.3240643498572608
0,4,45,1.9084771904479352,1.3240643498572608
0,4,46,1.9084771904479352,1.3240643498572608
0,4,47,1.9084771904479352,1.3240643498572608
0,4,48,1.8832093712501452,1.304216650059288
0,4,49,1.9084771904479352,1.3240643498572608
