instance,task,episode,return,discounted_return
1,1,1,0.0,0.0
1,1,2,4.699006939598553,2.8012036942418677
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,3.765741465750461,2.3695347324442686
1,1,7,0.0,0.0
1,1,8,1.8059328328407525,1.0130660145409291
1,1,9,0.0,0.0
1,1,10,0.0,0.0
1,1,11,0.0,0.0
1,1,12,0.0,0.0
1,1,13,0.0,0.0
1,1,14,0.0,0.0
1,1,15,0.0,0.0
1,1,16,1.8362318902684682,0.9262513583274348
1,1,17,0.9962441016339012,0.726261950091114
1,1,18,3.984976406535605,2.3204795567361183
1,1,19,4.855263252597887,2.8993256091987334
1,1,20,3.984976406535605,2.2478533617270076
1,1,21,4.918241880383697,2.932795034127852
1,1,22,4.981220508169506,2.974115311818121
1,1,23,4.981220508169506,2.974115311818121
1,1,24,2.9887323049017036,1.5942176066450047
1,1,25,4.855263252597887,2.8993256091987334
1,1,26,4.981220508169506,2.974115311818121
1,1,27,4.918241880383697,2.9369270618968786
1,1,28,4.981220508169506,2.974115311818121
1,1,29,2.9257536771158943,1.5607481817158864
1,1,30,4.981220508169506,2.974115311818121
1,1,31,4.918241880383697,2.9369270618968786
1,1,32,4.855263252597887,2.8993256091987334
1,1,33,4.855263252597887,2.9068045794606725
1,1,34,4.918241880383697,2.9369270618968786
1,1,35,4.981220508169506,2.974115311818121
1,1,36,4.918241880383697,2.9369270618968786
1,1,37,4.918241880383697,2.940645886889003
1,1,38,4.855263252597887,2.9034576369677607
1,1,39,4.918241880383697,2.932795034127852
1,1,40,4.981220508169506,2.974115311818121
1,1,41,4.855263252597887,2.8993256091987334
1,1,42,3.9219977787497955,2.290357074299912
1,1,43,4.918241880383697,2.932795034127852
1,1,44,3.9219977787497955,2.4033500725114294
1,1,45,3.9219977787497955,2.2870101318070004
1,1,46,4.981220508169506,2.974115311818121
1,1,47,4.981220508169506,2.974115311818121
1,1,48,4.918241880383697,2.940645886889003
1,1,49,4.981220508169506,2.974115311818121
1,1,50,4.918241880383697,2.943992829381915
1,2,1,0.0,0.0
1,2,2,0.0,0.0
1,2,3,0.0,0.0
1,2,4,0.0,0.0
1,2,5,0.0,0.0
1,2,6,2.834994350378485,1.5150546775736997
1,2,7,0.9781946921017874,0.5776141837391845
1,2,8,2.8767234991767676,1.7204123766524226
1,2,9,0.0,0.0
1,2,10,0.0,0.0
1,2,11,0.0,0.0
1,2,12,1.8985288070749804,0.9585082453726981
1,2,13,0.0,0.0
1,2,14,0.0,0.0
1,2,15,0.0,0.0
1,2,16,0.0,0.0
1,2,17,0.0,0.0
1,2,18,3.862983905443711,2.2546216398840553
1,2,19,4.6837282944900265,2.797876477302174
1,2,20,4.841178597545499,2.8875614963730634
1,2,21,4.890973460508937,2.9202319059633757
1,2,22,4.890973460508937,2.9202319059633757
1,2,23,4.890973460508937,2.9202319059633757
1,2,24,4.890973460508937,2.9202319059633757
1,2,25,4.890973460508937,2.9202319059633757
1,2,26,4.841178597545499,2.8875614963730634
1,2,27,4.890973460508937,2.9202319059633757
1,2,28,4.841178597545499,2.8937688741952234
1,2,29,4.890973460508937,2.9202319059633757
1,2,30,4.890973460508937,2.9202319059633757
1,2,31,4.890973460508937,2.9202319059633757
1,2,32,4.890973460508937,2.9202319059633757
1,2,33,4.890973460508937,2.9202319059633757
