instance,task,episode,return,discounted_return
0,1,1,0.9886446383693338,0.583784772510708
0,1,2,0.0,0.0
0,1,3,0.0,0.0
0,1,4,0.0,0.0
0,1,5,0.0,0.0
0,1,6,0.0,0.0
0,1,7,0.0,0.0
0,1,8,0.0,0.0
0,1,9,0.0,0.0
0,1,10,0.0,0.0
0,1,11,0.0,0.0
0,1,12,0.0,0.0
0,1,13,0.0,0.0
0,1,14,0.0,0.0
0,1,15,0.0,0.0
0,1,16,0.0,0.0
0,1,17,2.9372520288045365,1.9306973265659169
0,1,18,0.0,0.0
0,1,19,0.0,0.0
0,1,20,2.973265826724904,1.9574858816067375
0,1,21,0.0,0.0
0,1,22,0.9886446383693338,0.7207219413712445
0,1,23,0.0,0.0
0,1,24,0.0,0.0
0,1,25,0.0,0.0
0,1,26,0.0,0.0
0,1,27,0.9886446383693338,0.583784772510708
0,1,28,0.0,0.0
0,1,29,0.0,0.0
0,1,30,0.9452989288320628,0.5581895644860448
0,1,31,0.0,0.0
0,1,32,0.0,0.0
0,1,33,0.0,0.0
0,1,34,0.0,0.0
0,1,35,0.0,0.0
0,1,36,0.0,0.0
0,1,37,0.0,0.0
0,1,38,0.9452989288320628,0.5581895644860448
0,1,39,0.9452989288320628,0.5581895644860448
0,1,40,0.0,0.0
0,1,41,0.0,0.0
0,1,42,0.9452989288320628,0.5581895644860448
0,1,43,0.0,0.0
0,1,44,0.0,0.0
0,1,45,0.9452989288320628,0.5581895644860448
0,1,46,0.0,0.0
0,1,47,0.0,0.0
0,1,48,0.0,0.0
0,1,49,0.0,0.0
0,1,50,2.929920117187633,1.9323717203032593
0,1,51,0.9452989288320628,0.6891229191185738
0,1,52,0.0,0.0
0,1,53,0.0,0.0
0,1,54,0.0,0.0
0,1,55,0.0,0.0
0,1,56,1.9772892767386676,1.3693716886053644
0,1,57,0.0,0.0
0,1,58,0.0,0.0
0,1,59,0.0,0.0
0,1,60,0.0,0.0
0,1,61,0.0,0.0
0,1,62,0.0,0.0
0,1,63,0.0,0.0
0,1,64,0.0,0.0
0,1,65,0.0,0.0
0,1,66,0.0,0.0
0,1,67,0.0,0.0
0,1,68,0.9452989288320628,0.5581895644860448
0,1,69,0.9886446383693338,0.583784772510708
0,1,70,0.0,0.0
0,1,71,0.0,0.0
0,1,72,0.0,0.0
0,1,73,0.0,0.0
0,1,74,0.0,0.0
0,1,75,0.9452989288320628,0.6891229191185738
0,1,76,0.0,0.0
0,1,77,0.0,0.0
0,1,78,0.0,0.0
0,1,79,0.0,0.0
0,1,80,0.0,0.0
0,1,81,0.0,0.0
0,1,82,0.0,0.0
0,1,83,0.9886446383693338,0.583784772510708
0,1,84,0.0,0.0
0,1,85,0.0,0.0
0,1,86,2.973265826724904,1.9574858816067375
0,1,87,0.0,0.0
0,1,88,0.0,0.0
0,1,89,0.0,0.0
0,1,90,0.9452989288320628,0.5581895644860448
0,1,91,0.0,0.0
0,1,92,0.0,0.0
0,1,93,0.0,0.0
0,1,94,0.0,0.0
0,1,95,0.0,0.0
0,1,96,0.0,0.0
0,1,97,0.0,0.0
0,1,98,0.0,0.0
0,1,99,0.0,0.0
0,1,100,0.0,0.0
0,2,1,0.0,0.0
0,2,2,0.0,0.0
0,2,3,0.0,0.0
0,2,4,0.0,0.0
0,2,5,0.0,0.0
0,2,6,0.0,0.0
0,2,7,0.0,0.0
0,2,8,0.0,0.0
0,2,9,0.9983120740102372,0.727769501953463
0,2,10,0.0,0.0
0,2,11,2.8991532748584627,1.9094121586541721
0,2,12,0.0,0.0
0,2,13,0.0,0.0
